#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
             1  1.857938e+00  1.857938e+00  0.000000e+00
             2  1.836886e+00  1.847412e+00  7.442986e-03
             3  1.829894e+00  1.841572e+00  6.881317e-03
             4  1.824958e+00  1.837419e+00  6.290816e-03
             5  1.833311e+00  1.836597e+00  5.086020e-03
             6  1.843730e+00  1.837786e+00  4.375073e-03
             7  1.831915e+00  1.836947e+00  3.829610e-03
             8  1.872604e+00  1.841405e+00  5.348955e-03
             9  1.857008e+00  1.843138e+00  5.027743e-03
            10  1.872167e+00  1.846041e+00  5.297108e-03
            11  1.876465e+00  1.848807e+00  5.490356e-03
            12  1.852322e+00  1.849100e+00  5.040633e-03
            13  1.868307e+00  1.850577e+00  4.864600e-03
            14  1.840815e+00  1.849880e+00  4.566835e-03
            15  1.845867e+00  1.849612e+00  4.270209e-03
            16  1.827589e+00  1.848236e+00  4.219337e-03
            17  1.820914e+00  1.846629e+00  4.266256e-03
            18  1.840702e+00  1.846300e+00  4.041928e-03
            19  1.841101e+00  1.846026e+00  3.838442e-03
            20  1.839643e+00  1.845707e+00  3.659763e-03
            21  1.819671e+00  1.844467e+00  3.689516e-03
            22  1.829014e+00  1.843765e+00  3.588049e-03
            23  1.849560e+00  1.844017e+00  3.440882e-03
            24  1.828086e+00  1.843353e+00  3.360923e-03
            25  1.841641e+00  1.843284e+00  3.227184e-03
            26  1.845029e+00  1.843351e+00  3.103759e-03
            27  1.831960e+00  1.842930e+00  3.017345e-03
            28  1.827091e+00  1.842364e+00  2.962131e-03
            29  1.810021e+00  1.841249e+00  3.062756e-03
            30  1.827550e+00  1.840792e+00  2.994510e-03
            31  1.830117e+00  1.840448e+00  2.917643e-03
            32  1.864400e+00  1.841196e+00  2.920901e-03
            33  1.882888e+00  1.842460e+00  3.093575e-03
            34  1.911007e+00  1.844476e+00  3.600096e-03
            35  1.906741e+00  1.846255e+00  3.912177e-03
            36  1.898757e+00  1.847713e+00  4.066262e-03
            37  1.921980e+00  1.849720e+00  4.424115e-03
            38  1.919131e+00  1.851547e+00  4.669569e-03
            39  1.931256e+00  1.853591e+00  4.977056e-03
            40  1.921691e+00  1.855293e+00  5.135570e-03
            41  1.892906e+00  1.856211e+00  5.091589e-03
            42  1.857827e+00  1.856249e+00  4.970506e-03
            43  1.827017e+00  1.855569e+00  4.901183e-03
            44  1.814772e+00  1.854642e+00  4.876710e-03
            45  1.818029e+00  1.853828e+00  4.835734e-03
            46  1.825016e+00  1.853202e+00  4.771002e-03
            47  1.829452e+00  1.852697e+00  4.696176e-03
            48  1.805091e+00  1.851705e+00  4.701902e-03
            49  1.803616e+00  1.850724e+00  4.707251e-03
            50  1.801216e+00  1.849733e+00  4.716095e-03
            51  1.814896e+00  1.849050e+00  4.672831e-03
            52  1.799106e+00  1.848090e+00  4.680637e-03
            53  1.838162e+00  1.847903e+00  4.596069e-03
            54  1.802536e+00  1.847062e+00  4.587097e-03
            55  1.803574e+00  1.846272e+00  4.571335e-03
            56  1.811804e+00  1.845656e+00  4.530950e-03
            57  1.819673e+00  1.845200e+00  4.474331e-03
            58  1.837859e+00  1.845074e+00  4.398977e-03
            59  1.854912e+00  1.845241e+00  4.327578e-03
            60  1.820842e+00  1.844834e+00  4.274515e-03
            61  1.802900e+00  1.844146e+00  4.259360e-03
            62  1.814140e+00  1.843662e+00  4.218066e-03
            63  1.822354e+00  1.843324e+00  4.164652e-03
            64  1.839503e+00  1.843265e+00  4.100007e-03
            65  1.810460e+00  1.842760e+00  4.067874e-03
            66  1.794429e+00  1.842028e+00  4.071617e-03
            67  1.780547e+00  1.841110e+00  4.112950e-03
            68  1.790291e+00  1.840363e+00  4.119803e-03
            69  1.791117e+00  1.839649e+00  4.121452e-03
            70  1.821439e+00  1.839389e+00  4.070776e-03
            71  1.875245e+00  1.839894e+00  4.044646e-03
            72  1.889595e+00  1.840584e+00  4.046947e-03
            73  1.910336e+00  1.841540e+00  4.102758e-03
            74  1.889789e+00  1.842192e+00  4.098799e-03
            75  1.864555e+00  1.842490e+00  4.054979e-03
            76  1.871685e+00  1.842874e+00  4.019780e-03
            77  1.875024e+00  1.843291e+00  3.989200e-03
            78  1.852807e+00  1.843413e+00  3.939922e-03
            79  1.853918e+00  1.843546e+00  3.892292e-03
            80  1.839550e+00  1.843496e+00  3.843959e-03
            81  1.832649e+00  1.843363e+00  3.798835e-03
            82  1.877226e+00  1.843776e+00  3.774888e-03
            83  1.916640e+00  1.844653e+00  3.830128e-03
            84  1.921364e+00  1.845567e+00  3.891879e-03
            85  1.923427e+00  1.846483e+00  3.952420e-03
            86  1.911488e+00  1.847239e+00  3.978084e-03
            87  1.895816e+00  1.847797e+00  3.971351e-03
            88  1.923806e+00  1.848661e+00  4.019052e-03
            89  1.912387e+00  1.849377e+00  4.037173e-03
            90  1.950307e+00  1.850498e+00  4.145150e-03
            91  1.891713e+00  1.850951e+00  4.124268e-03
            92  1.895654e+00  1.851437e+00  4.107963e-03
            93  1.856279e+00  1.851489e+00  4.064121e-03
            94  1.869595e+00  1.851682e+00  4.025448e-03
            95  1.877514e+00  1.851954e+00  3.992249e-03
            96  1.852046e+00  1.851954e+00  3.950663e-03
            97  1.816387e+00  1.851588e+00  3.926914e-03
            98  1.821652e+00  1.851282e+00  3.898706e-03
            99  1.808161e+00  1.850847e+00  3.883580e-03
           100  1.833632e+00  1.850675e+00  3.848557e-03
