#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             1  5.387136e-02  5.387136e-02  0.000000e+00
             2  4.692624e-02  5.039880e-02  2.455472e-03
             3  4.059312e-02  4.713024e-02  3.130820e-03
             4  4.432043e-02  4.642778e-02  2.425639e-03
             5  5.069643e-02  4.728151e-02  2.085345e-03
             6  5.515662e-02  4.859403e-02  2.110804e-03
             7  6.101231e-02  5.036807e-02  2.443571e-03
             8  4.937141e-02  5.024349e-02  2.141298e-03
             9  6.627195e-02  5.202443e-02  2.538143e-03
            10  5.809699e-02  5.263169e-02  2.355853e-03
            11  4.366803e-02  5.181681e-02  2.278261e-03
            12  4.799042e-02  5.149794e-02  2.110602e-03
            13  5.388254e-02  5.168137e-02  1.956203e-03
            14  6.299875e-02  5.248976e-02  1.976458e-03
            15  4.848175e-02  5.222256e-02  1.862668e-03
            16  5.185271e-02  5.219944e-02  1.746394e-03
            17  5.320230e-02  5.225843e-02  1.644661e-03
            18  5.027598e-02  5.214830e-02  1.556975e-03
            19  5.289300e-02  5.218749e-02  1.475522e-03
            20  5.012530e-02  5.208438e-02  1.405344e-03
            21  5.792119e-02  5.236233e-02  1.365631e-03
            22  4.787077e-02  5.215816e-02  1.318730e-03
            23  5.036617e-02  5.208025e-02  1.263693e-03
            24  6.556942e-02  5.264230e-02  1.330170e-03
            25  5.615647e-02  5.278287e-02  1.284369e-03
            26  6.275679e-02  5.316648e-02  1.290988e-03
            27  6.163845e-02  5.348026e-02  1.280738e-03
            28  4.522199e-02  5.318532e-02  1.268503e-03
            29  4.578910e-02  5.293028e-02  1.250138e-03
            30  4.451487e-02  5.264976e-02  1.239539e-03
            31  5.094385e-02  5.259473e-02  1.200775e-03
            32  5.101019e-02  5.254522e-02  1.164271e-03
            33  5.447692e-02  5.260375e-02  1.130461e-03
            34  5.381685e-02  5.263943e-02  1.097775e-03
            35  5.757550e-02  5.278046e-02  1.075431e-03
            36  5.098200e-02  5.273050e-02  1.046717e-03
            37  4.647586e-02  5.256146e-02  1.031988e-03
            38  5.601962e-02  5.265246e-02  1.008835e-03
            39  5.444097e-02  5.269832e-02  9.840088e-04
            40  5.811449e-02  5.283373e-02  9.686799e-04
            41  5.966078e-02  5.300024e-02  9.592584e-04
            42  4.980381e-02  5.292414e-02  9.394331e-04
            43  4.696238e-02  5.278549e-02  9.277603e-04
            44  4.777053e-02  5.267151e-02  9.136491e-04
            45  5.522474e-02  5.272825e-02  8.951058e-04
            46  6.054447e-02  5.289817e-02  8.916289e-04
            47  5.395238e-02  5.292060e-02  8.729402e-04
            48  5.919462e-02  5.305131e-02  8.644843e-04
            49  5.119737e-02  5.301347e-02  8.476693e-04
            50  4.609220e-02  5.287505e-02  8.419426e-04
            51  4.859166e-02  5.279106e-02  8.296125e-04
            52  6.248726e-02  5.297752e-02  8.343504e-04
            53  4.806660e-02  5.288487e-02  8.237370e-04
            54  5.304384e-02  5.288781e-02  8.084879e-04
            55  4.512295e-02  5.274663e-02  8.060203e-04
            56  4.473178e-02  5.260351e-02  8.042336e-04
            57  5.621231e-02  5.266682e-02  7.926124e-04
            58  6.334439e-02  5.285092e-02  8.000406e-04
            59  5.479809e-02  5.288392e-02  7.871610e-04
            60  5.027586e-02  5.284045e-02  7.752409e-04
            61  4.816400e-02  5.276379e-02  7.663132e-04
            62  4.348415e-02  5.261412e-02  7.684308e-04
            63  5.133266e-02  5.259378e-02  7.565027e-04
            64  5.368875e-02  5.261089e-02  7.448757e-04
            65  5.076751e-02  5.258253e-02  7.339558e-04
            66  4.210233e-02  5.242373e-02  7.398130e-04
            67  4.676278e-02  5.233924e-02  7.335799e-04
            68  4.653918e-02  5.225395e-02  7.277338e-04
            69  5.321424e-02  5.226787e-02  7.173200e-04
            70  5.219633e-02  5.226684e-02  7.070733e-04
            71  4.862956e-02  5.221561e-02  6.989679e-04
            72  6.118074e-02  5.234013e-02  7.002630e-04
            73  5.738471e-02  5.240923e-02  6.940716e-04
            74  5.630517e-02  5.246188e-02  6.866861e-04
            75  4.813017e-02  5.240413e-02  6.799549e-04
            76  4.289482e-02  5.227900e-02  6.824232e-04
            77  4.634489e-02  5.220194e-02  6.778982e-04
            78  5.642786e-02  5.225612e-02  6.713687e-04
            79  5.022999e-02  5.223047e-02  6.633601e-04
            80  4.876342e-02  5.218713e-02  6.564822e-04
            81  5.096621e-02  5.217206e-02  6.485505e-04
            82  4.759511e-02  5.211624e-02  6.430388e-04
            83  5.201218e-02  5.211499e-02  6.352925e-04
            84  5.590066e-02  5.216005e-02  6.293260e-04
            85  5.205392e-02  5.215881e-02  6.219234e-04
            86  5.062649e-02  5.214099e-02  6.149469e-04
            87  4.752464e-02  5.208793e-02  6.101635e-04
            88  4.321547e-02  5.198710e-02  6.115031e-04
            89  6.424903e-02  5.212488e-02  6.199587e-04
            90  5.095600e-02  5.211189e-02  6.132063e-04
            91  5.965138e-02  5.219474e-02  6.120393e-04
            92  4.224707e-02  5.208661e-02  6.148637e-04
            93  5.472758e-02  5.211501e-02  6.089077e-04
            94  5.084683e-02  5.210152e-02  6.025794e-04
            95  5.105731e-02  5.209053e-02  5.963367e-04
            96  5.548410e-02  5.212588e-02  5.911716e-04
            97  5.459415e-02  5.215133e-02  5.856245e-04
            98  4.653221e-02  5.209399e-02  5.824489e-04
            99  5.651268e-02  5.213862e-02  5.782732e-04
           100  4.835502e-02  5.210078e-02  5.737269e-04
