#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             1  1.238587e+00  1.238587e+00  0.000000e+00
             2  1.224547e+00  1.231567e+00  4.963809e-03
             3  1.219872e+00  1.227669e+00  4.591511e-03
             4  1.216567e+00  1.224893e+00  4.199577e-03
             5  1.222117e+00  1.224338e+00  3.396161e-03
             6  1.229100e+00  1.225132e+00  2.921380e-03
             7  1.221255e+00  1.224578e+00  2.555996e-03
             8  1.248326e+00  1.227546e+00  3.565491e-03
             9  1.237886e+00  1.228695e+00  3.349296e-03
            10  1.248105e+00  1.230636e+00  3.532278e-03
            11  1.251108e+00  1.232497e+00  3.668840e-03
            12  1.234777e+00  1.232687e+00  3.368018e-03
            13  1.245565e+00  1.233678e+00  3.251346e-03
            14  1.227231e+00  1.233217e+00  3.051542e-03
            15  1.230732e+00  1.233052e+00  2.852602e-03
            16  1.218032e+00  1.232113e+00  2.824558e-03
            17  1.214315e+00  1.231066e+00  2.845825e-03
            18  1.225666e+00  1.230766e+00  2.703489e-03
            19  1.228783e+00  1.230662e+00  2.563214e-03
            20  1.224670e+00  1.230362e+00  2.452500e-03
            21  1.223746e+00  1.230047e+00  2.355864e-03
            22  1.221253e+00  1.229647e+00  2.282438e-03
            23  1.231331e+00  1.229720e+00  2.184375e-03
            24  1.219684e+00  1.229302e+00  2.133013e-03
            25  1.235336e+00  1.229544e+00  2.061301e-03
            26  1.228563e+00  1.229506e+00  1.982366e-03
            27  1.235293e+00  1.229720e+00  1.920497e-03
            28  1.215786e+00  1.229223e+00  1.915297e-03
            29  1.201124e+00  1.228254e+00  2.079937e-03
            30  1.197958e+00  1.227244e+00  2.242404e-03
            31  1.198175e+00  1.226306e+00  2.357993e-03
            32  1.230140e+00  1.226426e+00  2.287348e-03
            33  1.237868e+00  1.226773e+00  2.244159e-03
            34  1.226637e+00  1.226769e+00  2.178158e-03
            35  1.215575e+00  1.226449e+00  2.139275e-03
            36  1.261803e+00  1.227431e+00  2.294219e-03
            37  1.260522e+00  1.228325e+00  2.400216e-03
            38  1.277038e+00  1.229607e+00  2.657412e-03
            39  1.246148e+00  1.230031e+00  2.622902e-03
            40  1.246029e+00  1.230431e+00  2.587643e-03
            41  1.245036e+00  1.230787e+00  2.548928e-03
            42  1.239798e+00  1.231002e+00  2.497252e-03
            43  1.239850e+00  1.231208e+00  2.447639e-03
            44  1.242187e+00  1.231457e+00  2.404696e-03
            45  1.249233e+00  1.231852e+00  2.383482e-03
            46  1.255985e+00  1.232377e+00  2.388706e-03
            47  1.244012e+00  1.232624e+00  2.350675e-03
            48  1.240926e+00  1.232797e+00  2.308056e-03
            49  1.249768e+00  1.233144e+00  2.286791e-03
            50  1.244925e+00  1.233379e+00  2.253161e-03
            51  1.236995e+00  1.233450e+00  2.210097e-03
            52  1.226354e+00  1.233314e+00  2.171804e-03
            53  1.223205e+00  1.233123e+00  2.139185e-03
            54  1.211028e+00  1.232714e+00  2.138344e-03
            55  1.217944e+00  1.232445e+00  2.116259e-03
            56  1.213034e+00  1.232099e+00  2.106666e-03
            57  1.218801e+00  1.231865e+00  2.082584e-03
            58  1.217419e+00  1.231616e+00  2.061518e-03
            59  1.228548e+00  1.231564e+00  2.027233e-03
            60  1.228236e+00  1.231509e+00  1.994204e-03
            61  1.238852e+00  1.231629e+00  1.965142e-03
            62  1.239879e+00  1.231762e+00  1.937946e-03
            63  1.224237e+00  1.231643e+00  1.910863e-03
            64  1.214571e+00  1.231376e+00  1.899532e-03
            65  1.189861e+00  1.230737e+00  1.974768e-03
            66  1.186796e+00  1.230072e+00  2.054015e-03
            67  1.182306e+00  1.229359e+00  2.143513e-03
            68  1.209459e+00  1.229066e+00  2.131873e-03
            69  1.238406e+00  1.229201e+00  2.105269e-03
            70  1.258879e+00  1.229625e+00  2.117453e-03
            71  1.254377e+00  1.229974e+00  2.116132e-03
            72  1.263268e+00  1.230436e+00  2.136668e-03
            73  1.277548e+00  1.231082e+00  2.202706e-03
            74  1.289674e+00  1.231874e+00  2.310869e-03
            75  1.293273e+00  1.232692e+00  2.420729e-03
            76  1.279361e+00  1.233306e+00  2.465531e-03
            77  1.257975e+00  1.233627e+00  2.454238e-03
            78  1.270704e+00  1.234102e+00  2.468378e-03
            79  1.255641e+00  1.234375e+00  2.452144e-03
            80  1.240721e+00  1.234454e+00  2.422775e-03
            81  1.231582e+00  1.234419e+00  2.393124e-03
            82  1.235851e+00  1.234436e+00  2.364003e-03
            83  1.259728e+00  1.234741e+00  2.355079e-03
            84  1.269763e+00  1.235158e+00  2.363660e-03
            85  1.267525e+00  1.235538e+00  2.366326e-03
            86  1.252039e+00  1.235730e+00  2.346577e-03
            87  1.240491e+00  1.235785e+00  2.320242e-03
            88  1.242281e+00  1.235859e+00  2.295050e-03
            89  1.229315e+00  1.235785e+00  2.270440e-03
            90  1.234702e+00  1.235773e+00  2.245245e-03
            91  1.222820e+00  1.235631e+00  2.225079e-03
            92  1.221315e+00  1.235475e+00  2.206328e-03
            93  1.204954e+00  1.235147e+00  2.206877e-03
            94  1.205635e+00  1.234833e+00  2.205619e-03
            95  1.213833e+00  1.234612e+00  2.193451e-03
            96  1.220352e+00  1.234464e+00  2.175627e-03
            97  1.214159e+00  1.234254e+00  2.163244e-03
            98  1.198092e+00  1.233885e+00  2.172414e-03
            99  1.202468e+00  1.233568e+00  2.173527e-03
           100  1.202046e+00  1.233253e+00  2.174528e-03
