#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
             1  1.432495e+00  1.432495e+00  0.000000e+00
             2  1.432560e+00  1.432528e+00  2.324108e-05
             3  1.432630e+00  1.432562e+00  3.202012e-05
             4  1.432434e+00  1.432530e+00  3.665964e-05
             5  1.432515e+00  1.432527e+00  2.945437e-05
             6  1.432574e+00  1.432535e+00  2.558931e-05
             7  1.432573e+00  1.432540e+00  2.251579e-05
             8  1.432502e+00  1.432535e+00  2.020529e-05
             9  1.432315e+00  1.432511e+00  2.924723e-05
            10  1.432367e+00  1.432497e+00  2.966541e-05
            11  1.432540e+00  1.432500e+00  2.722579e-05
            12  1.432530e+00  1.432503e+00  2.506984e-05
            13  1.432343e+00  1.432491e+00  2.598656e-05
            14  1.432336e+00  1.432480e+00  2.637708e-05
            15  1.432375e+00  1.432473e+00  2.552814e-05
            16  1.432603e+00  1.432481e+00  2.520820e-05
            17  1.432501e+00  1.432482e+00  2.375339e-05
            18  1.432487e+00  1.432482e+00  2.243557e-05
            19  1.432477e+00  1.432482e+00  2.125631e-05
            20  1.432487e+00  1.432482e+00  2.019473e-05
            21  1.432573e+00  1.432487e+00  1.969231e-05
            22  1.432467e+00  1.432486e+00  1.881813e-05
            23  1.432561e+00  1.432489e+00  1.828605e-05
            24  1.432538e+00  1.432491e+00  1.763706e-05
            25  1.432510e+00  1.432492e+00  1.694870e-05
            26  1.432463e+00  1.432491e+00  1.633314e-05
            27  1.432318e+00  1.432484e+00  1.693355e-05
            28  1.432224e+00  1.432475e+00  1.869859e-05
            29  1.432267e+00  1.432468e+00  1.938091e-05
            30  1.432322e+00  1.432463e+00  1.933068e-05
            31  1.432409e+00  1.432461e+00  1.878447e-05
            32  1.432413e+00  1.432460e+00  1.825877e-05
            33  1.432380e+00  1.432457e+00  1.786382e-05
            34  1.432512e+00  1.432459e+00  1.741100e-05
            35  1.432392e+00  1.432457e+00  1.701664e-05
            36  1.432267e+00  1.432452e+00  1.733951e-05
            37  1.432311e+00  1.432448e+00  1.728363e-05
            38  1.432425e+00  1.432447e+00  1.683956e-05
            39  1.432445e+00  1.432447e+00  1.640786e-05
            40  1.432424e+00  1.432447e+00  1.600780e-05
            41  1.432321e+00  1.432444e+00  1.590772e-05
            42  1.432387e+00  1.432442e+00  1.558622e-05
            43  1.432462e+00  1.432443e+00  1.523018e-05
            44  1.432451e+00  1.432443e+00  1.488528e-05
            45  1.432302e+00  1.432440e+00  1.487822e-05
            46  1.432438e+00  1.432440e+00  1.455487e-05
            47  1.432416e+00  1.432439e+00  1.425405e-05
            48  1.432456e+00  1.432440e+00  1.396124e-05
            49  1.432496e+00  1.432441e+00  1.372342e-05
            50  1.432565e+00  1.432443e+00  1.367153e-05
            51  1.432580e+00  1.432446e+00  1.366458e-05
            52  1.432466e+00  1.432446e+00  1.340725e-05
            53  1.432408e+00  1.432446e+00  1.317402e-05
            54  1.432542e+00  1.432447e+00  1.305155e-05
            55  1.432595e+00  1.432450e+00  1.308665e-05
            56  1.432519e+00  1.432451e+00  1.291113e-05
            57  1.432554e+00  1.432453e+00  1.280992e-05
            58  1.432515e+00  1.432454e+00  1.263372e-05
            59  1.432481e+00  1.432455e+00  1.242768e-05
            60  1.432496e+00  1.432455e+00  1.223965e-05
            61  1.432355e+00  1.432454e+00  1.214888e-05
            62  1.432432e+00  1.432453e+00  1.195803e-05
            63  1.432511e+00  1.432454e+00  1.180328e-05
            64  1.432485e+00  1.432455e+00  1.162890e-05
            65  1.432481e+00  1.432455e+00  1.145690e-05
            66  1.432533e+00  1.432456e+00  1.134324e-05
            67  1.432517e+00  1.432457e+00  1.121015e-05
            68  1.432474e+00  1.432457e+00  1.104787e-05
            69  1.432476e+00  1.432458e+00  1.089090e-05
            70  1.432543e+00  1.432459e+00  1.080354e-05
            71  1.432423e+00  1.432458e+00  1.066322e-05
            72  1.432503e+00  1.432459e+00  1.053349e-05
            73  1.432554e+00  1.432460e+00  1.046997e-05
            74  1.432493e+00  1.432461e+00  1.033752e-05
            75  1.432464e+00  1.432461e+00  1.019978e-05
            76  1.432488e+00  1.432461e+00  1.007178e-05
            77  1.432489e+00  1.432462e+00  9.947644e-06
            78  1.432453e+00  1.432461e+00  9.820767e-06
            79  1.432538e+00  1.432462e+00  9.744217e-06
            80  1.432552e+00  1.432463e+00  9.686265e-06
            81  1.432570e+00  1.432465e+00  9.655015e-06
            82  1.432503e+00  1.432465e+00  9.548462e-06
            83  1.432468e+00  1.432465e+00  9.433482e-06
            84  1.432489e+00  1.432466e+00  9.325347e-06
            85  1.432492e+00  1.432466e+00  9.220814e-06
            86  1.432448e+00  1.432466e+00  9.115996e-06
            87  1.432491e+00  1.432466e+00  9.015838e-06
            88  1.432338e+00  1.432465e+00  9.029251e-06
            89  1.432456e+00  1.432464e+00  8.928362e-06
            90  1.432435e+00  1.432464e+00  8.834976e-06
            91  1.432481e+00  1.432464e+00  8.739817e-06
            92  1.432355e+00  1.432463e+00  8.725365e-06
            93  1.432429e+00  1.432463e+00  8.639061e-06
            94  1.432540e+00  1.432464e+00  8.585744e-06
            95  1.432512e+00  1.432464e+00  8.510385e-06
            96  1.432410e+00  1.432464e+00  8.440026e-06
            97  1.432379e+00  1.432463e+00  8.397449e-06
            98  1.432533e+00  1.432463e+00  8.342797e-06
            99  1.432532e+00  1.432464e+00  8.287514e-06
           100  1.432327e+00  1.432463e+00  8.317820e-06
