#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
             1  1.703408e+00  1.703408e+00  0.000000e+00
             2  1.578595e+00  1.641002e+00  4.412797e-02
             3  1.678923e+00  1.653642e+00  3.117658e-02
             4  1.681829e+00  1.660689e+00  2.416570e-02
             5  1.656018e+00  1.659755e+00  1.935061e-02
             6  1.769147e+00  1.677987e+00  2.317409e-02
             7  1.559198e+00  1.661017e+00  2.532578e-02
             8  1.555457e+00  1.647822e+00  2.536560e-02
             9  1.687593e+00  1.652241e+00  2.292890e-02
            10  1.703955e+00  1.657412e+00  2.121117e-02
            11  1.690389e+00  1.660410e+00  1.949358e-02
            12  1.622670e+00  1.657265e+00  1.812105e-02
            13  1.591995e+00  1.652244e+00  1.740879e-02
            14  1.684731e+00  1.654565e+00  1.631922e-02
            15  1.707155e+00  1.658071e+00  1.560335e-02
            16  1.595031e+00  1.654131e+00  1.511740e-02
            17  1.698315e+00  1.656730e+00  1.444984e-02
            18  1.655416e+00  1.656657e+00  1.364726e-02
            19  1.634605e+00  1.655496e+00  1.297824e-02
            20  1.547894e+00  1.650116e+00  1.339815e-02
            21  1.635763e+00  1.649433e+00  1.277757e-02
            22  1.573477e+00  1.645980e+00  1.265462e-02
            23  1.599441e+00  1.643957e+00  1.226513e-02
            24  1.687280e+00  1.645762e+00  1.188618e-02
            25  1.665328e+00  1.646545e+00  1.143647e-02
            26  1.634210e+00  1.646070e+00  1.100644e-02
            27  1.642117e+00  1.645924e+00  1.059977e-02
            28  1.642197e+00  1.645791e+00  1.022204e-02
            29  1.699015e+00  1.647626e+00  1.003297e-02
            30  1.608317e+00  1.646316e+00  9.783723e-03
            31  1.583655e+00  1.644294e+00  9.674666e-03
            32  1.647566e+00  1.644397e+00  9.372873e-03
            33  1.575691e+00  1.642315e+00  9.317211e-03
            34  1.657214e+00  1.642753e+00  9.053475e-03
            35  1.664625e+00  1.643378e+00  8.816346e-03
            36  1.711264e+00  1.645264e+00  8.770800e-03
            37  1.701284e+00  1.646778e+00  8.663447e-03
            38  1.605606e+00  1.645694e+00  8.502942e-03
            39  1.590979e+00  1.644291e+00  8.399860e-03
            40  1.639826e+00  1.644180e+00  8.190605e-03
            41  1.679747e+00  1.645047e+00  8.036643e-03
            42  1.666946e+00  1.645568e+00  7.862189e-03
            43  1.693387e+00  1.646680e+00  7.757596e-03
            44  1.663983e+00  1.647074e+00  7.591247e-03
            45  1.644650e+00  1.647020e+00  7.422744e-03
            46  1.593029e+00  1.645846e+00  7.353592e-03
            47  1.672891e+00  1.646422e+00  7.219611e-03
            48  1.581987e+00  1.645079e+00  7.192919e-03
            49  1.644400e+00  1.645065e+00  7.046138e-03
            50  1.674508e+00  1.645654e+00  6.929777e-03
            51  1.632476e+00  1.645396e+00  6.798715e-03
            52  1.618500e+00  1.644879e+00  6.687615e-03
            53  1.641763e+00  1.644820e+00  6.561692e-03
            54  1.576384e+00  1.643552e+00  6.561426e-03
            55  1.599180e+00  1.642746e+00  6.491537e-03
            56  1.615714e+00  1.642263e+00  6.393538e-03
            57  1.577424e+00  1.641125e+00  6.381761e-03
            58  1.557644e+00  1.639686e+00  6.431995e-03
            59  1.726752e+00  1.641162e+00  6.490056e-03
            60  1.641989e+00  1.641176e+00  6.381903e-03
            61  1.702626e+00  1.642183e+00  6.356291e-03
            62  1.611356e+00  1.641686e+00  6.273187e-03
            63  1.625710e+00  1.641432e+00  6.178735e-03
            64  1.632713e+00  1.641296e+00  6.083694e-03
            65  1.633647e+00  1.641178e+00  5.991237e-03
            66  1.653670e+00  1.641368e+00  5.903449e-03
            67  1.675393e+00  1.641875e+00  5.837141e-03
            68  1.745480e+00  1.643399e+00  5.946821e-03
            69  1.586160e+00  1.642569e+00  5.918212e-03
            70  1.665956e+00  1.642904e+00  5.843089e-03
            71  1.666725e+00  1.643239e+00  5.770416e-03
            72  1.670473e+00  1.643617e+00  5.702655e-03
            73  1.609798e+00  1.643154e+00  5.643323e-03
            74  1.594390e+00  1.642495e+00  5.605405e-03
            75  1.604711e+00  1.641991e+00  5.553259e-03
            76  1.633557e+00  1.641880e+00  5.481299e-03
            77  1.572137e+00  1.640975e+00  5.484438e-03
            78  1.609176e+00  1.640567e+00  5.429255e-03
            79  1.579904e+00  1.639799e+00  5.414560e-03
            80  1.671664e+00  1.640197e+00  5.361509e-03
            81  1.638279e+00  1.640174e+00  5.295369e-03
            82  1.643100e+00  1.640209e+00  5.230912e-03
            83  1.540270e+00  1.639005e+00  5.304662e-03
            84  1.604274e+00  1.638592e+00  5.257600e-03
            85  1.666161e+00  1.638916e+00  5.205740e-03
            86  1.560334e+00  1.638002e+00  5.224787e-03
            87  1.630372e+00  1.637915e+00  5.165468e-03
            88  1.673500e+00  1.638319e+00  5.122573e-03
            89  1.607565e+00  1.637973e+00  5.076658e-03
            90  1.508828e+00  1.636539e+00  5.219110e-03
            91  1.609486e+00  1.636241e+00  5.170217e-03
            92  1.700116e+00  1.636936e+00  5.160425e-03
            93  1.694399e+00  1.637553e+00  5.141796e-03
            94  1.669937e+00  1.637898e+00  5.098624e-03
            95  1.606264e+00  1.637565e+00  5.055816e-03
            96  1.642166e+00  1.637613e+00  5.003378e-03
            97  1.627765e+00  1.637511e+00  4.952827e-03
            98  1.647138e+00  1.637610e+00  4.903262e-03
            99  1.700554e+00  1.638245e+00  4.894782e-03
           100  1.729404e+00  1.639157e+00  4.929988e-03
