#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             1  1.784679e+00  1.784679e+00  0.000000e+00
             2  2.354864e+00  2.069771e+00  2.015908e-01
             3  1.963675e+00  2.034406e+00  1.374609e-01
             4  1.936398e+00  2.009904e+00  1.052567e-01
             5  2.097073e+00  2.027338e+00  8.563702e-02
             6  1.615873e+00  1.958760e+00  9.493109e-02
             7  2.400178e+00  2.021820e+00  1.001471e-01
             8  2.325450e+00  2.059774e+00  9.454748e-02
             9  1.860894e+00  2.037676e+00  8.658605e-02
            10  1.938523e+00  2.027761e+00  7.849311e-02
            11  1.940799e+00  2.019855e+00  7.175439e-02
            12  2.292044e+00  2.042538e+00  6.926723e-02
            13  2.686749e+00  2.092092e+00  7.971803e-02
            14  2.238827e+00  2.102573e+00  7.470971e-02
            15  1.886236e+00  2.088151e+00  7.110754e-02
            16  2.339848e+00  2.103882e+00  6.838128e-02
            17  1.958369e+00  2.095322e+00  6.489236e-02
            18  2.179530e+00  2.100001e+00  6.145563e-02
            19  2.250509e+00  2.107922e+00  5.872944e-02
            20  2.571585e+00  2.131105e+00  6.019501e-02
            21  2.272379e+00  2.137832e+00  5.770328e-02
            22  2.639302e+00  2.160627e+00  5.941214e-02
            23  2.411479e+00  2.171533e+00  5.782144e-02
            24  1.753256e+00  2.154105e+00  5.797930e-02
            25  2.083740e+00  2.151290e+00  5.572841e-02
            26  2.204715e+00  2.153345e+00  5.362288e-02
            27  2.138904e+00  2.152810e+00  5.163951e-02
            28  2.314678e+00  2.158591e+00  5.011778e-02
            29  1.811756e+00  2.146631e+00  4.979615e-02
            30  2.277503e+00  2.150994e+00  4.832699e-02
            31  2.502249e+00  2.162325e+00  4.807803e-02
            32  2.083124e+00  2.159850e+00  4.663925e-02
            33  2.442402e+00  2.168412e+00  4.600516e-02
            34  1.999549e+00  2.163445e+00  4.491936e-02
            35  1.981702e+00  2.158253e+00  4.393506e-02
            36  1.896833e+00  2.150991e+00  4.331059e-02
            37  2.011975e+00  2.147234e+00  4.230268e-02
            38  2.238924e+00  2.149647e+00  4.125821e-02
            39  2.144178e+00  2.149506e+00  4.020055e-02
            40  1.964603e+00  2.144884e+00  3.946041e-02
            41  1.856557e+00  2.137852e+00  3.911957e-02
            42  2.009402e+00  2.134793e+00  3.830752e-02
            43  1.786848e+00  2.126701e+00  3.826171e-02
            44  2.105524e+00  2.126220e+00  3.739516e-02
            45  2.234269e+00  2.128621e+00  3.664116e-02
            46  2.348165e+00  2.133394e+00  3.615411e-02
            47  2.038289e+00  2.131370e+00  3.544145e-02
            48  2.351794e+00  2.135963e+00  3.499933e-02
            49  2.102852e+00  2.135287e+00  3.429158e-02
            50  1.954012e+00  2.131661e+00  3.379686e-02
            51  2.056078e+00  2.130179e+00  3.316665e-02
            52  2.211549e+00  2.131744e+00  3.256572e-02
            53  2.065766e+00  2.130499e+00  3.197506e-02
            54  2.497523e+00  2.137296e+00  3.209717e-02
            55  2.145621e+00  2.137447e+00  3.151394e-02
            56  2.069064e+00  2.136226e+00  3.097484e-02
            57  2.369496e+00  2.140319e+00  3.070059e-02
            58  2.506999e+00  2.146641e+00  3.081533e-02
            59  1.654521e+00  2.138300e+00  3.140162e-02
            60  2.098939e+00  2.137644e+00  3.088511e-02
            61  1.838021e+00  2.132732e+00  3.076690e-02
            62  2.090660e+00  2.132053e+00  3.027814e-02
            63  2.131265e+00  2.132041e+00  2.979754e-02
            64  2.336340e+00  2.135233e+00  2.950244e-02
            65  2.201988e+00  2.136260e+00  2.906643e-02
            66  1.915465e+00  2.132915e+00  2.881790e-02
            67  1.699538e+00  2.126446e+00  2.910465e-02
            68  1.720686e+00  2.120479e+00  2.928194e-02
            69  2.456373e+00  2.125347e+00  2.925941e-02
            70  2.084042e+00  2.124757e+00  2.884737e-02
            71  2.103958e+00  2.124464e+00  2.844256e-02
            72  2.015594e+00  2.122952e+00  2.808769e-02
            73  2.244042e+00  2.124611e+00  2.775186e-02
            74  2.224555e+00  2.125961e+00  2.740968e-02
            75  2.192617e+00  2.126850e+00  2.705862e-02
            76  2.084329e+00  2.126291e+00  2.670837e-02
            77  2.489497e+00  2.131008e+00  2.677480e-02
            78  2.202236e+00  2.131921e+00  2.644710e-02
            79  2.345017e+00  2.134618e+00  2.624953e-02
            80  1.939325e+00  2.132177e+00  2.603467e-02
            81  2.179185e+00  2.132757e+00  2.571973e-02
            82  2.100214e+00  2.132361e+00  2.540913e-02
            83  2.519644e+00  2.137027e+00  2.552784e-02
            84  2.178980e+00  2.137526e+00  2.522882e-02
            85  1.914663e+00  2.134904e+00  2.506788e-02
            86  2.384571e+00  2.137807e+00  2.494393e-02
            87  2.338961e+00  2.140119e+00  2.476414e-02
            88  1.968335e+00  2.138167e+00  2.455955e-02
            89  2.325898e+00  2.140277e+00  2.437402e-02
            90  2.748654e+00  2.147036e+00  2.502300e-02
            91  2.123499e+00  2.146778e+00  2.474936e-02
            92  1.857444e+00  2.143633e+00  2.467935e-02
            93  1.939232e+00  2.141435e+00  2.451165e-02
            94  2.164107e+00  2.141676e+00  2.425207e-02
            95  2.348851e+00  2.143857e+00  2.409464e-02
            96  2.004262e+00  2.142403e+00  2.388749e-02
            97  2.138890e+00  2.142367e+00  2.364126e-02
            98  2.023915e+00  2.141158e+00  2.343090e-02
            99  1.748004e+00  2.137187e+00  2.352836e-02
           100  1.614579e+00  2.131961e+00  2.386642e-02
