#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             1  1.135605e+00  1.135605e+00  0.000000e+00
             2  1.052397e+00  1.094001e+00  2.941865e-02
             3  1.119282e+00  1.102428e+00  2.078439e-02
             4  1.121220e+00  1.107126e+00  1.611047e-02
             5  1.104012e+00  1.106503e+00  1.290041e-02
             6  1.179431e+00  1.118658e+00  1.544939e-02
             7  1.039465e+00  1.107345e+00  1.688386e-02
             8  1.036971e+00  1.098548e+00  1.691040e-02
             9  1.125062e+00  1.101494e+00  1.528593e-02
            10  1.135970e+00  1.104942e+00  1.414078e-02
            11  1.126926e+00  1.106940e+00  1.299572e-02
            12  1.081780e+00  1.104844e+00  1.208070e-02
            13  1.061330e+00  1.101496e+00  1.160586e-02
            14  1.123154e+00  1.103043e+00  1.087948e-02
            15  1.138103e+00  1.105381e+00  1.040223e-02
            16  1.063354e+00  1.102754e+00  1.007827e-02
            17  1.132210e+00  1.104487e+00  9.633228e-03
            18  1.103611e+00  1.104438e+00  9.098171e-03
            19  1.089737e+00  1.103664e+00  8.652160e-03
            20  1.031930e+00  1.100078e+00  8.932102e-03
            21  1.090508e+00  1.099622e+00  8.518379e-03
            22  1.048984e+00  1.097320e+00  8.436416e-03
            23  1.066294e+00  1.095971e+00  8.176752e-03
            24  1.124853e+00  1.097175e+00  7.924117e-03
            25  1.110219e+00  1.097696e+00  7.624312e-03
            26  1.089473e+00  1.097380e+00  7.337626e-03
            27  1.094745e+00  1.097283e+00  7.066511e-03
            28  1.094798e+00  1.097194e+00  6.814693e-03
            29  1.132677e+00  1.098417e+00  6.688644e-03
            30  1.072211e+00  1.097544e+00  6.522482e-03
            31  1.055770e+00  1.096196e+00  6.449778e-03
            32  1.098377e+00  1.096264e+00  6.248582e-03
            33  1.050461e+00  1.094876e+00  6.211474e-03
            34  1.104809e+00  1.095169e+00  6.035650e-03
            35  1.109750e+00  1.095585e+00  5.877564e-03
            36  1.140843e+00  1.096842e+00  5.847200e-03
            37  1.134189e+00  1.097852e+00  5.775631e-03
            38  1.070404e+00  1.097129e+00  5.668628e-03
            39  1.060653e+00  1.096194e+00  5.599906e-03
            40  1.093217e+00  1.096120e+00  5.460403e-03
            41  1.119831e+00  1.096698e+00  5.357762e-03
            42  1.111297e+00  1.097046e+00  5.241460e-03
            43  1.128925e+00  1.097787e+00  5.171731e-03
            44  1.109322e+00  1.098049e+00  5.060832e-03
            45  1.096433e+00  1.098013e+00  4.948496e-03
            46  1.062019e+00  1.097231e+00  4.902395e-03
            47  1.115261e+00  1.097614e+00  4.813074e-03
            48  1.054658e+00  1.096719e+00  4.795279e-03
            49  1.096267e+00  1.096710e+00  4.697425e-03
            50  1.116339e+00  1.097103e+00  4.619852e-03
            51  1.088318e+00  1.096931e+00  4.532477e-03
            52  1.079000e+00  1.096586e+00  4.458410e-03
            53  1.094508e+00  1.096547e+00  4.374462e-03
            54  1.050922e+00  1.095702e+00  4.374284e-03
            55  1.066120e+00  1.095164e+00  4.327691e-03
            56  1.077143e+00  1.094842e+00  4.262359e-03
            57  1.051616e+00  1.094084e+00  4.254507e-03
            58  1.038429e+00  1.093124e+00  4.287997e-03
            59  1.151168e+00  1.094108e+00  4.326704e-03
            60  1.094660e+00  1.094117e+00  4.254602e-03
            61  1.135084e+00  1.094789e+00  4.237527e-03
            62  1.074237e+00  1.094457e+00  4.182124e-03
            63  1.083807e+00  1.094288e+00  4.119157e-03
            64  1.088476e+00  1.094197e+00  4.055796e-03
            65  1.089098e+00  1.094119e+00  3.994158e-03
            66  1.102447e+00  1.094245e+00  3.935633e-03
            67  1.116929e+00  1.094584e+00  3.891427e-03
            68  1.163653e+00  1.095599e+00  3.964547e-03
            69  1.057440e+00  1.095046e+00  3.945475e-03
            70  1.110637e+00  1.095269e+00  3.895392e-03
            71  1.111150e+00  1.095493e+00  3.846944e-03
            72  1.113649e+00  1.095745e+00  3.801770e-03
            73  1.073199e+00  1.095436e+00  3.762216e-03
            74  1.062926e+00  1.094997e+00  3.736937e-03
            75  1.069807e+00  1.094661e+00  3.702173e-03
            76  1.089038e+00  1.094587e+00  3.654199e-03
            77  1.048091e+00  1.093983e+00  3.656292e-03
            78  1.072784e+00  1.093711e+00  3.619504e-03
            79  1.053270e+00  1.093199e+00  3.609707e-03
            80  1.114442e+00  1.093465e+00  3.574339e-03
            81  1.092186e+00  1.093449e+00  3.530246e-03
            82  1.095400e+00  1.093473e+00  3.487275e-03
            83  1.026847e+00  1.092670e+00  3.536441e-03
            84  1.069516e+00  1.092394e+00  3.505067e-03
            85  1.110774e+00  1.092611e+00  3.470494e-03
            86  1.040222e+00  1.092002e+00  3.483191e-03
            87  1.086915e+00  1.091943e+00  3.443645e-03
            88  1.115667e+00  1.092213e+00  3.415049e-03
            89  1.071710e+00  1.091982e+00  3.384439e-03
            90  1.005886e+00  1.091026e+00  3.479407e-03
            91  1.072991e+00  1.090827e+00  3.446811e-03
            92  1.133411e+00  1.091290e+00  3.440284e-03
            93  1.129599e+00  1.091702e+00  3.427864e-03
            94  1.113291e+00  1.091932e+00  3.399083e-03
            95  1.070843e+00  1.091710e+00  3.370544e-03
            96  1.094777e+00  1.091742e+00  3.335586e-03
            97  1.085177e+00  1.091674e+00  3.301885e-03
            98  1.098092e+00  1.091740e+00  3.268841e-03
            99  1.133702e+00  1.092164e+00  3.263188e-03
           100  1.152936e+00  1.092771e+00  3.286659e-03
