#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
             1  1.206632e+00  1.206632e+00  0.000000e+00
             2  1.189606e+00  1.198119e+00  6.019433e-03
             3  1.215783e+00  1.204007e+00  6.262236e-03
             4  1.178708e+00  1.197682e+00  7.215311e-03
             5  1.199263e+00  1.197998e+00  5.779174e-03
             6  1.188836e+00  1.196471e+00  5.013658e-03
             7  1.191265e+00  1.195728e+00  4.352239e-03
             8  1.189228e+00  1.194915e+00  3.883303e-03
             9  1.217054e+00  1.197375e+00  4.158590e-03
            10  1.174266e+00  1.195064e+00  4.337540e-03
            11  1.225717e+00  1.197851e+00  4.754813e-03
            12  1.182560e+00  1.196576e+00  4.526091e-03
            13  1.184108e+00  1.195617e+00  4.278344e-03
            14  1.200868e+00  1.195992e+00  3.989152e-03
            15  1.205695e+00  1.196639e+00  3.775287e-03
            16  1.194239e+00  1.196489e+00  3.542311e-03
            17  1.204888e+00  1.196983e+00  3.368215e-03
            18  1.216517e+00  1.198068e+00  3.351361e-03
            19  1.192312e+00  1.197765e+00  3.188638e-03
            20  1.181141e+00  1.196934e+00  3.135682e-03
            21  1.219665e+00  1.198017e+00  3.167676e-03
            22  1.201638e+00  1.198181e+00  3.027963e-03
            23  1.199268e+00  1.198228e+00  2.896681e-03
            24  1.170982e+00  1.197093e+00  2.990183e-03
            25  1.217549e+00  1.197911e+00  2.980427e-03
            26  1.170842e+00  1.196870e+00  3.042205e-03
            27  1.173411e+00  1.196001e+00  3.051085e-03
            28  1.225992e+00  1.197073e+00  3.124474e-03
            29  1.152691e+00  1.195542e+00  3.370769e-03
            30  1.237989e+00  1.196957e+00  3.542946e-03
            31  1.158852e+00  1.195728e+00  3.635638e-03
            32  1.236482e+00  1.197001e+00  3.738437e-03
            33  1.165228e+00  1.196039e+00  3.747087e-03
            34  1.183790e+00  1.195678e+00  3.654156e-03
            35  1.250037e+00  1.197231e+00  3.865746e-03
            36  1.133097e+00  1.195450e+00  4.148608e-03
            37  1.207269e+00  1.195769e+00  4.048762e-03
            38  1.203001e+00  1.195960e+00  3.946685e-03
            39  1.216561e+00  1.196488e+00  3.880678e-03
            40  1.187781e+00  1.196270e+00  3.789762e-03
            41  1.155895e+00  1.195285e+00  3.823131e-03
            42  1.245374e+00  1.196478e+00  3.913692e-03
            43  1.165206e+00  1.195751e+00  3.889658e-03
            44  1.209162e+00  1.196056e+00  3.813181e-03
            45  1.201881e+00  1.196185e+00  3.730640e-03
            46  1.174727e+00  1.195719e+00  3.678588e-03
            47  1.215245e+00  1.196134e+00  3.623704e-03
            48  1.149118e+00  1.195155e+00  3.678211e-03
            49  1.263082e+00  1.196541e+00  3.855542e-03
            50  1.148534e+00  1.195581e+00  3.896148e-03
            51  1.216342e+00  1.195988e+00  3.840960e-03
            52  1.187149e+00  1.195818e+00  3.770855e-03
            53  1.181975e+00  1.195557e+00  3.708741e-03
            54  1.182417e+00  1.195313e+00  3.648033e-03
            55  1.177181e+00  1.194984e+00  3.596572e-03
            56  1.228422e+00  1.195581e+00  3.581572e-03
            57  1.169268e+00  1.195119e+00  3.548363e-03
            58  1.186756e+00  1.194975e+00  3.490113e-03
            59  1.197026e+00  1.195010e+00  3.431131e-03
            60  1.198689e+00  1.195071e+00  3.374494e-03
            61  1.190233e+00  1.194992e+00  3.320106e-03
            62  1.202503e+00  1.195113e+00  3.268766e-03
            63  1.187850e+00  1.194998e+00  3.218913e-03
            64  1.180357e+00  1.194769e+00  3.176736e-03
            65  1.229923e+00  1.195310e+00  3.173567e-03
            66  1.186746e+00  1.195180e+00  3.128134e-03
            67  1.184265e+00  1.195017e+00  3.085684e-03
            68  1.219789e+00  1.195381e+00  3.061735e-03
            69  1.222489e+00  1.195774e+00  3.042464e-03
            70  1.154820e+00  1.195189e+00  3.054736e-03
            71  1.202409e+00  1.195291e+00  3.013404e-03
            72  1.184238e+00  1.195137e+00  2.975458e-03
            73  1.208369e+00  1.195318e+00  2.940214e-03
            74  1.174274e+00  1.195034e+00  2.914202e-03
            75  1.227272e+00  1.195464e+00  2.906873e-03
            76  1.183487e+00  1.195306e+00  2.872894e-03
            77  1.187580e+00  1.195206e+00  2.837335e-03
            78  1.233889e+00  1.195702e+00  2.843972e-03
            79  1.139051e+00  1.194985e+00  2.896969e-03
            80  1.243555e+00  1.195592e+00  2.923682e-03
            81  1.163503e+00  1.195196e+00  2.914303e-03
            82  1.227844e+00  1.195594e+00  2.905834e-03
            83  1.165284e+00  1.195229e+00  2.893680e-03
            84  1.243453e+00  1.195803e+00  2.915624e-03
            85  1.139594e+00  1.195142e+00  2.955362e-03
            86  1.237281e+00  1.195632e+00  2.961339e-03
            87  1.187741e+00  1.195541e+00  2.928689e-03
            88  1.177479e+00  1.195336e+00  2.902591e-03
            89  1.194300e+00  1.195324e+00  2.870001e-03
            90  1.191836e+00  1.195285e+00  2.838374e-03
            91  1.204147e+00  1.195383e+00  2.808853e-03
            92  1.182205e+00  1.195239e+00  2.781972e-03
            93  1.197038e+00  1.195259e+00  2.752125e-03
            94  1.207189e+00  1.195386e+00  2.725772e-03
            95  1.173907e+00  1.195160e+00  2.706440e-03
            96  1.233294e+00  1.195557e+00  2.707244e-03
            97  1.182884e+00  1.195426e+00  2.682484e-03
            98  1.192639e+00  1.195398e+00  2.655263e-03
            99  1.162333e+00  1.195064e+00  2.649364e-03
           100  1.241935e+00  1.195532e+00  2.664009e-03
