#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             1  9.540428e+00  9.540428e+00  0.000000e+00
             2  9.657185e+00  9.598806e+00  4.127989e-02
             3  9.488520e+00  9.562044e+00  4.072237e-02
             4  9.658031e+00  9.586041e+00  3.694155e-02
             5  9.575669e+00  9.583966e+00  2.961142e-02
             6  9.596099e+00  9.585989e+00  2.474513e-02
             7  9.592034e+00  9.586852e+00  2.122518e-02
             8  9.586257e+00  9.586778e+00  1.857216e-02
             9  9.451751e+00  9.571775e+00  2.173963e-02
            10  9.695494e+00  9.584147e+00  2.281607e-02
            11  9.419321e+00  9.569163e+00  2.518612e-02
            12  9.665022e+00  9.577151e+00  2.432112e-02
            13  9.629121e+00  9.581149e+00  2.277645e-02
            14  9.574845e+00  9.580698e+00  2.115401e-02
            15  9.549746e+00  9.578635e+00  1.984413e-02
            16  9.611630e+00  9.580697e+00  1.871072e-02
            17  9.514110e+00  9.576780e+00  1.801540e-02
            18  9.484807e+00  9.571670e+00  1.772435e-02
            19  9.617892e+00  9.574103e+00  1.695762e-02
            20  9.678462e+00  9.579321e+00  1.689347e-02
            21  9.489243e+00  9.575032e+00  1.662467e-02
            22  9.570524e+00  9.574827e+00  1.587027e-02
            23  9.599971e+00  9.575920e+00  1.521786e-02
            24  9.688892e+00  9.580627e+00  1.529447e-02
            25  9.489642e+00  9.576988e+00  1.510950e-02
            26  9.721306e+00  9.582538e+00  1.551447e-02
            27  9.718944e+00  9.587591e+00  1.574095e-02
            28  9.449090e+00  9.582644e+00  1.593702e-02
            29  9.770612e+00  9.589126e+00  1.665345e-02
            30  9.398615e+00  9.582775e+00  1.726670e-02
            31  9.758897e+00  9.588457e+00  1.761962e-02
            32  9.377057e+00  9.581850e+00  1.826553e-02
            33  9.756411e+00  9.587140e+00  1.846210e-02
            34  9.594704e+00  9.587363e+00  1.792043e-02
            35  9.297209e+00  9.579073e+00  1.923058e-02
            36  9.890728e+00  9.587730e+00  2.055283e-02
            37  9.564838e+00  9.587111e+00  2.000666e-02
            38  9.537443e+00  9.585804e+00  1.952282e-02
            39  9.486667e+00  9.583262e+00  1.918701e-02
            40  9.669173e+00  9.585410e+00  1.882716e-02
            41  9.788308e+00  9.590358e+00  1.900723e-02
            42  9.350221e+00  9.584641e+00  1.939556e-02
            43  9.727613e+00  9.587966e+00  1.922738e-02
            44  9.544678e+00  9.586982e+00  1.881555e-02
            45  9.566345e+00  9.586523e+00  1.840301e-02
            46  9.674248e+00  9.588430e+00  1.810149e-02
            47  9.466417e+00  9.585834e+00  1.790154e-02
            48  9.753576e+00  9.589329e+00  1.786643e-02
            49  9.239919e+00  9.582198e+00  1.887126e-02
            50  9.768885e+00  9.585932e+00  1.885958e-02
            51  9.502921e+00  9.584304e+00  1.855989e-02
            52  9.613424e+00  9.584864e+00  1.821142e-02
            53  9.607282e+00  9.585287e+00  1.787271e-02
            54  9.653319e+00  9.586547e+00  1.758609e-02
            55  9.611680e+00  9.587004e+00  1.727227e-02
            56  9.435933e+00  9.584306e+00  1.717322e-02
            57  9.686307e+00  9.586096e+00  1.696492e-02
            58  9.658194e+00  9.587339e+00  1.671790e-02
            59  9.573844e+00  9.587110e+00  1.643611e-02
            60  9.558009e+00  9.586625e+00  1.616933e-02
            61  9.615954e+00  9.587106e+00  1.591140e-02
            62  9.539822e+00  9.586343e+00  1.567303e-02
            63  9.608257e+00  9.586691e+00  1.542811e-02
            64  9.637885e+00  9.587491e+00  1.520777e-02
            65  9.396796e+00  9.584557e+00  1.525416e-02
            66  9.643411e+00  9.585449e+00  1.504908e-02
            67  9.675383e+00  9.586791e+00  1.488421e-02
            68  9.463756e+00  9.584982e+00  1.477489e-02
            69  9.445747e+00  9.582964e+00  1.469791e-02
            70  9.829746e+00  9.586490e+00  1.490476e-02
            71  9.566664e+00  9.586210e+00  1.469745e-02
            72  9.682137e+00  9.587543e+00  1.455358e-02
            73  9.537066e+00  9.586851e+00  1.437063e-02
            74  9.681906e+00  9.588136e+00  1.423372e-02
            75  9.419719e+00  9.585890e+00  1.421997e-02
            76  9.640844e+00  9.586613e+00  1.405124e-02
            77  9.639132e+00  9.587295e+00  1.388530e-02
            78  9.430173e+00  9.585281e+00  1.385263e-02
            79  9.869551e+00  9.588879e+00  1.413691e-02
            80  9.346195e+00  9.585846e+00  1.428197e-02
            81  9.747076e+00  9.587836e+00  1.424368e-02
            82  9.390618e+00  9.585431e+00  1.427159e-02
            83  9.719736e+00  9.587049e+00  1.419108e-02
            84  9.315099e+00  9.583812e+00  1.438669e-02
            85  9.844898e+00  9.586883e+00  1.454164e-02
            86  9.364980e+00  9.584303e+00  1.459967e-02
            87  9.599181e+00  9.584474e+00  1.443286e-02
            88  9.650352e+00  9.585223e+00  1.428826e-02
            89  9.579882e+00  9.585163e+00  1.412784e-02
            90  9.591426e+00  9.585232e+00  1.397104e-02
            91  9.554044e+00  9.584890e+00  1.382171e-02
            92  9.652857e+00  9.585628e+00  1.369120e-02
            93  9.567658e+00  9.585435e+00  1.354535e-02
            94  9.545946e+00  9.585015e+00  1.340776e-02
            95  9.748040e+00  9.586731e+00  1.337600e-02
            96  9.441037e+00  9.585213e+00  1.332248e-02
            97  9.669893e+00  9.586086e+00  1.321371e-02
            98  9.604844e+00  9.586278e+00  1.308026e-02
            99  9.756990e+00  9.588002e+00  1.306130e-02
           100  9.346493e+00  9.585587e+00  1.315208e-02
