#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             1  8.044211e-01  8.044211e-01  0.000000e+00
             2  7.930707e-01  7.987459e-01  4.012955e-03
             3  8.105218e-01  8.026712e-01  4.174824e-03
             4  7.858052e-01  7.984547e-01  4.810207e-03
             5  7.995088e-01  7.986655e-01  3.852783e-03
             6  7.925575e-01  7.976475e-01  3.342439e-03
             7  7.941766e-01  7.971517e-01  2.901493e-03
             8  7.928185e-01  7.966100e-01  2.588869e-03
             9  8.113695e-01  7.982500e-01  2.772393e-03
            10  7.828440e-01  7.967094e-01  2.891693e-03
            11  8.171445e-01  7.985671e-01  3.169875e-03
            12  7.883735e-01  7.977176e-01  3.017394e-03
            13  7.894053e-01  7.970782e-01  2.852230e-03
            14  8.005786e-01  7.973283e-01  2.659435e-03
            15  8.037966e-01  7.977595e-01  2.516858e-03
            16  7.961592e-01  7.976595e-01  2.361541e-03
            17  8.032586e-01  7.979888e-01  2.245477e-03
            18  8.110114e-01  7.987123e-01  2.234240e-03
            19  7.948747e-01  7.985103e-01  2.125759e-03
            20  7.874271e-01  7.979562e-01  2.090455e-03
            21  8.131098e-01  7.986778e-01  2.111784e-03
            22  8.010917e-01  7.987875e-01  2.018642e-03
            23  7.995117e-01  7.988190e-01  1.931121e-03
            24  7.806550e-01  7.980621e-01  1.993455e-03
            25  8.116995e-01  7.986076e-01  1.986951e-03
            26  7.805616e-01  7.979136e-01  2.028137e-03
            27  7.822740e-01  7.973343e-01  2.034056e-03
            28  8.173282e-01  7.980484e-01  2.082982e-03
            29  7.684604e-01  7.970281e-01  2.247179e-03
            30  8.253262e-01  7.979714e-01  2.361964e-03
            31  7.725681e-01  7.971519e-01  2.423759e-03
            32  8.243211e-01  7.980010e-01  2.492291e-03
            33  7.768188e-01  7.973591e-01  2.498058e-03
            34  7.891933e-01  7.971189e-01  2.436104e-03
            35  8.333583e-01  7.981543e-01  2.577164e-03
            36  7.553979e-01  7.969666e-01  2.765738e-03
            37  8.048458e-01  7.971796e-01  2.699175e-03
            38  8.020003e-01  7.973064e-01  2.631123e-03
            39  8.110408e-01  7.976586e-01  2.587119e-03
            40  7.918539e-01  7.975135e-01  2.526508e-03
            41  7.705969e-01  7.968570e-01  2.548754e-03
            42  8.302492e-01  7.976520e-01  2.609128e-03
            43  7.768042e-01  7.971672e-01  2.593105e-03
            44  8.061081e-01  7.973704e-01  2.542120e-03
            45  8.012542e-01  7.974567e-01  2.487093e-03
            46  7.831514e-01  7.971457e-01  2.452392e-03
            47  8.101632e-01  7.974227e-01  2.415803e-03
            48  7.660786e-01  7.967697e-01  2.452140e-03
            49  8.420548e-01  7.976939e-01  2.570361e-03
            50  7.656893e-01  7.970538e-01  2.597432e-03
            51  8.108945e-01  7.973252e-01  2.560640e-03
            52  7.914328e-01  7.972119e-01  2.513903e-03
            53  7.879833e-01  7.970377e-01  2.472494e-03
            54  7.882783e-01  7.968755e-01  2.432022e-03
            55  7.847871e-01  7.966557e-01  2.397715e-03
            56  8.189480e-01  7.970538e-01  2.387715e-03
            57  7.795117e-01  7.967461e-01  2.365575e-03
            58  7.911710e-01  7.966499e-01  2.326742e-03
            59  7.980176e-01  7.966731e-01  2.287421e-03
            60  7.991260e-01  7.967140e-01  2.249662e-03
            61  7.934883e-01  7.966611e-01  2.213404e-03
            62  8.016686e-01  7.967419e-01  2.179177e-03
            63  7.919000e-01  7.966650e-01  2.145942e-03
            64  7.869046e-01  7.965125e-01  2.117824e-03
            65  8.199487e-01  7.968731e-01  2.115711e-03
            66  7.911639e-01  7.967866e-01  2.085423e-03
            67  7.895102e-01  7.966780e-01  2.057123e-03
            68  8.131926e-01  7.969208e-01  2.041157e-03
            69  8.149928e-01  7.971827e-01  2.028309e-03
            70  7.698797e-01  7.967927e-01  2.036491e-03
            71  8.016062e-01  7.968605e-01  2.008936e-03
            72  7.894920e-01  7.967582e-01  1.983639e-03
            73  8.055793e-01  7.968790e-01  1.960143e-03
            74  7.828494e-01  7.966894e-01  1.942802e-03
            75  8.181811e-01  7.969760e-01  1.937915e-03
            76  7.889910e-01  7.968709e-01  1.915262e-03
            77  7.917200e-01  7.968040e-01  1.891557e-03
            78  8.225929e-01  7.971346e-01  1.895981e-03
            79  7.593674e-01  7.966566e-01  1.931312e-03
            80  8.290365e-01  7.970613e-01  1.949122e-03
            81  7.756689e-01  7.967972e-01  1.942869e-03
            82  8.185630e-01  7.970626e-01  1.937223e-03
            83  7.768558e-01  7.968192e-01  1.929120e-03
            84  8.289686e-01  7.972019e-01  1.943750e-03
            85  7.597295e-01  7.967611e-01  1.970241e-03
            86  8.248540e-01  7.970877e-01  1.974226e-03
            87  7.918276e-01  7.970273e-01  1.952459e-03
            88  7.849861e-01  7.968904e-01  1.935061e-03
            89  7.961999e-01  7.968827e-01  1.913334e-03
            90  7.945575e-01  7.968568e-01  1.892249e-03
            91  8.027646e-01  7.969218e-01  1.872569e-03
            92  7.881368e-01  7.968263e-01  1.854648e-03
            93  7.980257e-01  7.968392e-01  1.834750e-03
            94  8.047923e-01  7.969238e-01  1.817181e-03
            95  7.826045e-01  7.967731e-01  1.804294e-03
            96  8.221963e-01  7.970379e-01  1.804829e-03
            97  7.885895e-01  7.969508e-01  1.788323e-03
            98  7.950927e-01  7.969318e-01  1.770175e-03
            99  7.748887e-01  7.967092e-01  1.766242e-03
           100  8.279569e-01  7.970216e-01  1.776006e-03
