#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
             1  1.516267e-02  1.516267e-02  0.000000e+00
             2  4.167467e-02  2.841867e-02  9.373407e-03
             3 -1.342267e-01 -2.579644e-02  4.470535e-02
             4  2.449653e-01  4.189400e-02  6.753289e-02
             5 -3.256000e-02  2.700320e-02  5.564379e-02
             6 -2.156160e-01 -1.343333e-02  5.926850e-02
             7  1.111840e-01  4.369143e-03  5.340835e-02
             8 -8.250400e-02 -6.490000e-03  4.782353e-02
             9  1.470933e-01  1.057481e-02  4.545255e-02
            10  7.994400e-02  1.751173e-02  4.143327e-02
            11 -1.402587e-01  3.168970e-03  4.007227e-02
            12 -3.564533e-02 -6.555556e-05  3.686323e-02
            13  1.793493e-01  1.373559e-02  3.651982e-02
            14  2.710933e-02  1.469086e-02  3.392375e-02
            15 -1.160000e-02  1.293813e-02  3.170741e-02
            16  4.092000e-02  1.468700e-02  2.977389e-02
            17  2.508187e-01  2.857710e-02  3.109414e-02
            18  7.044267e-02  3.090296e-02  2.945355e-02
            19 -1.391253e-01  2.195411e-02  2.923123e-02
            20  1.421600e-02  2.156720e-02  2.777223e-02
            21  1.179840e-01  2.615848e-02  2.682657e-02
            22  2.266880e-01  3.527345e-02  2.711151e-02
            23 -1.262720e-01  2.824974e-02  2.682713e-02
            24  6.182400e-02  2.964867e-02  2.574578e-02
            25 -1.386400e-02  2.790816e-02  2.477472e-02
            26 -1.614613e-01  2.062472e-02  2.486943e-02
            27 -9.928267e-02  1.618370e-02  2.434163e-02
            28  1.820587e-01  2.210781e-02  2.418243e-02
            29  4.560533e-02  2.291807e-02  2.336212e-02
            30  3.392800e-02  2.328507e-02  2.258627e-02
            31 -1.433307e-01  1.791037e-02  2.248808e-02
            32 -3.006347e-01  7.955833e-03  2.388716e-02
            33  3.205120e-01  1.742723e-02  2.497054e-02
            34  2.682667e-03  1.699357e-02  2.423988e-02
            35 -6.241600e-02  1.472472e-02  2.365325e-02
            36 -2.512853e-01  7.335556e-03  2.412279e-02
            37  2.395467e-02  7.784721e-03  2.347501e-02
            38  1.341520e-01  1.111018e-02  2.309158e-02
            39  5.306667e-03  1.096137e-02  2.249997e-02
            40 -2.152533e-02  1.014920e-02  2.195213e-02
            41 -7.973333e-03  9.707187e-03  2.142116e-02
            42  1.232587e-01  1.241079e-02  2.108105e-02
            43 -3.697067e-02  1.126239e-02  2.062205e-02
            44 -5.141333e-03  1.088958e-02  2.015674e-02
            45  6.568000e-03  1.079354e-02  1.970904e-02
            46  3.758560e-01  1.872968e-02  2.081716e-02
            47 -4.902667e-02  1.728806e-02  2.042409e-02
            48 -6.569067e-02  1.555933e-02  2.007162e-02
            49 -1.147920e-01  1.289910e-02  1.983750e-02
            50  3.488800e-02  1.333888e-02  1.944563e-02
            51  1.959387e-01  1.691927e-02  1.939115e-02
            52 -1.031440e-01  1.461036e-02  1.915521e-02
            53  1.484133e-01  1.713494e-02  1.895943e-02
            54  3.675200e-02  1.749822e-02  1.861181e-02
            55  9.788000e-02  1.895971e-02  1.833071e-02
            56  4.840267e-02  1.948548e-02  1.801091e-02
            57  3.015760e-01  2.443443e-02  1.836227e-02
            58 -1.035013e-01  2.222864e-02  1.817768e-02
            59 -1.982933e-02  2.151580e-02  1.788356e-02
            60  3.187840e-01  2.647027e-02  1.825890e-02
            61  1.581333e-02  2.629556e-02  1.796041e-02
            62  4.944000e-02  2.666886e-02  1.767461e-02
            63  3.060000e-02  2.673126e-02  1.739417e-02
            64 -6.962400e-02  2.522571e-02  1.718742e-02
            65  5.503467e-02  2.568431e-02  1.692911e-02
            66 -6.815200e-02  2.426255e-02  1.673220e-02
            67 -7.909600e-02  2.271988e-02  1.655343e-02
            68 -7.034933e-02  2.135122e-02  1.636648e-02
            69  4.477067e-02  2.169063e-02  1.613281e-02
            70 -6.578667e-03  2.128678e-02  1.590739e-02
            71 -1.248533e-02  2.081112e-02  1.569045e-02
            72 -2.857867e-02  2.012515e-02  1.548752e-02
            73  1.377920e-01  2.173702e-02  1.535901e-02
            74  1.480613e-01  2.344411e-02  1.524603e-02
            75  1.221120e-01  2.475968e-02  1.509940e-02
            76 -2.533333e-04  2.443056e-02  1.490431e-02
            77 -1.766133e-02  2.388391e-02  1.472077e-02
            78 -2.899200e-02  2.320602e-02  1.454764e-02
            79  5.475200e-02  2.360533e-02  1.436898e-02
            80  2.618667e-02  2.363760e-02  1.418940e-02
            81  9.240267e-02  2.448655e-02  1.403960e-02
            82  1.271227e-01  2.573821e-02  1.392406e-02
            83  9.672267e-02  2.659345e-02  1.378254e-02
            84  2.105573e-01  2.878349e-02  1.379137e-02
            85  1.625733e-01  3.035749e-02  1.371864e-02
            86  3.122667e-03  3.004081e-02  1.356278e-02
            87 -1.119333e-01  2.840892e-02  1.350470e-02
            88  1.059200e-02  2.820645e-02  1.335276e-02
            89 -5.745867e-02  2.724393e-02  1.323737e-02
            90 -3.476267e-01  2.307870e-02  1.372997e-02
            91 -2.528800e-02  2.254719e-02  1.358937e-02
            92  3.646133e-02  2.269843e-02  1.344250e-02
            93 -2.017067e-01  2.028548e-02  1.351279e-02
            94 -2.152293e-01  1.778000e-02  1.359933e-02
            95 -1.982080e-01  1.550644e-02  1.364491e-02
            96 -2.298667e-03  1.532097e-02  1.350403e-02
            97  1.179733e-02  1.528465e-02  1.336486e-02
            98 -1.159493e-01  1.394552e-02  1.329541e-02
            99  1.738987e-01  1.556121e-02  1.325892e-02
           100  3.034000e-01  1.843960e-02  1.343513e-02
