#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
             1  4.245750e-01  4.245750e-01  0.000000e+00
             2  4.124590e-01  4.185170e-01  4.283661e-03
             3  4.324142e-01  4.231494e-01  4.739363e-03
             4  4.250732e-01  4.236304e-01  3.578842e-03
             5  4.163490e-01  4.221741e-01  3.145441e-03
             6  4.521281e-01  4.271664e-01  5.257390e-03
             7  4.552797e-01  4.311826e-01  5.842302e-03
             8  4.307010e-01  4.311224e-01  5.112324e-03
             9  4.114880e-01  4.289408e-01  4.988099e-03
            10  4.551938e-01  4.315661e-01  5.133878e-03
            11  4.416654e-01  4.324842e-01  4.748549e-03
            12  4.309944e-01  4.323601e-01  4.354459e-03
            13  4.301426e-01  4.321895e-01  4.022840e-03
            14  4.188122e-01  4.312340e-01  3.847301e-03
            15  4.198466e-01  4.304748e-01  3.664948e-03
            16  4.294269e-01  4.304093e-01  3.436474e-03
            17  4.079980e-01  4.290910e-01  3.478015e-03
            18  4.330311e-01  4.293099e-01  3.291673e-03
            19  4.110114e-01  4.283468e-01  3.256270e-03
            20  4.686197e-01  4.303605e-01  3.663535e-03
            21  3.980847e-01  4.288235e-01  3.797814e-03
            22  4.270191e-01  4.287415e-01  3.626072e-03
            23  3.804606e-01  4.266423e-01  4.030488e-03
            24  4.277323e-01  4.266877e-01  3.862807e-03
            25  4.410543e-01  4.272624e-01  3.750797e-03
            26  4.274532e-01  4.272697e-01  3.606543e-03
            27  4.939310e-01  4.297387e-01  4.234546e-03
            28  3.903783e-01  4.283330e-01  4.310329e-03
            29  4.230957e-01  4.281524e-01  4.165478e-03
            30  4.144433e-01  4.276954e-01  4.051617e-03
            31  4.269041e-01  4.276699e-01  3.921000e-03
            32  4.026096e-01  4.268867e-01  3.875887e-03
            33  4.186089e-01  4.266359e-01  3.766544e-03
            34  4.174419e-01  4.263655e-01  3.665457e-03
            35  4.262429e-01  4.263620e-01  3.560732e-03
            36  4.419974e-01  4.267963e-01  3.488209e-03
            37  3.936394e-01  4.259002e-01  3.507155e-03
            38  4.386701e-01  4.262362e-01  3.430924e-03
            39  4.401990e-01  4.265942e-01  3.361579e-03
            40  4.554049e-01  4.273145e-01  3.353816e-03
            41  4.360367e-01  4.275272e-01  3.278756e-03
            42  4.169357e-01  4.272751e-01  3.210373e-03
            43  4.041483e-01  4.267372e-01  3.180445e-03
            44  3.957445e-01  4.260328e-01  3.185208e-03
            45  4.118582e-01  4.257178e-01  3.129962e-03
            46  4.290929e-01  4.257912e-01  3.062779e-03
            47  4.269537e-01  4.258160e-01  2.997714e-03
            48  3.971890e-01  4.252196e-01  2.994000e-03
            49  4.734067e-01  4.262030e-01  3.090186e-03
            50  4.182708e-01  4.260443e-01  3.032452e-03
            51  4.229290e-01  4.259832e-01  2.973608e-03
            52  4.273589e-01  4.260097e-01  2.916540e-03
            53  4.196270e-01  4.258893e-01  2.863997e-03
            54  4.331529e-01  4.260238e-01  2.814117e-03
            55  4.368400e-01  4.262204e-01  2.769814e-03
            56  4.458726e-01  4.265714e-01  2.742494e-03
            57  4.203491e-01  4.264622e-01  2.696552e-03
            58  4.476226e-01  4.268270e-01  2.674626e-03
            59  4.580360e-01  4.273560e-01  2.681091e-03
            60  4.515447e-01  4.277592e-01  2.666543e-03
            61  3.987376e-01  4.272834e-01  2.664934e-03
            62  4.653320e-01  4.278971e-01  2.691685e-03
            63  4.618635e-01  4.284362e-01  2.702416e-03
            64  4.431449e-01  4.286660e-01  2.669946e-03
            65  4.062157e-01  4.283207e-01  2.651116e-03
            66  4.354729e-01  4.284290e-01  2.613161e-03
            67  4.380043e-01  4.285719e-01  2.578064e-03
            68  4.728913e-01  4.292237e-01  2.621241e-03
            69  4.052593e-01  4.288764e-01  2.606159e-03
            70  4.085534e-01  4.285861e-01  2.585049e-03
            71  4.393628e-01  4.287378e-01  2.553092e-03
            72  4.149919e-01  4.285469e-01  2.524761e-03
            73  4.363502e-01  4.286538e-01  2.492437e-03
            74  4.185775e-01  4.285177e-01  2.462472e-03
            75  4.128870e-01  4.283092e-01  2.438442e-03
            76  4.169236e-01  4.281594e-01  2.410955e-03
            77  4.088750e-01  4.279090e-01  2.392617e-03
            78  4.357138e-01  4.280090e-01  2.364034e-03
            79  4.346104e-01  4.280926e-01  2.335586e-03
            80  4.296679e-01  4.281123e-01  2.306474e-03
            81  4.553409e-01  4.284485e-01  2.302365e-03
            82  4.542875e-01  4.287636e-01  2.295750e-03
            83  4.264493e-01  4.287357e-01  2.268259e-03
            84  4.432735e-01  4.289088e-01  2.247849e-03
            85  4.377314e-01  4.290126e-01  2.223799e-03
            86  4.240009e-01  4.289543e-01  2.198704e-03
            87  4.483997e-01  4.291778e-01  2.184763e-03
            88  4.383405e-01  4.292819e-01  2.162416e-03
            89  4.231009e-01  4.292125e-01  2.139234e-03
            90  4.204636e-01  4.291152e-01  2.117672e-03
            91  4.301215e-01  4.291263e-01  2.094430e-03
            92  4.675478e-01  4.295439e-01  2.112891e-03
            93  4.150209e-01  4.293878e-01  2.095935e-03
            94  4.323382e-01  4.294192e-01  2.073872e-03
            95  4.280809e-01  4.294051e-01  2.052090e-03
            96  4.410622e-01  4.295265e-01  2.034303e-03
            97  4.370987e-01  4.296046e-01  2.014829e-03
            98  3.982040e-01  4.292841e-01  2.019586e-03
            99  4.246891e-01  4.292377e-01  1.999719e-03
           100  4.532226e-01  4.294776e-01  1.994054e-03
