#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
             1  2.949813e-01  2.949813e-01  0.000000e+00
             2  2.571147e-01  2.760480e-01  1.338789e-02
             3  3.130747e-01  2.883902e-01  1.346157e-02
             4  2.760453e-01  2.853040e-01  1.044396e-02
             5  2.930507e-01  2.868533e-01  8.469311e-03
             6  2.287120e-01  2.771631e-01  1.131646e-02
             7  2.298133e-01  2.703989e-01  1.154579e-02
             8  2.413467e-01  2.667673e-01  1.065839e-02
             9  2.502960e-01  2.649372e-01  9.629971e-03
            10  3.391920e-01  2.723627e-01  1.116873e-02
            11  2.749920e-01  2.726017e-01  1.015594e-02
            12  2.604267e-01  2.715871e-01  9.360158e-03
            13  2.314000e-01  2.684958e-01  9.136370e-03
            14  2.968000e-01  2.705175e-01  8.704586e-03
            15  2.748987e-01  2.708096e-01  8.129179e-03
            16  2.483333e-01  2.694048e-01  7.741530e-03
            17  3.132747e-01  2.719854e-01  7.704257e-03
            18  2.777120e-01  2.723036e-01  7.282809e-03
            19  2.885787e-01  2.731601e-01  6.949695e-03
            20  2.482213e-01  2.719132e-01  6.713144e-03
            21  2.024667e-01  2.686062e-01  7.161829e-03
            22  2.391867e-01  2.672690e-01  6.960017e-03
            23  2.826107e-01  2.679360e-01  6.689295e-03
            24  2.923013e-01  2.689512e-01  6.487156e-03
            25  2.309547e-01  2.674314e-01  6.403237e-03
            26  2.892080e-01  2.682689e-01  6.211495e-03
            27  2.469893e-01  2.674808e-01  6.031233e-03
            28  2.642640e-01  2.673659e-01  5.816926e-03
            29  3.117013e-01  2.688947e-01  5.813773e-03
            30  2.374213e-01  2.678456e-01  5.713855e-03
            31  3.026827e-01  2.689694e-01  5.638964e-03
            32  2.985867e-01  2.698949e-01  5.538181e-03
            33  2.981120e-01  2.707500e-01  5.435965e-03
            34  2.626880e-01  2.705129e-01  5.281253e-03
            35  3.028560e-01  2.714370e-01  5.210579e-03
            36  3.014933e-01  2.722719e-01  5.132294e-03
            37  2.552853e-01  2.718128e-01  5.014075e-03
            38  3.136960e-01  2.729149e-01  5.001800e-03
            39  3.805547e-01  2.756749e-01  5.583343e-03
            40  2.439653e-01  2.748822e-01  5.499749e-03
            41  2.725493e-01  2.748253e-01  5.365903e-03
            42  2.520933e-01  2.742841e-01  5.265369e-03
            43  3.292800e-01  2.755630e-01  5.295975e-03
            44  3.034960e-01  2.761979e-01  5.213522e-03
            45  2.451387e-01  2.755077e-01  5.143151e-03
            46  2.466080e-01  2.748794e-01  5.069570e-03
            47  2.446507e-01  2.742363e-01  5.002338e-03
            48  2.750693e-01  2.742536e-01  4.898153e-03
            49  2.335280e-01  2.734225e-01  4.868195e-03
            50  2.817947e-01  2.735899e-01  4.773710e-03
            51  3.379947e-01  2.748528e-01  4.844265e-03
            52  2.272773e-01  2.739378e-01  4.836732e-03
            53  3.402453e-01  2.751889e-01  4.904609e-03
            54  2.973813e-01  2.755999e-01  4.830970e-03
            55  3.066587e-01  2.761646e-01  4.776025e-03
            56  2.592107e-01  2.758619e-01  4.700325e-03
            57  2.161067e-01  2.748135e-01  4.733327e-03
            58  3.410667e-01  2.759558e-01  4.787570e-03
            59  3.122587e-01  2.765711e-01  4.745800e-03
            60  2.807333e-01  2.766405e-01  4.667210e-03
            61  2.747253e-01  2.766091e-01  4.590804e-03
            62  2.701493e-01  2.765049e-01  4.517941e-03
            63  2.548027e-01  2.761604e-01  4.459341e-03
            64  2.619760e-01  2.759388e-01  4.395168e-03
            65  3.104240e-01  2.764693e-01  4.359453e-03
            66  2.615333e-01  2.762430e-01  4.299271e-03
            67  2.810267e-01  2.763144e-01  4.235695e-03
            68  3.497440e-01  2.773943e-01  4.308855e-03
            69  2.300587e-01  2.767083e-01  4.300673e-03
            70  2.924027e-01  2.769325e-01  4.245075e-03
            71  2.858347e-01  2.770578e-01  4.187137e-03
            72  2.323147e-01  2.764364e-01  4.174842e-03
            73  2.360000e-01  2.758825e-01  4.154238e-03
            74  2.840560e-01  2.759929e-01  4.099567e-03
            75  2.690480e-01  2.759003e-01  4.045952e-03
            76  2.593493e-01  2.756826e-01  3.998573e-03
            77  3.039067e-01  2.760491e-01  3.963408e-03
            78  2.666213e-01  2.759282e-01  3.914438e-03
            79  2.745200e-01  2.759104e-01  3.864929e-03
            80  2.446480e-01  2.755196e-01  3.836322e-03
            81  2.368747e-01  2.750425e-01  3.818511e-03
            82  2.154027e-01  2.743152e-01  3.840586e-03
            83  2.496453e-01  2.740180e-01  3.805798e-03
            84  2.881867e-01  2.741867e-01  3.764227e-03
            85  3.123093e-01  2.746352e-01  3.746566e-03
            86  2.381653e-01  2.742111e-01  3.726923e-03
            87  2.717440e-01  2.741827e-01  3.684193e-03
            88  2.406880e-01  2.738021e-01  3.661936e-03
            89  2.789040e-01  2.738594e-01  3.621239e-03
            90  2.780213e-01  2.739057e-01  3.581298e-03
            91  2.770933e-01  2.739407e-01  3.542115e-03
            92  2.990053e-01  2.742132e-01  3.514075e-03
            93  2.906240e-01  2.743896e-01  3.480717e-03
            94  3.234293e-01  2.749113e-01  3.482566e-03
            95  2.430000e-01  2.745754e-01  3.462069e-03
            96  2.569307e-01  2.743916e-01  3.430881e-03
            97  2.418107e-01  2.740557e-01  3.411914e-03
            98  2.898960e-01  2.742174e-01  3.380925e-03
            99  2.462533e-01  2.739349e-01  3.358553e-03
           100  2.951147e-01  2.741467e-01  3.331639e-03
