#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
             1  1.088271e+01  1.088271e+01  0.000000e+00
             2  9.734970e+00  1.030884e+01  4.057862e-01
             3  1.024472e+01  1.028747e+01  2.710864e-01
             4  9.417080e+00  1.006987e+01  2.772148e-01
             5  1.005352e+01  1.006660e+01  2.217911e-01
             6  1.103330e+01  1.022772e+01  2.362050e-01
             7  1.142411e+01  1.039863e+01  2.569611e-01
             8  1.002518e+01  1.035195e+01  2.290420e-01
             9  9.608709e+00  1.026937e+01  2.179727e-01
            10  1.060600e+01  1.030303e+01  1.987578e-01
            11  1.108447e+01  1.037407e+01  1.929673e-01
            12  1.097930e+01  1.042451e+01  1.833596e-01
            13  1.064903e+01  1.044178e+01  1.700665e-01
            14  9.933710e+00  1.040549e+01  1.617446e-01
            15  1.045256e+01  1.040862e+01  1.509920e-01
            16  1.014878e+01  1.039238e+01  1.424258e-01
            17  8.459959e+00  1.027871e+01  1.735801e-01
            18  1.036645e+01  1.028359e+01  1.640052e-01
            19  1.072556e+01  1.030685e+01  1.570143e-01
            20  1.035852e+01  1.030943e+01  1.491849e-01
            21  1.098260e+01  1.034149e+01  1.454840e-01
            22  1.052299e+01  1.034974e+01  1.391049e-01
            23  1.055645e+01  1.035873e+01  1.333468e-01
            24  9.401462e+00  1.031884e+01  1.336229e-01
            25  1.092895e+01  1.034324e+01  1.304875e-01
            26  9.548407e+00  1.031267e+01  1.290001e-01
            27  8.726650e+00  1.025393e+01  1.369451e-01
            28  1.030094e+01  1.025561e+01  1.320645e-01
            29  1.016626e+01  1.025253e+01  1.275465e-01
            30  1.061168e+01  1.026450e+01  1.238555e-01
            31  8.670282e+00  1.021307e+01  1.300993e-01
            32  9.417807e+00  1.018822e+01  1.283854e-01
            33  1.107135e+01  1.021498e+01  1.272535e-01
            34  1.124470e+01  1.024527e+01  1.270636e-01
            35  1.031538e+01  1.024727e+01  1.234490e-01
            36  9.962890e+00  1.023937e+01  1.202724e-01
            37  1.062571e+01  1.024982e+01  1.174742e-01
            38  1.056399e+01  1.025808e+01  1.146733e-01
            39  1.090997e+01  1.027480e+01  1.129446e-01
            40  9.483551e+00  1.025502e+01  1.118398e-01
            41  1.103384e+01  1.027401e+01  1.107134e-01
            42  9.618741e+00  1.025841e+01  1.091712e-01
            43  1.149444e+01  1.028716e+01  1.103517e-01
            44  1.002226e+01  1.028114e+01  1.080078e-01
            45  1.056738e+01  1.028750e+01  1.057948e-01
            46  1.126830e+01  1.030882e+01  1.056216e-01
            47  1.075044e+01  1.031821e+01  1.037915e-01
            48  1.030217e+01  1.031788e+01  1.016297e-01
            49  1.090777e+01  1.032992e+01  1.002661e-01
            50  1.044559e+01  1.033223e+01  9.828745e-02
            51  9.907816e+00  1.032391e+01  9.671191e-02
            52  9.945424e+00  1.031663e+01  9.512556e-02
            53  1.055296e+01  1.032109e+01  9.343519e-02
            54  1.172780e+01  1.034714e+01  9.526716e-02
            55  1.104694e+01  1.035986e+01  9.438088e-02
            56  1.059305e+01  1.036403e+01  9.278732e-02
            57  1.171023e+01  1.038765e+01  9.411725e-02
            58  1.027241e+01  1.038566e+01  9.251551e-02
            59  1.078005e+01  1.039234e+01  9.118861e-02
            60  1.082075e+01  1.039948e+01  8.994791e-02
            61  1.064619e+01  1.040353e+01  8.856423e-02
            62  1.062192e+01  1.040705e+01  8.720580e-02
            63  1.057328e+01  1.040969e+01  8.586149e-02
            64  9.950872e+00  1.040252e+01  8.481866e-02
            65  1.069399e+01  1.040700e+01  8.363220e-02
            66  1.100563e+01  1.041607e+01  8.285543e-02
            67  1.002314e+01  1.041021e+01  8.182607e-02
            68  9.774020e+00  1.040085e+01  8.115584e-02
            69  1.074416e+01  1.040583e+01  8.013204e-02
            70  9.582159e+00  1.039406e+01  7.984654e-02
            71  1.112132e+01  1.040431e+01  7.937624e-02
            72  1.054681e+01  1.040629e+01  7.829846e-02
            73  1.016948e+01  1.040304e+01  7.729305e-02
            74  9.544509e+00  1.039144e+01  7.711436e-02
            75  9.667914e+00  1.038179e+01  7.668721e-02
            76  1.001841e+01  1.037701e+01  7.582708e-02
            77  1.048063e+01  1.037836e+01  7.485425e-02
            78  1.092341e+01  1.038534e+01  7.422004e-02
            79  1.037758e+01  1.038525e+01  7.328061e-02
            80  1.027482e+01  1.038387e+01  7.237760e-02
            81  1.001963e+01  1.037937e+01  7.162360e-02
            82  9.839270e+00  1.037278e+01  7.105235e-02
            83  1.005912e+01  1.036900e+01  7.029673e-02
            84  9.763547e+00  1.036180e+01  6.982841e-02
            85  1.131991e+01  1.037307e+01  6.991076e-02
            86  1.021946e+01  1.037128e+01  6.912065e-02
            87  1.016348e+01  1.036889e+01  6.836742e-02
            88  1.066085e+01  1.037221e+01  6.767097e-02
            89  1.107714e+01  1.038013e+01  6.737256e-02
            90  1.041162e+01  1.038048e+01  6.662488e-02
            91  9.648934e+00  1.037244e+01  6.637596e-02
            92  1.036203e+01  1.037233e+01  6.565458e-02
            93  1.083756e+01  1.037733e+01  6.513892e-02
            94  1.016634e+01  1.037509e+01  6.448461e-02
            95  9.667580e+00  1.036764e+01  6.423445e-02
            96  1.105562e+01  1.037481e+01  6.396386e-02
            97  9.727453e+00  1.036813e+01  6.365164e-02
            98  1.014824e+01  1.036589e+01  6.304167e-02
            99  9.989112e+00  1.036208e+01  6.251966e-02
           100  1.098265e+01  1.036829e+01  6.220168e-02
