#   N_BLOCK:  ACCEPTANCE:
             1  3.218213e-01
             2  3.206413e-01
             3  3.215067e-01
             4  3.213263e-01
             5  3.214829e-01
             6  3.215191e-01
             7  3.215851e-01
             8  3.214848e-01
             9  3.212843e-01
            10  3.215219e-01
            11  3.214932e-01
            12  3.215891e-01
            13  3.214774e-01
            14  3.212449e-01
            15  3.212530e-01
            16  3.212528e-01
            17  3.211182e-01
            18  3.212975e-01
            19  3.214111e-01
            20  3.213642e-01
            21  3.213547e-01
            22  3.213448e-01
            23  3.212585e-01
            24  3.212574e-01
            25  3.212121e-01
            26  3.212477e-01
            27  3.212744e-01
            28  3.212117e-01
            29  3.212138e-01
            30  3.212892e-01
            31  3.213076e-01
            32  3.213275e-01
            33  3.212174e-01
            34  3.211260e-01
            35  3.211388e-01
            36  3.211641e-01
            37  3.211093e-01
            38  3.211166e-01
            39  3.211725e-01
            40  3.211788e-01
            41  3.211713e-01
            42  3.211649e-01
            43  3.211679e-01
            44  3.212542e-01
            45  3.212959e-01
            46  3.213201e-01
            47  3.213373e-01
            48  3.213666e-01
            49  3.213652e-01
            50  3.214024e-01
            51  3.213985e-01
            52  3.214321e-01
            53  3.214283e-01
            54  3.214472e-01
            55  3.214562e-01
            56  3.214439e-01
            57  3.214995e-01
            58  3.215209e-01
            59  3.215130e-01
            60  3.215032e-01
            61  3.215247e-01
            62  3.215578e-01
            63  3.215665e-01
            64  3.215832e-01
            65  3.215822e-01
            66  3.215773e-01
            67  3.215653e-01
            68  3.215843e-01
            69  3.215643e-01
            70  3.215985e-01
            71  3.216045e-01
            72  3.215897e-01
            73  3.215622e-01
            74  3.215665e-01
            75  3.215385e-01
            76  3.215415e-01
            77  3.215507e-01
            78  3.215693e-01
            79  3.215542e-01
            80  3.215741e-01
            81  3.215581e-01
            82  3.215773e-01
            83  3.215794e-01
            84  3.215827e-01
            85  3.215820e-01
            86  3.215658e-01
            87  3.215981e-01
            88  3.216014e-01
            89  3.215995e-01
            90  3.216255e-01
            91  3.216346e-01
            92  3.216284e-01
            93  3.216231e-01
            94  3.216367e-01
            95  3.216447e-01
            96  3.216699e-01
            97  3.216597e-01
            98  3.216759e-01
            99  3.216832e-01
           100  3.216843e-01
