#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
             1  3.637002e+00  3.637002e+00  0.000000e+00
             2  3.672655e+00  3.654828e+00  1.260491e-02
             3  3.671608e+00  3.660422e+00  9.564046e-03
             4  3.583557e+00  3.641206e+00  1.812168e-02
             5  3.525968e+00  3.618158e+00  2.520163e-02
             6  3.490726e+00  3.596919e+00  2.858253e-02
             7  3.494415e+00  3.582276e+00  2.800027e-02
             8  3.651607e+00  3.590942e+00  2.580657e-02
             9  3.788677e+00  3.612913e+00  3.090752e-02
            10  3.518970e+00  3.603518e+00  2.920958e-02
            11  3.855142e+00  3.626393e+00  3.436296e-02
            12  3.556516e+00  3.620570e+00  3.198896e-02
            13  3.709787e+00  3.627433e+00  3.025549e-02
            14  3.621766e+00  3.627028e+00  2.809709e-02
            15  3.554295e+00  3.622179e+00  2.663906e-02
            16  3.611893e+00  3.621537e+00  2.498187e-02
            17  3.673933e+00  3.624619e+00  2.370172e-02
            18  3.735029e+00  3.630753e+00  2.316508e-02
            19  3.594456e+00  3.628842e+00  2.202449e-02
            20  3.742122e+00  3.634506e+00  2.163932e-02
            21  3.470352e+00  3.626689e+00  2.197543e-02
            22  3.694075e+00  3.629752e+00  2.118893e-02
            23  3.531432e+00  3.625477e+00  2.069440e-02
            24  3.721149e+00  3.629464e+00  2.021242e-02
            25  3.462386e+00  3.622781e+00  2.047901e-02
            26  3.598670e+00  3.621853e+00  1.971234e-02
            27  3.528326e+00  3.618389e+00  1.928421e-02
            28  3.837659e+00  3.626220e+00  2.012281e-02
            29  3.774387e+00  3.631330e+00  2.006705e-02
            30  3.592284e+00  3.630028e+00  1.944031e-02
            31  3.597777e+00  3.628988e+00  1.884102e-02
            32  3.706904e+00  3.631423e+00  1.840890e-02
            33  3.534513e+00  3.628486e+00  1.808377e-02
            34  3.547889e+00  3.626115e+00  1.770658e-02
            35  3.595192e+00  3.625232e+00  1.722271e-02
            36  3.633710e+00  3.625467e+00  1.674591e-02
            37  3.589790e+00  3.624503e+00  1.632106e-02
            38  3.667737e+00  3.625641e+00  1.593116e-02
            39  3.732419e+00  3.628379e+00  1.575618e-02
            40  3.557592e+00  3.626609e+00  1.546134e-02
            41  3.597012e+00  3.625887e+00  1.510107e-02
            42  3.711835e+00  3.627934e+00  1.487953e-02
            43  3.389676e+00  3.622393e+00  1.553093e-02
            44  3.663431e+00  3.623325e+00  1.520594e-02
            45  3.520558e+00  3.621042e+00  1.503854e-02
            46  3.765292e+00  3.624178e+00  1.503501e-02
            47  3.681952e+00  3.625407e+00  1.476528e-02
            48  3.416464e+00  3.621054e+00  1.508569e-02
            49  3.720975e+00  3.623093e+00  1.491500e-02
            50  3.496959e+00  3.620570e+00  1.482851e-02
            51  3.637999e+00  3.620912e+00  1.454169e-02
            52  3.744451e+00  3.623288e+00  1.445481e-02
            53  3.487562e+00  3.620727e+00  1.440714e-02
            54  3.731336e+00  3.622775e+00  1.428521e-02
            55  3.672518e+00  3.623680e+00  1.405407e-02
            56  3.746072e+00  3.625865e+00  1.397202e-02
            57  3.525224e+00  3.624100e+00  1.383801e-02
            58  3.737808e+00  3.626060e+00  1.373759e-02
            59  3.747735e+00  3.628122e+00  1.365867e-02
            60  3.688528e+00  3.629129e+00  1.346808e-02
            61  3.679624e+00  3.629957e+00  1.327271e-02
            62  3.552294e+00  3.628704e+00  1.311761e-02
            63  3.911668e+00  3.633196e+00  1.365671e-02
            64  3.596793e+00  3.632627e+00  1.345516e-02
            65  3.623734e+00  3.632490e+00  1.324885e-02
            66  3.822513e+00  3.635369e+00  1.335728e-02
            67  3.911044e+00  3.639484e+00  1.377707e-02
            68  3.609275e+00  3.639040e+00  1.358163e-02
            69  3.377255e+00  3.635246e+00  1.390461e-02
            70  3.795952e+00  3.637541e+00  1.389422e-02
            71  3.605379e+00  3.637088e+00  1.370591e-02
            72  3.757028e+00  3.638754e+00  1.361640e-02
            73  3.896125e+00  3.642280e+00  1.387881e-02
            74  3.455363e+00  3.639754e+00  1.391921e-02
            75  3.494092e+00  3.637812e+00  1.386846e-02
            76  3.683710e+00  3.638416e+00  1.369912e-02
            77  3.687974e+00  3.639059e+00  1.353632e-02
            78  3.866826e+00  3.641980e+00  1.367412e-02
            79  3.761739e+00  3.643495e+00  1.358480e-02
            80  3.871818e+00  3.646349e+00  1.371151e-02
            81  3.697061e+00  3.646976e+00  1.355652e-02
            82  3.752388e+00  3.648261e+00  1.345201e-02
            83  3.751399e+00  3.649504e+00  1.334721e-02
            84  3.683797e+00  3.649912e+00  1.319455e-02
            85  3.499928e+00  3.648147e+00  1.315678e-02
            86  3.674412e+00  3.648453e+00  1.300734e-02
            87  3.567171e+00  3.647519e+00  1.289134e-02
            88  3.788350e+00  3.649119e+00  1.284380e-02
            89  3.589265e+00  3.648446e+00  1.271708e-02
            90  3.536949e+00  3.647208e+00  1.263598e-02
            91  3.636423e+00  3.647089e+00  1.249767e-02
            92  3.674073e+00  3.647382e+00  1.236527e-02
            93  3.527221e+00  3.646090e+00  1.229963e-02
            94  3.642623e+00  3.646053e+00  1.216884e-02
            95  3.617187e+00  3.645750e+00  1.204454e-02
            96  3.484323e+00  3.644068e+00  1.203588e-02
            97  3.767286e+00  3.645338e+00  1.197864e-02
            98  3.552438e+00  3.644390e+00  1.189386e-02
            99  3.638247e+00  3.644328e+00  1.177389e-02
           100  3.634422e+00  3.644229e+00  1.165656e-02
