#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
             1  3.101355e-01  3.101355e-01  0.000000e+00
             2  3.025687e-01  3.063521e-01  2.675271e-03
             3  3.079269e-01  3.068770e-01  1.834293e-03
             4  3.055431e-01  3.065435e-01  1.405706e-03
             5  2.977348e-01  3.047818e-01  1.935880e-03
             6  3.084721e-01  3.053969e-01  1.708147e-03
             7  3.047195e-01  3.053001e-01  1.466865e-03
             8  3.021297e-01  3.049038e-01  1.335969e-03
             9  3.067874e-01  3.051131e-01  1.203810e-03
            10  3.027235e-01  3.048741e-01  1.106892e-03
            11  3.116038e-01  3.054859e-01  1.163111e-03
            12  3.126242e-01  3.060808e-01  1.208766e-03
            13  3.006689e-01  3.056645e-01  1.185304e-03
            14  3.126936e-01  3.061665e-01  1.202285e-03
            15  2.988817e-01  3.056809e-01  1.216271e-03
            16  3.068230e-01  3.057523e-01  1.142347e-03
            17  2.993705e-01  3.053769e-01  1.135157e-03
            18  3.133174e-01  3.058180e-01  1.154632e-03
            19  3.070992e-01  3.058854e-01  1.095830e-03
            20  3.043082e-01  3.058066e-01  1.043872e-03
            21  3.114816e-01  3.060768e-01  1.028549e-03
            22  3.034246e-01  3.059563e-01  9.888371e-04
            23  3.094011e-01  3.061060e-01  9.571199e-04
            24  3.003958e-01  3.058681e-01  9.463506e-04
            25  3.071526e-01  3.059195e-01  9.098902e-04
            26  3.014164e-01  3.057463e-01  8.912258e-04
            27  3.053220e-01  3.057306e-01  8.583560e-04
            28  3.159170e-01  3.060944e-01  9.015052e-04
            29  3.084990e-01  3.061773e-01  8.742238e-04
            30  3.051728e-01  3.061438e-01  8.457240e-04
            31  3.010244e-01  3.059787e-01  8.344105e-04
            32  2.951247e-01  3.056395e-01  8.745617e-04
            33  3.048283e-01  3.056149e-01  8.484052e-04
            34  3.130953e-01  3.058349e-01  8.515014e-04
            35  3.127011e-01  3.060311e-01  8.494708e-04
            36  3.021125e-01  3.059222e-01  8.328192e-04
            37  3.110409e-01  3.060606e-01  8.217203e-04
            38  3.013581e-01  3.059368e-01  8.093608e-04
            39  3.077604e-01  3.059836e-01  7.899574e-04
            40  3.028082e-01  3.059042e-01  7.741870e-04
            41  3.058200e-01  3.059022e-01  7.553071e-04
            42  3.088177e-01  3.059716e-01  7.405068e-04
            43  3.054019e-01  3.059583e-01  7.234042e-04
            44  3.062504e-01  3.059650e-01  7.069937e-04
            45  3.089355e-01  3.060310e-01  6.943576e-04
            46  2.980060e-01  3.058565e-01  7.008363e-04
            47  3.078774e-01  3.058995e-01  6.872426e-04
            48  3.044134e-01  3.058686e-01  6.736221e-04
            49  3.023866e-01  3.057975e-01  6.636122e-04
            50  3.062719e-01  3.058070e-01  6.504078e-04
            51  3.021203e-01  3.057347e-01  6.416592e-04
            52  3.117658e-01  3.058507e-01  6.397159e-04
            53  2.996207e-01  3.057331e-01  6.383538e-04
            54  3.075363e-01  3.057665e-01  6.274052e-04
            55  3.125720e-01  3.058903e-01  6.280808e-04
            56  3.080057e-01  3.059280e-01  6.180000e-04
            57  3.051778e-01  3.059149e-01  6.072980e-04
            58  3.080159e-01  3.059511e-01  5.979068e-04
            59  3.086256e-01  3.059964e-01  5.894887e-04
            60  3.025835e-01  3.059395e-01  5.824018e-04
            61  2.952207e-01  3.057638e-01  5.987762e-04
            62  3.127773e-01  3.058769e-01  5.997087e-04
            63  3.061556e-01  3.058814e-01  5.902058e-04
            64  3.042557e-01  3.058560e-01  5.815302e-04
            65  3.063081e-01  3.058629e-01  5.726252e-04
            66  3.052265e-01  3.058533e-01  5.640302e-04
            67  3.034404e-01  3.058173e-01  5.567604e-04
            68  3.141900e-01  3.059404e-01  5.620231e-04
            69  3.093091e-01  3.059892e-01  5.559942e-04
            70  3.068230e-01  3.060011e-01  5.481790e-04
            71  3.038342e-01  3.059706e-01  5.413071e-04
            72  3.002185e-01  3.058907e-01  5.396523e-04
            73  3.110392e-01  3.059612e-01  5.368486e-04
            74  3.067062e-01  3.059713e-01  5.296883e-04
            75  3.029147e-01  3.059306e-01  5.241913e-04
            76  2.989382e-01  3.058386e-01  5.253062e-04
            77  3.075666e-01  3.058610e-01  5.189631e-04
            78  3.050942e-01  3.058512e-01  5.124029e-04
            79  3.084431e-01  3.058840e-01  5.069661e-04
            80  3.033439e-01  3.058522e-01  5.016223e-04
            81  3.070641e-01  3.058672e-01  4.956525e-04
            82  3.069307e-01  3.058802e-01  4.897776e-04
            83  3.060789e-01  3.058826e-01  4.838826e-04
            84  3.086733e-01  3.059158e-01  4.792612e-04
            85  3.018368e-01  3.058678e-01  4.760193e-04
            86  3.032390e-01  3.058372e-01  4.714646e-04
            87  3.089673e-01  3.058732e-01  4.674162e-04
            88  3.143886e-01  3.059700e-01  4.720149e-04
            89  3.065295e-01  3.059763e-01  4.667532e-04
            90  3.046009e-01  3.059610e-01  4.618171e-04
            91  3.090603e-01  3.059950e-01  4.579964e-04
            92  3.058403e-01  3.059933e-01  4.530212e-04
            93  3.116228e-01  3.060539e-01  4.521760e-04
            94  3.057859e-01  3.060510e-01  4.473746e-04
            95  3.057969e-01  3.060484e-01  4.426734e-04
            96  3.153254e-01  3.061450e-01  4.484860e-04
            97  3.099716e-01  3.061844e-01  4.455941e-04
            98  3.119825e-01  3.062436e-01  4.449577e-04
            99  2.990657e-01  3.061711e-01  4.463313e-04
           100  3.048248e-01  3.061576e-01  4.420710e-04
