#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
             1  5.501333e-03  5.501333e-03  0.000000e+00
             2 -4.672000e-03  4.146667e-04  3.596816e-03
             3  1.836267e-02  6.397333e-03  5.441631e-03
             4 -3.450667e-03  3.935333e-03  4.604614e-03
             5 -4.760000e-03  2.196267e-03  3.998632e-03
             6  7.226667e-04  1.950667e-03  3.339728e-03
             7  3.781333e-03  2.212190e-03  2.872845e-03
             8 -7.853333e-03  9.540000e-04  2.775617e-03
             9 -4.808000e-03  3.137778e-04  2.539979e-03
            10  1.153867e-02  1.436267e-03  2.521843e-03
            11 -3.544000e-03  9.835152e-04  2.332872e-03
            12  7.669333e-03  1.540667e-03  2.203993e-03
            13  1.186667e-03  1.513436e-03  2.034624e-03
            14 -9.597333e-03  7.198095e-04  2.038206e-03
            15  1.581333e-03  7.772444e-04  1.903135e-03
            16  5.093333e-04  7.605000e-04  1.784262e-03
            17  7.392000e-03  1.150588e-03  1.721420e-03
            18  3.554667e-03  1.284148e-03  1.630958e-03
            19  5.912000e-03  1.527719e-03  1.563200e-03
            20 -3.781333e-03  1.262267e-03  1.507411e-03
            21  5.424000e-03  1.460444e-03  1.448598e-03
            22  6.925333e-03  1.708848e-03  1.403889e-03
            23  9.013333e-04  1.673739e-03  1.343289e-03
            24  6.936000e-03  1.893000e-03  1.305091e-03
            25  5.021333e-03  2.018133e-03  1.258872e-03
            26 -2.400000e-03  1.848205e-03  1.221869e-03
            27 -1.683733e-02  1.156148e-03  1.358538e-03
            28 -7.805333e-03  8.360952e-04  1.347191e-03
            29 -1.005333e-02  4.605977e-04  1.352055e-03
            30  8.000000e-05  4.479111e-04  1.307046e-03
            31  7.885333e-03  6.878280e-04  1.286714e-03
            32  4.328000e-03  8.015833e-04  1.251522e-03
            33  2.322667e-03  8.476768e-04  1.214446e-03
            34 -1.633867e-02  3.421961e-04  1.279606e-03
            35 -7.285333e-03  1.242667e-04  1.261467e-03
            36  8.701333e-03  3.625185e-04  1.248723e-03
            37 -1.607467e-02 -8.172973e-05  1.291582e-03
            38  1.637333e-03 -3.649123e-05  1.258385e-03
            39 -3.472000e-03 -1.245812e-04  1.229198e-03
            40  6.826667e-04 -1.044000e-04  1.198634e-03
            41 -1.542933e-02 -4.781789e-04  1.226294e-03
            42  2.141333e-03 -4.158095e-04  1.198681e-03
            43  5.200000e-03 -2.852093e-04  1.177898e-03
            44 -6.648000e-03 -4.298182e-04  1.159971e-03
            45 -7.989333e-03 -5.978074e-04  1.146293e-03
            46 -8.338667e-03 -7.660870e-04  1.133659e-03
            47 -1.042667e-03 -7.719716e-04  1.109553e-03
            48  6.429333e-03 -6.219444e-04  1.096534e-03
            49 -1.522133e-02 -9.198912e-04  1.113899e-03
            50 -9.093333e-04 -9.196800e-04  1.091621e-03
            51 -2.080000e-03 -9.424314e-04  1.070454e-03
            52 -2.002667e-03 -9.628205e-04  1.050062e-03
            53  1.269067e-02 -7.052075e-04  1.061380e-03
            54 -8.176000e-03 -8.435556e-04  1.050702e-03
            55 -2.200000e-03 -8.682182e-04  1.031888e-03
            56  8.933333e-04 -8.367619e-04  1.013941e-03
            57  1.026667e-03 -8.040702e-04  9.966793e-04
            58  5.648000e-03 -6.928276e-04  9.856837e-04
            59  6.634667e-03 -5.686328e-04  9.767700e-04
            60  9.997333e-03 -3.925333e-04  9.762357e-04
            61  8.080000e-04 -3.728525e-04  9.604302e-04
            62  3.301333e-03 -3.135914e-04  9.467659e-04
            63  1.128533e-02 -1.294815e-04  9.494703e-04
            64  1.084267e-02  4.195833e-05  9.499867e-04
            65 -1.440000e-04  3.909744e-05  9.353758e-04
            66 -3.440000e-04  3.329293e-05  9.212215e-04
            67 -4.469333e-03 -3.391045e-05  9.099198e-04
            68  1.477333e-03 -1.168627e-05  8.968100e-04
            69 -1.086400e-02 -1.689662e-04  8.974985e-04
            70  4.050667e-03 -1.086857e-04  8.866991e-04
            71  1.277333e-03 -8.916432e-05  8.744253e-04
            72  1.882667e-03 -6.177778e-05  8.627092e-04
            73 -3.285333e-03 -1.059361e-04  8.520207e-04
            74 -1.235467e-02 -2.714595e-04  8.564342e-04
            75 -5.208000e-03 -3.372800e-04  8.475406e-04
            76 -6.693333e-03 -4.209123e-04  8.405049e-04
            77  8.056000e-03 -3.108225e-04  8.367680e-04
            78  2.560000e-04 -3.035556e-04  8.260718e-04
            79  3.226667e-04 -2.956287e-04  8.156532e-04
            80 -7.706667e-04 -3.015667e-04  8.054791e-04
            81 -1.085333e-03 -3.112428e-04  7.955931e-04
            82 -6.989333e-03 -3.926829e-04  7.900480e-04
            83  7.256000e-03 -3.005301e-04  7.858854e-04
            84  5.600000e-04 -2.902857e-04  7.765964e-04
            85  5.066667e-04 -2.809098e-04  7.675166e-04
            86 -4.456000e-03 -3.294574e-04  7.601258e-04
            87 -8.848000e-03 -4.273716e-04  7.576688e-04
            88 -6.736000e-03 -4.990606e-04  7.524428e-04
            89 -5.074667e-03 -5.504719e-04  7.457427e-04
            90  6.037333e-03 -4.772741e-04  7.410403e-04
            91 -3.272000e-03 -5.079853e-04  7.335331e-04
            92 -4.594667e-03 -5.524058e-04  7.269036e-04
            93 -1.745867e-02 -7.341935e-04  7.414703e-04
            94 -2.000000e-03 -7.476596e-04  7.337046e-04
            95 -3.810667e-03 -7.799018e-04  7.266895e-04
            96 -2.416000e-03 -7.969444e-04  7.193196e-04
            97 -1.224000e-03 -8.013471e-04  7.119174e-04
            98  4.792000e-03 -7.442721e-04  7.069371e-04
            99 -1.080000e-03 -7.476633e-04  6.998045e-04
           100  2.877333e-03 -7.114133e-04  6.937447e-04
