#   N_BLOCK:  ACCEPTANCE:
             1  5.181760e-01
             2  5.173233e-01
             3  5.184480e-01
             4  5.176510e-01
             5  5.175875e-01
             6  5.175171e-01
             7  5.175318e-01
             8  5.175070e-01
             9  5.173770e-01
            10  5.172980e-01
            11  5.173395e-01
            12  5.173693e-01
            13  5.174423e-01
            14  5.173522e-01
            15  5.174200e-01
            16  5.174167e-01
            17  5.174485e-01
            18  5.174658e-01
            19  5.175514e-01
            20  5.175295e-01
            21  5.175020e-01
            22  5.174338e-01
            23  5.174246e-01
            24  5.173947e-01
            25  5.173287e-01
            26  5.173636e-01
            27  5.173585e-01
            28  5.173407e-01
            29  5.172952e-01
            30  5.173324e-01
            31  5.173615e-01
            32  5.173848e-01
            33  5.174225e-01
            34  5.174967e-01
            35  5.174864e-01
            36  5.175287e-01
            37  5.175281e-01
            38  5.174865e-01
            39  5.175042e-01
            40  5.175373e-01
            41  5.175115e-01
            42  5.175132e-01
            43  5.175278e-01
            44  5.175398e-01
            45  5.175297e-01
            46  5.175115e-01
            47  5.175157e-01
            48  5.174841e-01
            49  5.174851e-01
            50  5.174860e-01
            51  5.174850e-01
            52  5.175078e-01
            53  5.175031e-01
            54  5.174915e-01
            55  5.174482e-01
            56  5.174437e-01
            57  5.174327e-01
            58  5.174277e-01
            59  5.174268e-01
            60  5.173910e-01
            61  5.173873e-01
            62  5.174023e-01
            63  5.173800e-01
            64  5.174049e-01
            65  5.174096e-01
            66  5.174448e-01
            67  5.174314e-01
            68  5.174333e-01
            69  5.174403e-01
            70  5.174133e-01
            71  5.174135e-01
            72  5.174402e-01
            73  5.174234e-01
            74  5.174168e-01
            75  5.174189e-01
            76  5.174120e-01
            77  5.173995e-01
            78  5.174318e-01
            79  5.174149e-01
            80  5.174286e-01
            81  5.174141e-01
            82  5.174018e-01
            83  5.174043e-01
            84  5.174161e-01
            85  5.174327e-01
            86  5.174055e-01
            87  5.173792e-01
            88  5.173835e-01
            89  5.173705e-01
            90  5.173820e-01
            91  5.173707e-01
            92  5.173581e-01
            93  5.173675e-01
            94  5.173460e-01
            95  5.173507e-01
            96  5.173491e-01
            97  5.173423e-01
            98  5.173503e-01
            99  5.173565e-01
           100  5.173615e-01
