#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
             1  2.799467e-02  2.799467e-02  0.000000e+00
             2  2.820000e-02  2.809733e-02  7.259630e-05
             3  3.001067e-02  2.873511e-02  5.229876e-04
             4  2.597867e-02  2.804600e-02  7.141487e-04
             5  2.865867e-02  2.816853e-02  5.817361e-04
             6  2.969867e-02  2.842356e-02  5.377812e-04
             7  3.513867e-02  2.938286e-02  1.000637e-03
             8  2.666400e-02  2.904300e-02  9.314855e-04
             9  3.069067e-02  2.922607e-02  8.457865e-04
            10  3.006933e-02  2.931040e-02  7.654000e-04
            11  3.699200e-02  3.000873e-02  9.630634e-04
            12  3.438667e-02  3.037356e-02  9.493988e-04
            13  1.872267e-02  2.947733e-02  1.228597e-03
            14  2.072533e-02  2.885219e-02  1.290118e-03
            15  2.735733e-02  2.875253e-02  1.207953e-03
            16  3.343733e-02  2.904533e-02  1.167403e-03
            17  2.545333e-02  2.883404e-02  1.117690e-03
            18  3.037867e-02  2.891985e-02  1.058886e-03
            19  2.870667e-02  2.890863e-02  1.003214e-03
            20  2.917067e-02  2.892173e-02  9.531391e-04
            21  3.061333e-02  2.900229e-02  9.111490e-04
            22  2.921600e-02  2.901200e-02  8.697849e-04
            23  2.986133e-02  2.904893e-02  8.327517e-04
            24  2.562133e-02  2.890611e-02  8.102076e-04
            25  3.060267e-02  2.897397e-02  7.806362e-04
            26  2.824000e-02  2.894574e-02  7.511220e-04
            27  3.337600e-02  2.910983e-02  7.410081e-04
            28  3.326133e-02  2.925810e-02  7.292261e-04
            29  2.906667e-02  2.925149e-02  7.041103e-04
            30  3.654933e-02  2.949476e-02  7.214390e-04
            31  3.331467e-02  2.961798e-02  7.086120e-04
            32  3.015467e-02  2.963475e-02  6.866663e-04
            33  3.024800e-02  2.965333e-02  6.661096e-04
            34  2.283467e-02  2.945278e-02  6.760346e-04
            35  3.288800e-02  2.955093e-02  6.638059e-04
            36  3.203467e-02  2.961993e-02  6.489423e-04
            37  3.256533e-02  2.969953e-02  6.362672e-04
            38  2.953067e-02  2.969509e-02  6.195388e-04
            39  2.593867e-02  2.959877e-02  6.110945e-04
            40  2.905600e-02  2.958520e-02  5.959678e-04
            41  3.372533e-02  2.968618e-02  5.899248e-04
            42  2.823467e-02  2.965162e-02  5.768904e-04
            43  2.775200e-02  2.960744e-02  5.651633e-04
            44  2.647200e-02  2.953618e-02  5.567930e-04
            45  2.877600e-02  2.951929e-02  5.446761e-04
            46  2.648800e-02  2.945339e-02  5.368068e-04
            47  2.979467e-02  2.946065e-02  5.254345e-04
            48  2.459200e-02  2.935922e-02  5.241866e-04
            49  2.876000e-02  2.934699e-02  5.136315e-04
            50  2.272800e-02  2.921461e-02  5.201386e-04
            51  3.740533e-02  2.937522e-02  5.341591e-04
            52  3.252800e-02  2.943585e-02  5.273165e-04
            53  3.304267e-02  2.950390e-02  5.217400e-04
            54  3.032000e-02  2.951901e-02  5.122970e-04
            55  3.220533e-02  2.956785e-02  5.053055e-04
            56  2.961333e-02  2.956867e-02  4.962828e-04
            57  3.020800e-02  2.957988e-02  4.877028e-04
            58  3.560533e-02  2.968377e-02  4.902339e-04
            59  2.833067e-02  2.966084e-02  4.824610e-04
            60  3.030933e-02  2.967164e-02  4.745411e-04
            61  3.238667e-02  2.971615e-02  4.688444e-04
            62  3.412800e-02  2.978731e-02  4.666512e-04
            63  3.144000e-02  2.981354e-02  4.599808e-04
            64  2.878667e-02  2.979750e-02  4.530733e-04
            65  3.685600e-02  2.990609e-02  4.589322e-04
            66  2.925067e-02  2.989616e-02  4.520861e-04
            67  2.749333e-02  2.986030e-02  4.467587e-04
            68  2.265067e-02  2.975427e-02  4.525946e-04
            69  2.656533e-02  2.970806e-02  4.483888e-04
            70  2.176000e-02  2.959451e-02  4.561328e-04
            71  3.276000e-02  2.963910e-02  4.518821e-04
            72  1.912800e-02  2.949311e-02  4.685947e-04
            73  3.381067e-02  2.955226e-02  4.658932e-04
            74  2.542400e-02  2.949647e-02  4.629253e-04
            75  3.094133e-02  2.951573e-02  4.571537e-04
            76  2.979200e-02  2.951937e-02  4.511530e-04
            77  2.880267e-02  2.951006e-02  4.453898e-04
            78  2.148800e-02  2.940721e-02  4.513980e-04
            79  2.958933e-02  2.940952e-02  4.456900e-04
            80  2.717600e-02  2.938160e-02  4.409924e-04
            81  2.826667e-02  2.936784e-02  4.357628e-04
            82  2.873600e-02  2.936013e-02  4.305168e-04
            83  2.817867e-02  2.934590e-02  4.255651e-04
            84  3.500267e-02  2.941324e-02  4.257937e-04
            85  3.101333e-02  2.943206e-02  4.212003e-04
            86  2.921600e-02  2.942955e-02  4.163101e-04
            87  3.221333e-02  2.946155e-02  4.127528e-04
            88  2.876000e-02  2.945358e-02  4.081394e-04
            89  2.965333e-02  2.945582e-02  4.035597e-04
            90  3.155200e-02  2.947911e-02  3.997473e-04
            91  2.217600e-02  2.939886e-02  4.033300e-04
            92  3.155733e-02  2.942232e-02  3.996277e-04
            93  2.877867e-02  2.941540e-02  3.953906e-04
            94  3.271200e-02  2.945047e-02  3.927365e-04
            95  3.505067e-02  2.950942e-02  3.930017e-04
            96  3.146400e-02  2.952978e-02  3.894350e-04
            97  3.693867e-02  2.960616e-02  3.928391e-04
            98  2.575733e-02  2.956688e-02  3.907888e-04
            99  3.862133e-02  2.965834e-02  3.973997e-04
           100  3.133333e-02  2.967509e-02  3.937786e-04
