# DISTANCE:     AVE_GOFR:        ERROR:
  3.231652e-02  0.000000e+00  0.000000e+00
  9.694956e-02  0.000000e+00  0.000000e+00
  1.615826e-01  0.000000e+00  0.000000e+00
  2.262156e-01  0.000000e+00  0.000000e+00
  2.908487e-01  0.000000e+00  0.000000e+00
  3.554817e-01  0.000000e+00  0.000000e+00
  4.201148e-01  0.000000e+00  0.000000e+00
  4.847478e-01  0.000000e+00  0.000000e+00
  5.493808e-01  0.000000e+00  0.000000e+00
  6.140139e-01  0.000000e+00  0.000000e+00
  6.786469e-01  0.000000e+00  0.000000e+00
  7.432800e-01  0.000000e+00  0.000000e+00
  8.079130e-01  0.000000e+00  0.000000e+00
  8.725460e-01  1.131510e-03  2.255524e-04
  9.371791e-01  1.575139e-01  3.818447e-03
  1.001812e+00  1.086828e+00  1.411576e-02
  1.066445e+00  2.004727e+00  2.551293e-02
  1.131078e+00  2.257961e+00  3.436382e-02
  1.195711e+00  2.056351e+00  2.922776e-02
  1.260344e+00  1.801791e+00  2.249184e-02
  1.324977e+00  1.602534e+00  1.805052e-02
  1.389610e+00  1.464686e+00  1.639835e-02
  1.454243e+00  1.340906e+00  1.420084e-02
  1.518876e+00  1.260335e+00  1.370975e-02
  1.583509e+00  1.201909e+00  1.372370e-02
  1.648143e+00  1.147738e+00  1.212848e-02
  1.712776e+00  1.106331e+00  1.125531e-02
  1.777409e+00  1.083771e+00  1.090069e-02
  1.842042e+00  1.061926e+00  1.044440e-02
  1.906675e+00  1.067990e+00  1.085927e-02
  1.971308e+00  1.050753e+00  1.004788e-02
  2.035941e+00  1.051655e+00  9.557450e-03
  2.100574e+00  1.042852e+00  9.190119e-03
  2.165207e+00  1.044354e+00  9.110821e-03
  2.229840e+00  1.043455e+00  8.806906e-03
  2.294473e+00  1.033481e+00  8.828600e-03
  2.359106e+00  1.038233e+00  8.697382e-03
  2.423739e+00  1.030475e+00  7.983081e-03
  2.488372e+00  1.022658e+00  7.647151e-03
  2.553005e+00  1.014962e+00  7.115221e-03
  2.617638e+00  1.016151e+00  7.420822e-03
  2.682271e+00  1.006144e+00  6.919880e-03
  2.746904e+00  1.011056e+00  6.097377e-03
  2.811537e+00  1.003917e+00  5.901280e-03
  2.876170e+00  1.000544e+00  6.148640e-03
  2.940803e+00  9.927087e-01  6.091802e-03
  3.005436e+00  9.876529e-01  5.823980e-03
  3.070069e+00  9.916891e-01  5.620495e-03
  3.134702e+00  9.928071e-01  6.074214e-03
  3.199336e+00  9.919060e-01  5.759540e-03
  3.263969e+00  9.921935e-01  4.714090e-03
  3.328602e+00  9.932999e-01  5.549898e-03
  3.393235e+00  9.894574e-01  5.310517e-03
  3.457868e+00  9.873042e-01  5.327260e-03
  3.522501e+00  9.844813e-01  4.973337e-03
  3.587134e+00  9.819441e-01  4.595159e-03
  3.651767e+00  9.814113e-01  4.890488e-03
  3.716400e+00  9.789837e-01  4.701734e-03
  3.781033e+00  9.804471e-01  4.159221e-03
  3.845666e+00  9.804210e-01  4.384224e-03
  3.910299e+00  9.810486e-01  4.337553e-03
  3.974932e+00  9.805862e-01  4.075556e-03
  4.039565e+00  9.835409e-01  3.987207e-03
  4.104198e+00  9.827092e-01  3.734731e-03
  4.168831e+00  9.792052e-01  3.827644e-03
  4.233464e+00  9.805094e-01  4.106299e-03
  4.298097e+00  9.801327e-01  3.521621e-03
  4.362730e+00  9.880216e-01  3.640670e-03
  4.427363e+00  9.870727e-01  3.694336e-03
  4.491996e+00  9.876657e-01  3.614217e-03
  4.556629e+00  9.841298e-01  3.436143e-03
  4.621262e+00  9.824908e-01  3.575057e-03
  4.685895e+00  9.848722e-01  3.417769e-03
  4.750528e+00  9.872194e-01  3.245910e-03
  4.815162e+00  9.855000e-01  2.704776e-03
  4.879795e+00  9.851793e-01  2.924433e-03
  4.944428e+00  9.812535e-01  3.121053e-03
  5.009061e+00  9.783506e-01  2.971505e-03
  5.073694e+00  9.824800e-01  3.127746e-03
  5.138327e+00  9.844861e-01  3.281165e-03
  5.202960e+00  9.870034e-01  3.101070e-03
  5.267593e+00  9.828889e-01  2.985640e-03
  5.332226e+00  9.815043e-01  3.158196e-03
  5.396859e+00  9.834076e-01  3.017351e-03
  5.461492e+00  9.836416e-01  3.074547e-03
  5.526125e+00  9.848880e-01  2.698004e-03
  5.590758e+00  9.828367e-01  3.041415e-03
  5.655391e+00  9.821952e-01  2.818099e-03
  5.720024e+00  9.843894e-01  2.756744e-03
  5.784657e+00  9.862412e-01  2.962180e-03
  5.849290e+00  9.832648e-01  2.443258e-03
  5.913923e+00  9.823028e-01  2.804717e-03
  5.978556e+00  9.844907e-01  2.643594e-03
  6.043189e+00  9.885869e-01  2.796187e-03
  6.107822e+00  9.834311e-01  2.433680e-03
  6.172455e+00  9.823475e-01  2.821366e-03
  6.237088e+00  9.842242e-01  2.979890e-03
  6.301721e+00  9.855130e-01  2.737854e-03
  6.366355e+00  9.828278e-01  2.441977e-03
  6.430988e+00  9.854436e-01  2.334052e-03
