# DISTANCE:     AVE_GOFR:        ERROR:
  3.231652e-02  0.000000e+00  0.000000e+00
  9.694956e-02  0.000000e+00  0.000000e+00
  1.615826e-01  0.000000e+00  0.000000e+00
  2.262156e-01  0.000000e+00  0.000000e+00
  2.908487e-01  0.000000e+00  0.000000e+00
  3.554817e-01  0.000000e+00  0.000000e+00
  4.201148e-01  0.000000e+00  0.000000e+00
  4.847478e-01  0.000000e+00  0.000000e+00
  5.493808e-01  0.000000e+00  0.000000e+00
  6.140139e-01  0.000000e+00  0.000000e+00
  6.786469e-01  0.000000e+00  0.000000e+00
  7.432800e-01  0.000000e+00  0.000000e+00
  8.079130e-01  0.000000e+00  0.000000e+00
  8.725460e-01  1.040567e-03  3.208586e-04
  9.371791e-01  1.530016e-01  5.182729e-03
  1.001812e+00  1.107480e+00  2.231330e-02
  1.066445e+00  1.995927e+00  4.726477e-02
  1.131078e+00  2.173258e+00  5.520625e-02
  1.195711e+00  1.984577e+00  4.733815e-02
  1.260344e+00  1.779388e+00  3.896251e-02
  1.324977e+00  1.597645e+00  3.132781e-02
  1.389610e+00  1.440099e+00  2.372703e-02
  1.454243e+00  1.329195e+00  1.879980e-02
  1.518876e+00  1.248471e+00  1.863678e-02
  1.583509e+00  1.195723e+00  2.097506e-02
  1.648143e+00  1.141987e+00  1.951075e-02
  1.712776e+00  1.101769e+00  1.833432e-02
  1.777409e+00  1.094508e+00  1.768199e-02
  1.842042e+00  1.066351e+00  1.643536e-02
  1.906675e+00  1.076529e+00  1.646924e-02
  1.971308e+00  1.057972e+00  1.608525e-02
  2.035941e+00  1.060696e+00  1.594734e-02
  2.100574e+00  1.053528e+00  1.672695e-02
  2.165207e+00  1.044038e+00  1.615553e-02
  2.229840e+00  1.050538e+00  1.463934e-02
  2.294473e+00  1.052014e+00  1.560651e-02
  2.359106e+00  1.062822e+00  1.505941e-02
  2.423739e+00  1.048032e+00  1.392920e-02
  2.488372e+00  1.035781e+00  1.211084e-02
  2.553005e+00  1.025899e+00  1.277210e-02
  2.617638e+00  1.041494e+00  1.255510e-02
  2.682271e+00  1.024950e+00  1.240351e-02
  2.746904e+00  1.026435e+00  1.007337e-02
  2.811537e+00  1.021866e+00  9.580683e-03
  2.876170e+00  1.021528e+00  9.539100e-03
  2.940803e+00  1.014538e+00  8.604327e-03
  3.005436e+00  1.007166e+00  8.784990e-03
  3.070069e+00  9.998441e-01  1.020787e-02
  3.134702e+00  1.007695e+00  1.038487e-02
  3.199336e+00  1.002759e+00  9.327816e-03
  3.263969e+00  1.005182e+00  7.836157e-03
  3.328602e+00  1.013730e+00  8.849266e-03
  3.393235e+00  1.009742e+00  8.029404e-03
  3.457868e+00  1.004120e+00  8.339262e-03
  3.522501e+00  1.001841e+00  7.996369e-03
  3.587134e+00  9.935577e-01  7.638565e-03
  3.651767e+00  9.924953e-01  7.923025e-03
  3.716400e+00  9.917863e-01  7.769783e-03
  3.781033e+00  9.913253e-01  5.966045e-03
  3.845666e+00  9.829113e-01  6.884680e-03
  3.910299e+00  9.878927e-01  7.459819e-03
  3.974932e+00  9.890830e-01  6.756414e-03
  4.039565e+00  9.898438e-01  6.453698e-03
  4.104198e+00  9.889903e-01  5.708520e-03
  4.168831e+00  9.880194e-01  6.076703e-03
  4.233464e+00  9.847831e-01  6.042518e-03
  4.298097e+00  9.827506e-01  5.353010e-03
  4.362730e+00  9.894266e-01  5.417542e-03
  4.427363e+00  9.871909e-01  6.169623e-03
  4.491996e+00  9.837635e-01  6.642314e-03
  4.556629e+00  9.838160e-01  6.274141e-03
  4.621262e+00  9.836009e-01  5.828682e-03
  4.685895e+00  9.894426e-01  5.796563e-03
  4.750528e+00  9.869337e-01  5.187730e-03
  4.815162e+00  9.815416e-01  4.585037e-03
  4.879795e+00  9.828930e-01  4.777780e-03
  4.944428e+00  9.790737e-01  5.884263e-03
  5.009061e+00  9.743909e-01  5.063792e-03
  5.073694e+00  9.836921e-01  5.320246e-03
  5.138327e+00  9.850877e-01  5.206264e-03
  5.202960e+00  9.863167e-01  5.295917e-03
  5.267593e+00  9.842638e-01  5.136760e-03
  5.332226e+00  9.817234e-01  4.813062e-03
  5.396859e+00  9.837996e-01  5.199151e-03
  5.461492e+00  9.789893e-01  5.369983e-03
  5.526125e+00  9.823922e-01  4.575791e-03
  5.590758e+00  9.803462e-01  5.425257e-03
  5.655391e+00  9.799700e-01  4.611086e-03
  5.720024e+00  9.791711e-01  4.355640e-03
  5.784657e+00  9.823871e-01  5.081083e-03
  5.849290e+00  9.817117e-01  3.917985e-03
  5.913923e+00  9.809430e-01  4.170984e-03
  5.978556e+00  9.848941e-01  3.947220e-03
  6.043189e+00  9.871245e-01  3.973682e-03
  6.107822e+00  9.850315e-01  3.961152e-03
  6.172455e+00  9.850086e-01  4.864603e-03
  6.237088e+00  9.797448e-01  5.222182e-03
  6.301721e+00  9.826057e-01  5.038037e-03
  6.366355e+00  9.781353e-01  3.876459e-03
  6.430988e+00  9.802663e-01  3.186010e-03
