#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
             1  1.795353e+00  1.795353e+00  0.000000e+00
             2  1.807963e+00  1.801658e+00  4.458328e-03
             3  1.809574e+00  1.804296e+00  3.670910e-03
             4  1.817071e+00  1.807490e+00  3.902503e-03
             5  1.779992e+00  1.801990e+00  5.826137e-03
             6  1.788981e+00  1.799822e+00  5.243062e-03
             7  1.789962e+00  1.798414e+00  4.679451e-03
             8  1.796721e+00  1.798202e+00  4.099298e-03
             9  1.823304e+00  1.800991e+00  4.493596e-03
            10  1.849357e+00  1.805828e+00  6.116265e-03
            11  1.853085e+00  1.810124e+00  6.906155e-03
            12  1.848628e+00  1.813333e+00  7.036668e-03
            13  1.911363e+00  1.820873e+00  9.730362e-03
            14  1.912664e+00  1.827430e+00  1.102518e-02
            15  1.864860e+00  1.829925e+00  1.056878e-02
            16  1.811923e+00  1.828800e+00  9.967940e-03
            17  1.831026e+00  1.828931e+00  9.382450e-03
            18  1.834628e+00  1.829248e+00  8.866540e-03
            19  1.761239e+00  1.825668e+00  9.093717e-03
            20  1.772238e+00  1.822997e+00  9.022909e-03
            21  1.750709e+00  1.819554e+00  9.226537e-03
            22  1.809896e+00  1.819115e+00  8.817586e-03
            23  1.798024e+00  1.818198e+00  8.481761e-03
            24  1.842886e+00  1.819227e+00  8.190496e-03
            25  1.814908e+00  1.819054e+00  7.864698e-03
            26  1.820878e+00  1.819124e+00  7.562523e-03
            27  1.870662e+00  1.821033e+00  7.519467e-03
            28  1.930081e+00  1.824928e+00  8.197660e-03
            29  1.927949e+00  1.828480e+00  8.650532e-03
            30  1.876903e+00  1.830094e+00  8.511432e-03
            31  1.896230e+00  1.832228e+00  8.500036e-03
            32  1.875333e+00  1.833575e+00  8.340462e-03
            33  1.827549e+00  1.833392e+00  8.089719e-03
            34  1.813825e+00  1.832817e+00  7.872231e-03
            35  1.856587e+00  1.833496e+00  7.676550e-03
            36  1.867518e+00  1.834441e+00  7.521259e-03
            37  1.874972e+00  1.835536e+00  7.397326e-03
            38  1.834571e+00  1.835511e+00  7.202703e-03
            39  1.834952e+00  1.835497e+00  7.018033e-03
            40  1.853582e+00  1.835949e+00  6.857131e-03
            41  1.835730e+00  1.835943e+00  6.689886e-03
            42  1.818422e+00  1.835526e+00  6.543597e-03
            43  1.843538e+00  1.835713e+00  6.394073e-03
            44  1.852669e+00  1.836098e+00  6.260356e-03
            45  1.908305e+00  1.837703e+00  6.323533e-03
            46  1.859106e+00  1.838168e+00  6.203159e-03
            47  1.844191e+00  1.838296e+00  6.072501e-03
            48  1.801076e+00  1.837521e+00  5.995293e-03
            49  1.778237e+00  1.836311e+00  5.993774e-03
            50  1.839569e+00  1.836376e+00  5.874252e-03
            51  1.851590e+00  1.836674e+00  5.766641e-03
            52  1.854151e+00  1.837010e+00  5.665530e-03
            53  1.831052e+00  1.836898e+00  5.559748e-03
            54  1.825844e+00  1.836693e+00  5.460557e-03
            55  1.873061e+00  1.837354e+00  5.401163e-03
            56  1.841825e+00  1.837434e+00  5.305303e-03
            57  1.870524e+00  1.838015e+00  5.243894e-03
            58  1.832204e+00  1.837915e+00  5.154439e-03
            59  1.838283e+00  1.837921e+00  5.067079e-03
            60  1.862573e+00  1.838332e+00  4.999258e-03
            61  1.869270e+00  1.838839e+00  4.942964e-03
            62  1.887070e+00  1.839617e+00  4.924074e-03
            63  1.866151e+00  1.840038e+00  4.863893e-03
            64  1.811211e+00  1.839588e+00  4.808706e-03
            65  1.834404e+00  1.839508e+00  4.735387e-03
            66  1.864887e+00  1.839892e+00  4.679226e-03
            67  1.830543e+00  1.839753e+00  4.611467e-03
            68  1.841354e+00  1.839776e+00  4.543711e-03
            69  1.843646e+00  1.839832e+00  4.478206e-03
            70  1.851353e+00  1.839997e+00  4.417255e-03
            71  1.890878e+00  1.840714e+00  4.412788e-03
            72  1.890917e+00  1.841411e+00  4.406242e-03
            73  1.818725e+00  1.841100e+00  4.356828e-03
            74  1.809347e+00  1.840671e+00  4.319031e-03
            75  1.809107e+00  1.840250e+00  4.281899e-03
            76  1.819872e+00  1.839982e+00  4.233945e-03
            77  1.853578e+00  1.840159e+00  4.182640e-03
            78  1.863156e+00  1.840453e+00  4.139394e-03
            79  1.879127e+00  1.840943e+00  4.115843e-03
            80  1.819810e+00  1.840679e+00  4.072864e-03
            81  1.823258e+00  1.840464e+00  4.028256e-03
            82  1.839636e+00  1.840454e+00  3.979143e-03
            83  1.840468e+00  1.840454e+00  3.931202e-03
            84  1.834370e+00  1.840381e+00  3.885069e-03
            85  1.830616e+00  1.840267e+00  3.841061e-03
            86  1.867716e+00  1.840586e+00  3.809636e-03
            87  1.822832e+00  1.840382e+00  3.771308e-03
            88  1.922328e+00  1.841313e+00  3.841699e-03
            89  1.874271e+00  1.841683e+00  3.816340e-03
            90  1.882830e+00  1.842140e+00  3.801222e-03
            91  1.874505e+00  1.842496e+00  3.776052e-03
            92  1.870594e+00  1.842801e+00  3.747339e-03
            93  1.804407e+00  1.842389e+00  3.729717e-03
            94  1.765218e+00  1.841568e+00  3.779312e-03
            95  1.768632e+00  1.840800e+00  3.816713e-03
            96  1.794135e+00  1.840314e+00  3.807784e-03
            97  1.842476e+00  1.840336e+00  3.768594e-03
            98  1.780531e+00  1.839726e+00  3.779225e-03
            99  1.828731e+00  1.839615e+00  3.742683e-03
           100  1.904998e+00  1.840269e+00  3.761933e-03
