#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             1  4.827611e-02  4.827611e-02  0.000000e+00
             2  4.980990e-02  4.904300e-02  5.422760e-04
             3  4.904401e-02  4.904334e-02  3.615174e-04
             4  4.942629e-02  4.913908e-02  2.835313e-04
             5  4.970508e-02  4.925228e-02  2.483968e-04
             6  5.052092e-02  4.946372e-02  2.830265e-04
             7  4.831089e-02  4.929903e-02  2.865309e-04
             8  5.062750e-02  4.946509e-02  2.949344e-04
             9  5.177432e-02  4.972167e-02  3.567198e-04
            10  5.285531e-02  5.003503e-02  4.375494e-04
            11  5.209365e-02  5.022218e-02  4.359617e-04
            12  5.193690e-02  5.036507e-02  4.224008e-04
            13  5.168040e-02  5.046625e-02  4.018436e-04
            14  5.204965e-02  5.057935e-02  3.887309e-04
            15  4.945712e-02  5.050454e-02  3.699450e-04
            16  5.259724e-02  5.063533e-02  3.692212e-04
            17  4.899778e-02  5.053900e-02  3.598484e-04
            18  5.050615e-02  5.053718e-02  3.398615e-04
            19  4.886044e-02  5.044893e-02  3.332347e-04
            20  5.004252e-02  5.042861e-02  3.171919e-04
            21  4.846018e-02  5.033487e-02  3.156338e-04
            22  5.077984e-02  5.035510e-02  3.019341e-04
            23  4.952185e-02  5.031887e-02  2.909719e-04
            24  5.127247e-02  5.035860e-02  2.815479e-04
            25  5.026448e-02  5.035484e-02  2.703111e-04
            26  5.031420e-02  5.035328e-02  2.599191e-04
            27  4.942693e-02  5.031897e-02  2.525467e-04
            28  5.383632e-02  5.044459e-02  2.729876e-04
            29  5.264036e-02  5.052030e-02  2.738734e-04
            30  5.127664e-02  5.054551e-02  2.659022e-04
            31  4.946100e-02  5.051053e-02  2.596159e-04
            32  5.196391e-02  5.055595e-02  2.554448e-04
            33  5.053511e-02  5.055532e-02  2.477049e-04
            34  4.951514e-02  5.052472e-02  2.423013e-04
            35  4.939654e-02  5.049249e-02  2.375128e-04
            36  5.309435e-02  5.056476e-02  2.416615e-04
            37  5.186149e-02  5.059981e-02  2.376578e-04
            38  4.743409e-02  5.051650e-02  2.455714e-04
            39  5.028214e-02  5.051049e-02  2.393482e-04
            40  4.928581e-02  5.047988e-02  2.353146e-04
            41  4.960206e-02  5.045847e-02  2.305471e-04
            42  5.015704e-02  5.045129e-02  2.251696e-04
            43  5.053617e-02  5.045326e-02  2.199418e-04
            44  4.898077e-02  5.041980e-02  2.174742e-04
            45  5.235391e-02  5.046278e-02  2.168470e-04
            46  5.119816e-02  5.047876e-02  2.127215e-04
            47  5.230560e-02  5.051763e-02  2.117168e-04
            48  4.972370e-02  5.050109e-02  2.079511e-04
            49  4.806629e-02  5.045140e-02  2.095598e-04
            50  5.190538e-02  5.048048e-02  2.073764e-04
            51  5.057448e-02  5.048232e-02  2.033184e-04
            52  4.886555e-02  5.045123e-02  2.017717e-04
            53  5.167273e-02  5.047428e-02  1.992766e-04
            54  4.791495e-02  5.042689e-02  2.011435e-04
            55  4.954917e-02  5.041093e-02  1.981184e-04
            56  5.152692e-02  5.043086e-02  1.955803e-04
            57  5.206523e-02  5.045953e-02  1.942395e-04
            58  4.966862e-02  5.044589e-02  1.913686e-04
            59  4.807267e-02  5.040567e-02  1.923060e-04
            60  4.956384e-02  5.039164e-02  1.896120e-04
            61  5.068236e-02  5.039640e-02  1.865635e-04
            62  4.794736e-02  5.035690e-02  1.876896e-04
            63  5.207157e-02  5.038412e-02  1.866733e-04
            64  4.846394e-02  5.035412e-02  1.861520e-04
            65  4.930693e-02  5.033801e-02  1.839840e-04
            66  5.115094e-02  5.035032e-02  1.816081e-04
            67  4.935402e-02  5.033545e-02  1.795053e-04
            68  4.869478e-02  5.031133e-02  1.784797e-04
            69  4.968401e-02  5.030223e-02  1.761244e-04
            70  5.075927e-02  5.030876e-02  1.737293e-04
            71  5.039619e-02  5.030999e-02  1.712868e-04
            72  5.166832e-02  5.032886e-02  1.699436e-04
            73  4.994841e-02  5.032365e-02  1.676955e-04
            74  5.012280e-02  5.032093e-02  1.654513e-04
            75  5.149480e-02  5.033659e-02  1.639839e-04
            76  4.996633e-02  5.033171e-02  1.618986e-04
            77  4.997600e-02  5.032709e-02  1.598619e-04
            78  5.094628e-02  5.033503e-02  1.580094e-04
            79  4.947259e-02  5.032412e-02  1.563859e-04
            80  5.311144e-02  5.035896e-02  1.582647e-04
            81  5.198999e-02  5.037909e-02  1.575866e-04
            82  5.148681e-02  5.039260e-02  1.562428e-04
            83  5.131430e-02  5.040371e-02  1.547544e-04
            84  5.072616e-02  5.040755e-02  1.529597e-04
            85  5.187604e-02  5.042482e-02  1.521328e-04
            86  5.174652e-02  5.044019e-02  1.511380e-04
            87  4.807513e-02  5.041301e-02  1.518259e-04
            88  5.123585e-02  5.042236e-02  1.503883e-04
            89  5.316995e-02  5.045323e-02  1.518342e-04
            90  5.240646e-02  5.047493e-02  1.516903e-04
            91  5.225872e-02  5.049453e-02  1.512845e-04
            92  5.022053e-02  5.049155e-02  1.496695e-04
            93  4.890704e-02  5.047452e-02  1.490267e-04
            94  4.795404e-02  5.044770e-02  1.498341e-04
            95  5.013862e-02  5.044445e-02  1.482922e-04
            96  4.737051e-02  5.041243e-02  1.501647e-04
            97  5.242156e-02  5.043314e-02  1.500383e-04
            98  5.033835e-02  5.043218e-02  1.485104e-04
            99  4.804489e-02  5.040806e-02  1.489552e-04
           100  5.132207e-02  5.041720e-02  1.477458e-04
