#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             1  1.196902e+00  1.196902e+00  0.000000e+00
             2  1.205309e+00  1.201105e+00  2.972218e-03
             3  1.206382e+00  1.202864e+00  2.447273e-03
             4  1.211381e+00  1.204993e+00  2.601669e-03
             5  1.186661e+00  1.201327e+00  3.884091e-03
             6  1.192654e+00  1.199881e+00  3.495375e-03
             7  1.193308e+00  1.198942e+00  3.119634e-03
             8  1.197814e+00  1.198801e+00  2.732865e-03
             9  1.215536e+00  1.200661e+00  2.995731e-03
            10  1.232904e+00  1.203885e+00  4.077510e-03
            11  1.235390e+00  1.206749e+00  4.604104e-03
            12  1.232419e+00  1.208888e+00  4.691112e-03
            13  1.274242e+00  1.213916e+00  6.486908e-03
            14  1.275110e+00  1.218287e+00  7.350118e-03
            15  1.243240e+00  1.219950e+00  7.045852e-03
            16  1.207949e+00  1.219200e+00  6.645293e-03
            17  1.220684e+00  1.219287e+00  6.254967e-03
            18  1.223085e+00  1.219498e+00  5.911026e-03
            19  1.174159e+00  1.217112e+00  6.062478e-03
            20  1.181492e+00  1.215331e+00  6.015273e-03
            21  1.167139e+00  1.213036e+00  6.151025e-03
            22  1.206598e+00  1.212744e+00  5.878391e-03
            23  1.198683e+00  1.212132e+00  5.654508e-03
            24  1.228591e+00  1.212818e+00  5.460331e-03
            25  1.209938e+00  1.212703e+00  5.243132e-03
            26  1.213919e+00  1.212750e+00  5.041682e-03
            27  1.247108e+00  1.214022e+00  5.012978e-03
            28  1.286721e+00  1.216619e+00  5.465107e-03
            29  1.285299e+00  1.218987e+00  5.767021e-03
            30  1.251268e+00  1.220063e+00  5.674288e-03
            31  1.264153e+00  1.221485e+00  5.666691e-03
            32  1.250222e+00  1.222383e+00  5.560308e-03
            33  1.218366e+00  1.222261e+00  5.393146e-03
            34  1.209217e+00  1.221878e+00  5.248154e-03
            35  1.237725e+00  1.222331e+00  5.117700e-03
            36  1.245012e+00  1.222961e+00  5.014173e-03
            37  1.249982e+00  1.223691e+00  4.931551e-03
            38  1.223047e+00  1.223674e+00  4.801802e-03
            39  1.223301e+00  1.223664e+00  4.678688e-03
            40  1.235721e+00  1.223966e+00  4.571421e-03
            41  1.223820e+00  1.223962e+00  4.459924e-03
            42  1.212281e+00  1.223684e+00  4.362398e-03
            43  1.229025e+00  1.223808e+00  4.262715e-03
            44  1.235113e+00  1.224065e+00  4.173571e-03
            45  1.272203e+00  1.225135e+00  4.215689e-03
            46  1.239404e+00  1.225445e+00  4.135439e-03
            47  1.229461e+00  1.225531e+00  4.048334e-03
            48  1.200718e+00  1.225014e+00  3.996862e-03
            49  1.185491e+00  1.224207e+00  3.995849e-03
            50  1.226379e+00  1.224251e+00  3.916168e-03
            51  1.234393e+00  1.224449e+00  3.844427e-03
            52  1.236101e+00  1.224673e+00  3.777020e-03
            53  1.220701e+00  1.224599e+00  3.706499e-03
            54  1.217229e+00  1.224462e+00  3.640372e-03
            55  1.248708e+00  1.224903e+00  3.600775e-03
            56  1.227883e+00  1.224956e+00  3.536869e-03
            57  1.247016e+00  1.225343e+00  3.495929e-03
            58  1.221469e+00  1.225276e+00  3.436292e-03
            59  1.225522e+00  1.225281e+00  3.378053e-03
            60  1.241716e+00  1.225554e+00  3.332839e-03
            61  1.246180e+00  1.225893e+00  3.295309e-03
            62  1.258047e+00  1.226411e+00  3.282716e-03
            63  1.244101e+00  1.226692e+00  3.242596e-03
            64  1.207474e+00  1.226392e+00  3.205804e-03
            65  1.222936e+00  1.226339e+00  3.156924e-03
            66  1.243258e+00  1.226595e+00  3.119484e-03
            67  1.220362e+00  1.226502e+00  3.074311e-03
            68  1.227569e+00  1.226518e+00  3.029141e-03
            69  1.229097e+00  1.226555e+00  2.985471e-03
            70  1.234235e+00  1.226665e+00  2.944837e-03
            71  1.260585e+00  1.227142e+00  2.941859e-03
            72  1.260611e+00  1.227607e+00  2.937495e-03
            73  1.212483e+00  1.227400e+00  2.904552e-03
            74  1.206231e+00  1.227114e+00  2.879354e-03
            75  1.206071e+00  1.226833e+00  2.854599e-03
            76  1.213248e+00  1.226655e+00  2.822630e-03
            77  1.235719e+00  1.226772e+00  2.788426e-03
            78  1.242104e+00  1.226969e+00  2.759596e-03
            79  1.252752e+00  1.227295e+00  2.743895e-03
            80  1.213206e+00  1.227119e+00  2.715242e-03
            81  1.215505e+00  1.226976e+00  2.685504e-03
            82  1.226424e+00  1.226969e+00  2.652762e-03
            83  1.226979e+00  1.226969e+00  2.620801e-03
            84  1.222914e+00  1.226921e+00  2.590046e-03
            85  1.220410e+00  1.226844e+00  2.560707e-03
            86  1.245144e+00  1.227057e+00  2.539757e-03
            87  1.215222e+00  1.226921e+00  2.514205e-03
            88  1.281552e+00  1.227542e+00  2.561132e-03
            89  1.249514e+00  1.227789e+00  2.544227e-03
            90  1.255220e+00  1.228094e+00  2.534148e-03
            91  1.249670e+00  1.228331e+00  2.517368e-03
            92  1.247063e+00  1.228534e+00  2.498226e-03
            93  1.202938e+00  1.228259e+00  2.486478e-03
            94  1.176812e+00  1.227712e+00  2.519541e-03
            95  1.179088e+00  1.227200e+00  2.544475e-03
            96  1.196090e+00  1.226876e+00  2.538523e-03
            97  1.228317e+00  1.226891e+00  2.512396e-03
            98  1.187021e+00  1.226484e+00  2.519484e-03
            99  1.219154e+00  1.226410e+00  2.495122e-03
           100  1.269998e+00  1.226846e+00  2.507955e-03
