#   N_BLOCK:  ACCEPTANCE:
             1  6.206546e-01
             2  6.205648e-01
             3  6.202190e-01
             4  6.196652e-01
             5  6.194077e-01
             6  6.191103e-01
             7  6.189306e-01
             8  6.189366e-01
             9  6.187713e-01
            10  6.188667e-01
            11  6.188184e-01
            12  6.187483e-01
            13  6.188217e-01
            14  6.187168e-01
            15  6.186459e-01
            16  6.187305e-01
            17  6.188710e-01
            18  6.189079e-01
            19  6.188711e-01
            20  6.188856e-01
            21  6.189945e-01
            22  6.190450e-01
            23  6.190951e-01
            24  6.190267e-01
            25  6.190648e-01
            26  6.190566e-01
            27  6.190648e-01
            28  6.190328e-01
            29  6.189346e-01
            30  6.189381e-01
            31  6.188931e-01
            32  6.188568e-01
            33  6.188370e-01
            34  6.187989e-01
            35  6.188130e-01
            36  6.188159e-01
            37  6.188408e-01
            38  6.188234e-01
            39  6.187809e-01
            40  6.187877e-01
            41  6.188304e-01
            42  6.188217e-01
            43  6.188217e-01
            44  6.188509e-01
            45  6.188628e-01
            46  6.188685e-01
            47  6.188836e-01
            48  6.188902e-01
            49  6.188630e-01
            50  6.188598e-01
            51  6.188538e-01
            52  6.188556e-01
            53  6.188419e-01
            54  6.188189e-01
            55  6.188189e-01
            56  6.188007e-01
            57  6.188065e-01
            58  6.188066e-01
            59  6.187844e-01
            60  6.187821e-01
            61  6.187777e-01
            62  6.187830e-01
            63  6.187783e-01
            64  6.187676e-01
            65  6.187740e-01
            66  6.187640e-01
            67  6.187781e-01
            68  6.187683e-01
            69  6.187389e-01
            70  6.187547e-01
            71  6.187403e-01
            72  6.187417e-01
            73  6.187552e-01
            74  6.187604e-01
            75  6.187587e-01
            76  6.187735e-01
            77  6.187696e-01
            78  6.187936e-01
            79  6.187869e-01
            80  6.187983e-01
            81  6.188059e-01
            82  6.188037e-01
            83  6.187977e-01
            84  6.187794e-01
            85  6.187668e-01
            86  6.187569e-01
            87  6.187378e-01
            88  6.187253e-01
            89  6.187298e-01
            90  6.187398e-01
            91  6.187235e-01
            92  6.187368e-01
            93  6.187445e-01
            94  6.187296e-01
            95  6.187409e-01
            96  6.187556e-01
            97  6.187644e-01
            98  6.187621e-01
            99  6.187781e-01
           100  6.187619e-01
