# DISTANCE:     AVE_GOFR:        ERROR:
  3.231652e-02  0.000000e+00  0.000000e+00
  9.694956e-02  0.000000e+00  0.000000e+00
  1.615826e-01  0.000000e+00  0.000000e+00
  2.262156e-01  0.000000e+00  0.000000e+00
  2.908487e-01  0.000000e+00  0.000000e+00
  3.554817e-01  0.000000e+00  0.000000e+00
  4.201148e-01  0.000000e+00  0.000000e+00
  4.847478e-01  0.000000e+00  0.000000e+00
  5.493808e-01  0.000000e+00  0.000000e+00
  6.140139e-01  0.000000e+00  0.000000e+00
  6.786469e-01  0.000000e+00  0.000000e+00
  7.432800e-01  0.000000e+00  0.000000e+00
  8.079130e-01  0.000000e+00  0.000000e+00
  8.725460e-01  8.429449e-04  3.539505e-05
  9.371791e-01  1.478151e-01  4.682465e-04
  1.001812e+00  1.066167e+00  1.437717e-03
  1.066445e+00  2.043775e+00  2.391095e-03
  1.131078e+00  2.267961e+00  2.360339e-03
  1.195711e+00  2.087583e+00  2.309803e-03
  1.260344e+00  1.836838e+00  2.020950e-03
  1.324977e+00  1.616273e+00  1.444157e-03
  1.389610e+00  1.454241e+00  1.475539e-03
  1.454243e+00  1.335495e+00  1.230522e-03
  1.518876e+00  1.250805e+00  1.175136e-03
  1.583509e+00  1.188273e+00  9.561743e-04
  1.648143e+00  1.144390e+00  8.255064e-04
  1.712776e+00  1.111309e+00  8.828813e-04
  1.777409e+00  1.090463e+00  8.625995e-04
  1.842042e+00  1.074725e+00  8.132091e-04
  1.906675e+00  1.065594e+00  8.121005e-04
  1.971308e+00  1.061164e+00  7.058569e-04
  2.035941e+00  1.057143e+00  6.534955e-04
  2.100574e+00  1.055004e+00  7.188520e-04
  2.165207e+00  1.051976e+00  7.042965e-04
  2.229840e+00  1.047645e+00  6.763661e-04
  2.294473e+00  1.043101e+00  5.729828e-04
  2.359106e+00  1.038241e+00  5.950749e-04
  2.423739e+00  1.031752e+00  5.138936e-04
  2.488372e+00  1.026197e+00  6.026333e-04
  2.553005e+00  1.022047e+00  5.535369e-04
  2.617638e+00  1.018749e+00  5.058512e-04
  2.682271e+00  1.013625e+00  5.140213e-04
  2.746904e+00  1.010875e+00  5.182127e-04
  2.811537e+00  1.007967e+00  5.050053e-04
  2.876170e+00  1.004783e+00  4.686149e-04
  2.940803e+00  1.003654e+00  4.279226e-04
  3.005436e+00  1.002069e+00  4.765940e-04
  3.070069e+00  9.999901e-01  4.339595e-04
  3.134702e+00  9.989711e-01  4.324411e-04
  3.199336e+00  9.974426e-01  4.543998e-04
  3.263969e+00  9.968877e-01  4.184378e-04
  3.328602e+00  9.957845e-01  3.603199e-04
  3.393235e+00  9.953657e-01  3.586447e-04
  3.457868e+00  9.940433e-01  4.130096e-04
  3.522501e+00  9.934304e-01  3.883828e-04
  3.587134e+00  9.934710e-01  3.649692e-04
  3.651767e+00  9.925999e-01  3.885268e-04
  3.716400e+00  9.915346e-01  3.752979e-04
  3.781033e+00  9.910078e-01  3.533381e-04
  3.845666e+00  9.899849e-01  3.413258e-04
  3.910299e+00  9.898596e-01  3.480407e-04
  3.974932e+00  9.894498e-01  3.433088e-04
  4.039565e+00  9.894706e-01  3.171334e-04
  4.104198e+00  9.889045e-01  3.170120e-04
  4.168831e+00  9.886672e-01  3.496341e-04
  4.233464e+00  9.885120e-01  3.355496e-04
  4.298097e+00  9.878057e-01  3.379733e-04
  4.362730e+00  9.874819e-01  2.854628e-04
  4.427363e+00  9.878154e-01  3.072650e-04
  4.491996e+00  9.876000e-01  3.000003e-04
  4.556629e+00  9.873587e-01  2.959175e-04
  4.621262e+00  9.874223e-01  3.015090e-04
  4.685895e+00  9.873476e-01  2.361660e-04
  4.750528e+00  9.873530e-01  2.947051e-04
  4.815162e+00  9.871994e-01  2.750432e-04
  4.879795e+00  9.870758e-01  2.462552e-04
  4.944428e+00  9.866339e-01  2.415115e-04
  5.009061e+00  9.867991e-01  2.351073e-04
  5.073694e+00  9.860467e-01  2.184937e-04
  5.138327e+00  9.859422e-01  2.663107e-04
  5.202960e+00  9.862316e-01  2.466449e-04
  5.267593e+00  9.864308e-01  2.586319e-04
  5.332226e+00  9.860312e-01  2.250762e-04
  5.396859e+00  9.860451e-01  2.526726e-04
  5.461492e+00  9.860544e-01  2.338487e-04
  5.526125e+00  9.861613e-01  2.268990e-04
  5.590758e+00  9.862775e-01  2.200883e-04
  5.655391e+00  9.861703e-01  2.168561e-04
  5.720024e+00  9.856829e-01  2.330415e-04
  5.784657e+00  9.862059e-01  2.222353e-04
  5.849290e+00  9.862356e-01  2.518373e-04
  5.913923e+00  9.859966e-01  2.537215e-04
  5.978556e+00  9.859977e-01  2.042528e-04
  6.043189e+00  9.858593e-01  2.080694e-04
  6.107822e+00  9.859024e-01  2.240852e-04
  6.172455e+00  9.854547e-01  1.932673e-04
  6.237088e+00  9.862567e-01  2.298283e-04
  6.301721e+00  9.858145e-01  1.950385e-04
  6.366355e+00  9.857471e-01  1.997475e-04
  6.430988e+00  9.857067e-01  1.989712e-04
