# DISTANCE:     AVE_GOFR:        ERROR:
  3.231652e-02  0.000000e+00  0.000000e+00
  9.694956e-02  0.000000e+00  0.000000e+00
  1.615826e-01  0.000000e+00  0.000000e+00
  2.262156e-01  0.000000e+00  0.000000e+00
  2.908487e-01  0.000000e+00  0.000000e+00
  3.554817e-01  0.000000e+00  0.000000e+00
  4.201148e-01  0.000000e+00  0.000000e+00
  4.847478e-01  0.000000e+00  0.000000e+00
  5.493808e-01  0.000000e+00  0.000000e+00
  6.140139e-01  0.000000e+00  0.000000e+00
  6.786469e-01  0.000000e+00  0.000000e+00
  7.432800e-01  0.000000e+00  0.000000e+00
  8.079130e-01  0.000000e+00  0.000000e+00
  8.725460e-01  7.763560e-04  5.777481e-05
  9.371791e-01  1.490089e-01  7.039973e-04
  1.001812e+00  1.064977e+00  2.809123e-03
  1.066445e+00  2.045746e+00  4.909511e-03
  1.131078e+00  2.264101e+00  4.620511e-03
  1.195711e+00  2.089649e+00  3.819330e-03
  1.260344e+00  1.831621e+00  3.846566e-03
  1.324977e+00  1.616636e+00  2.293152e-03
  1.389610e+00  1.452699e+00  2.818549e-03
  1.454243e+00  1.333810e+00  2.662682e-03
  1.518876e+00  1.249323e+00  2.655246e-03
  1.583509e+00  1.187630e+00  1.823578e-03
  1.648143e+00  1.143737e+00  1.743325e-03
  1.712776e+00  1.111685e+00  1.464380e-03
  1.777409e+00  1.092571e+00  1.338246e-03
  1.842042e+00  1.075686e+00  1.649169e-03
  1.906675e+00  1.064476e+00  1.472936e-03
  1.971308e+00  1.060716e+00  1.166989e-03
  2.035941e+00  1.058153e+00  9.714134e-04
  2.100574e+00  1.054240e+00  1.331975e-03
  2.165207e+00  1.050890e+00  1.282956e-03
  2.229840e+00  1.047366e+00  1.259266e-03
  2.294473e+00  1.043465e+00  8.739588e-04
  2.359106e+00  1.038050e+00  1.218180e-03
  2.423739e+00  1.030677e+00  9.109810e-04
  2.488372e+00  1.025823e+00  1.114043e-03
  2.553005e+00  1.022038e+00  9.133158e-04
  2.617638e+00  1.018261e+00  1.051669e-03
  2.682271e+00  1.014757e+00  8.108545e-04
  2.746904e+00  1.010401e+00  1.046917e-03
  2.811537e+00  1.008494e+00  9.455069e-04
  2.876170e+00  1.005224e+00  7.264387e-04
  2.940803e+00  1.003263e+00  6.932576e-04
  3.005436e+00  1.001976e+00  7.200469e-04
  3.070069e+00  9.992970e-01  7.624159e-04
  3.134702e+00  9.996326e-01  7.075192e-04
  3.199336e+00  9.981602e-01  9.944686e-04
  3.263969e+00  9.969702e-01  8.293349e-04
  3.328602e+00  9.972844e-01  5.225956e-04
  3.393235e+00  9.950811e-01  7.515313e-04
  3.457868e+00  9.942320e-01  8.579388e-04
  3.522501e+00  9.942456e-01  5.972277e-04
  3.587134e+00  9.946241e-01  5.676235e-04
  3.651767e+00  9.922497e-01  7.094054e-04
  3.716400e+00  9.918569e-01  6.085437e-04
  3.781033e+00  9.912388e-01  6.985991e-04
  3.845666e+00  9.896593e-01  6.974137e-04
  3.910299e+00  9.902021e-01  4.942210e-04
  3.974932e+00  9.894573e-01  5.577743e-04
  4.039565e+00  9.889911e-01  5.147867e-04
  4.104198e+00  9.885284e-01  6.571174e-04
  4.168831e+00  9.887818e-01  6.247571e-04
  4.233464e+00  9.887355e-01  5.740502e-04
  4.298097e+00  9.880695e-01  6.901569e-04
  4.362730e+00  9.877955e-01  5.116446e-04
  4.427363e+00  9.885541e-01  4.502331e-04
  4.491996e+00  9.879767e-01  4.838978e-04
  4.556629e+00  9.883836e-01  5.205451e-04
  4.621262e+00  9.872974e-01  4.866545e-04
  4.685895e+00  9.877266e-01  4.867590e-04
  4.750528e+00  9.877556e-01  4.236063e-04
  4.815162e+00  9.869085e-01  5.696479e-04
  4.879795e+00  9.871853e-01  3.676250e-04
  4.944428e+00  9.866972e-01  4.828266e-04
  5.009061e+00  9.865935e-01  3.044316e-04
  5.073694e+00  9.862352e-01  3.994956e-04
  5.138327e+00  9.865204e-01  5.371231e-04
  5.202960e+00  9.860142e-01  4.562910e-04
  5.267593e+00  9.871742e-01  4.004141e-04
  5.332226e+00  9.864492e-01  4.558461e-04
  5.396859e+00  9.860160e-01  4.462389e-04
  5.461492e+00  9.858388e-01  4.649059e-04
  5.526125e+00  9.867958e-01  3.668808e-04
  5.590758e+00  9.859810e-01  4.161234e-04
  5.655391e+00  9.864997e-01  4.927653e-04
  5.720024e+00  9.852189e-01  3.755479e-04
  5.784657e+00  9.860846e-01  3.763804e-04
  5.849290e+00  9.865595e-01  4.408226e-04
  5.913923e+00  9.859851e-01  4.265432e-04
  5.978556e+00  9.861513e-01  4.050989e-04
  6.043189e+00  9.853726e-01  3.852825e-04
  6.107822e+00  9.854953e-01  4.290534e-04
  6.172455e+00  9.851812e-01  3.390111e-04
  6.237088e+00  9.866395e-01  3.547006e-04
  6.301721e+00  9.863479e-01  3.639070e-04
  6.366355e+00  9.859359e-01  3.417033e-04
  6.430988e+00  9.852743e-01  3.772390e-04
