#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
             1  1.800000e+00  1.800000e+00  0.000000e+00
             2  1.800000e+00  1.800000e+00  0.000000e+00
             3  1.800000e+00  1.800000e+00  0.000000e+00
             4  1.800000e+00  1.800000e+00  0.000000e+00
             5  1.800000e+00  1.800000e+00  0.000000e+00
             6  1.800000e+00  1.800000e+00  0.000000e+00
             7  1.800000e+00  1.800000e+00  7.965006e-09
             8  1.800000e+00  1.800000e+00  7.450581e-09
             9  1.800000e+00  1.800000e+00  7.024475e-09
            10  1.800000e+00  1.800000e+00  6.664002e-09
            11  1.800000e+00  1.800000e+00  1.100524e-08
            12  1.800000e+00  1.800000e+00  1.053671e-08
            13  1.800000e+00  1.800000e+00  1.012335e-08
            14  1.800000e+00  1.800000e+00  1.259378e-08
            15  1.800000e+00  1.800000e+00  1.216675e-08
            16  1.800000e+00  1.800000e+00  1.178040e-08
            17  1.800000e+00  1.800000e+00  1.142867e-08
            18  1.800000e+00  1.800000e+00  8.603189e-09
            19  1.800000e+00  1.800000e+00  8.373730e-09
            20  1.800000e+00  1.800000e+00  4.712161e-09
            21  1.800000e+00  1.800000e+00  4.598598e-09
            22  1.800000e+00  1.800000e+00  6.353876e-09
            23  1.800000e+00  1.800000e+00  6.214214e-09
            24  1.800000e+00  1.800000e+00  9.618658e-09
            25  1.800000e+00  1.800000e+00  9.424322e-09
            26  1.800000e+00  1.800000e+00  1.012335e-08
            27  1.800000e+00  1.800000e+00  1.147092e-08
            28  1.800000e+00  1.800000e+00  1.194751e-08
            29  1.800000e+00  1.800000e+00  1.173971e-08
            30  1.800000e+00  1.800000e+00  1.276059e-08
            31  1.800000e+00  1.800000e+00  1.311127e-08
            32  1.800000e+00  1.800000e+00  1.290478e-08
            33  1.800000e+00  1.800000e+00  1.270775e-08
            34  1.800000e+00  1.800000e+00  1.303069e-08
            35  1.800000e+00  1.800000e+00  1.332800e-08
            36  1.800000e+00  1.800000e+00  1.266355e-08
            37  1.800000e+00  1.800000e+00  1.249125e-08
            38  1.800000e+00  1.800000e+00  1.232580e-08
            39  1.800000e+00  1.800000e+00  1.262603e-08
            40  1.800000e+00  1.800000e+00  1.246721e-08
            41  1.800000e+00  1.800000e+00  1.231423e-08
            42  1.800000e+00  1.800000e+00  1.216675e-08
            43  1.800000e+00  1.800000e+00  1.244648e-08
            44  1.800000e+00  1.800000e+00  1.230423e-08
            45  1.800000e+00  1.800000e+00  1.216675e-08
            46  1.800000e+00  1.800000e+00  1.203377e-08
            47  1.800000e+00  1.800000e+00  1.267391e-08
            48  1.800000e+00  1.800000e+00  1.254120e-08
            49  1.800000e+00  1.800000e+00  1.241256e-08
            50  1.800000e+00  1.800000e+00  1.264405e-08
            51  1.800000e+00  1.800000e+00  1.251948e-08
            52  1.800000e+00  1.800000e+00  1.239852e-08
            53  1.800000e+00  1.800000e+00  1.228099e-08
            54  1.800000e+00  1.800000e+00  1.216675e-08
            55  1.800000e+00  1.800000e+00  1.205563e-08
            56  1.800000e+00  1.800000e+00  1.194751e-08
            57  1.800000e+00  1.800000e+00  1.248282e-08
            58  1.800000e+00  1.800000e+00  1.237474e-08
            59  1.800000e+00  1.800000e+00  1.257242e-08
            60  1.800000e+00  1.800000e+00  1.246721e-08
            61  1.800000e+00  1.800000e+00  1.236459e-08
            62  1.800000e+00  1.800000e+00  1.226447e-08
            63  1.800000e+00  1.800000e+00  1.216675e-08
            64  1.800000e+00  1.800000e+00  1.207132e-08
            65  1.800000e+00  1.800000e+00  1.197810e-08
            66  1.800000e+00  1.800000e+00  1.188701e-08
            67  1.800000e+00  1.800000e+00  1.179797e-08
            68  1.800000e+00  1.800000e+00  1.171090e-08
            69  1.800000e+00  1.800000e+00  1.162573e-08
            70  1.800000e+00  1.800000e+00  1.154239e-08
            71  1.800000e+00  1.800000e+00  1.146082e-08
            72  1.800000e+00  1.800000e+00  1.164877e-08
            73  1.800000e+00  1.800000e+00  1.156871e-08
            74  1.800000e+00  1.800000e+00  1.095555e-08
            75  1.800000e+00  1.800000e+00  1.032383e-08
            76  1.800000e+00  1.800000e+00  9.966732e-09
            77  1.800000e+00  1.800000e+00  9.901801e-09
            78  1.800000e+00  1.800000e+00  9.241308e-09
            79  1.800000e+00  1.800000e+00  8.548565e-09
            80  1.800000e+00  1.800000e+00  7.450581e-09
            81  1.800000e+00  1.800000e+00  7.404447e-09
            82  1.800000e+00  1.800000e+00  6.582232e-09
            83  1.800000e+00  1.800000e+00  6.119911e-09
            84  1.800000e+00  1.800000e+00  6.083374e-09
            85  1.800000e+00  1.800000e+00  5.111056e-09
            86  1.800000e+00  1.800000e+00  5.566235e-09
            87  1.800000e+00  1.800000e+00  4.518616e-09
            88  1.800000e+00  1.800000e+00  3.176938e-09
            89  1.800000e+00  1.800000e+00  3.159040e-09
            90  1.800000e+00  1.800000e+00  0.000000e+00
            91  1.800000e+00  1.800000e+00  0.000000e+00
            92  1.800000e+00  1.800000e+00  2.197056e-09
            93  1.800000e+00  1.800000e+00  2.185212e-09
            94  1.800000e+00  1.800000e+00  3.764712e-09
            95  1.800000e+00  1.800000e+00  3.744846e-09
            96  1.800000e+00  1.800000e+00  4.809329e-09
            97  1.800000e+00  1.800000e+00  4.784475e-09
            98  1.800000e+00  1.800000e+00  5.632110e-09
            99  1.800000e+00  1.800000e+00  5.603592e-09
           100  1.800000e+00  1.800000e+00  5.575504e-09
