#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             1  4.861754e-02  4.861754e-02  0.000000e+00
             2  4.905966e-02  4.883860e-02  1.563142e-04
             3  4.911967e-02  4.893229e-02  1.292727e-04
             4  4.852155e-02  4.882960e-02  1.315610e-04
             5  4.867553e-02  4.879879e-02  1.087978e-04
             6  4.864715e-02  4.877352e-02  9.355429e-05
             7  4.878043e-02  4.877450e-02  8.019461e-05
             8  4.872874e-02  4.876878e-02  7.037406e-05
             9  4.859830e-02  4.874984e-02  6.505421e-05
            10  4.861372e-02  4.873623e-02  5.995593e-05
            11  4.864503e-02  4.872794e-02  5.507562e-05
            12  4.877780e-02  4.873209e-02  5.064248e-05
            13  4.889077e-02  4.874430e-02  4.819533e-05
            14  4.857175e-02  4.873197e-02  4.630183e-05
            15  4.885988e-02  4.874050e-02  4.399318e-05
            16  4.873725e-02  4.874030e-02  4.124407e-05
            17  4.866752e-02  4.873602e-02  3.903948e-05
            18  4.886731e-02  4.874331e-02  3.754581e-05
            19  4.862520e-02  4.873709e-02  3.608068e-05
            20  4.827221e-02  4.871385e-02  4.108743e-05
            21  4.876693e-02  4.871638e-02  3.920856e-05
            22  4.885746e-02  4.872279e-02  3.794715e-05
            23  4.865570e-02  4.871987e-02  3.640922e-05
            24  4.855245e-02  4.871290e-02  3.555420e-05
            25  4.882770e-02  4.871749e-02  3.442733e-05
            26  4.887468e-02  4.872354e-02  3.362985e-05
            27  4.888438e-02  4.872949e-02  3.290773e-05
            28  4.877895e-02  4.873126e-02  3.177984e-05
            29  4.865982e-02  4.872880e-02  3.077929e-05
            30  4.875374e-02  4.872963e-02  2.976454e-05
            31  4.871250e-02  4.872908e-02  2.880953e-05
            32  4.892051e-02  4.873506e-02  2.852356e-05
            33  4.866205e-02  4.873284e-02  2.774488e-05
            34  4.864125e-02  4.873015e-02  2.705931e-05
            35  4.873644e-02  4.873033e-02  2.628679e-05
            36  4.847170e-02  4.872315e-02  2.652019e-05
            37  4.867844e-02  4.872194e-02  2.583094e-05
            38  4.845283e-02  4.871486e-02  2.610388e-05
            39  4.856441e-02  4.871100e-02  2.571802e-05
            40  4.859141e-02  4.870801e-02  2.524824e-05
            41  4.880835e-02  4.871046e-02  2.475076e-05
            42  4.872858e-02  4.871089e-02  2.416522e-05
            43  4.865428e-02  4.870957e-02  2.363906e-05
            44  4.858208e-02  4.870667e-02  2.327873e-05
            45  4.875882e-02  4.870783e-02  2.279025e-05
            46  4.863503e-02  4.870625e-02  2.234969e-05
            47  4.864851e-02  4.870502e-02  2.190791e-05
            48  4.854451e-02  4.870168e-02  2.170522e-05
            49  4.885696e-02  4.870485e-02  2.149235e-05
            50  4.875712e-02  4.870589e-02  2.108792e-05
            51  4.861243e-02  4.870406e-02  2.075391e-05
            52  4.847765e-02  4.869971e-02  2.080652e-05
            53  4.847730e-02  4.869551e-02  2.083282e-05
            54  4.880639e-02  4.869756e-02  2.054797e-05
            55  4.869280e-02  4.869748e-02  2.017455e-05
            56  4.842171e-02  4.869255e-02  2.040643e-05
            57  4.860548e-02  4.869102e-02  2.010552e-05
            58  4.895477e-02  4.869557e-02  2.026661e-05
            59  4.899985e-02  4.870073e-02  2.056885e-05
            60  4.887644e-02  4.870366e-02  2.043345e-05
            61  4.866235e-02  4.870298e-02  2.010969e-05
            62  4.866470e-02  4.870236e-02  1.979481e-05
            63  4.866237e-02  4.870173e-02  1.949079e-05
            64  4.852180e-02  4.869892e-02  1.938794e-05
            65  4.861434e-02  4.869761e-02  1.913327e-05
            66  4.850603e-02  4.869471e-02  1.906231e-05
            67  4.866590e-02  4.869428e-02  1.878265e-05
            68  4.870303e-02  4.869441e-02  1.850687e-05
            69  4.856228e-02  4.869250e-02  1.833746e-05
            70  4.873859e-02  4.869315e-02  1.808731e-05
            71  4.873085e-02  4.869369e-02  1.784035e-05
            72  4.868131e-02  4.869351e-02  1.759340e-05
            73  4.865108e-02  4.869293e-02  1.736199e-05
            74  4.888543e-02  4.869553e-02  1.732115e-05
            75  4.857716e-02  4.869395e-02  1.716196e-05
            76  4.858008e-02  4.869246e-02  1.700143e-05
            77  4.871591e-02  4.869276e-02  1.678336e-05
            78  4.853684e-02  4.869076e-02  1.668681e-05
            79  4.852632e-02  4.868868e-02  1.660490e-05
            80  4.889531e-02  4.869126e-02  1.659700e-05
            81  4.867653e-02  4.869108e-02  1.639310e-05
            82  4.861919e-02  4.869020e-02  1.621661e-05
            83  4.860548e-02  4.868918e-02  1.605332e-05
            84  4.862306e-02  4.868840e-02  1.588150e-05
            85  4.861668e-02  4.868755e-02  1.571706e-05
            86  4.880397e-02  4.868891e-02  1.559248e-05
            87  4.856856e-02  4.868752e-02  1.547449e-05
            88  4.850007e-02  4.868539e-02  1.544457e-05
            89  4.873534e-02  4.868595e-02  1.528122e-05
            90  4.872441e-02  4.868638e-02  1.511741e-05
            91  4.853281e-02  4.868469e-02  1.504518e-05
            92  4.886847e-02  4.868669e-02  1.501367e-05
            93  4.879256e-02  4.868783e-02  1.489532e-05
            94  4.875675e-02  4.868856e-02  1.475489e-05
            95  4.851062e-02  4.868669e-02  1.471799e-05
            96  4.885696e-02  4.868846e-02  1.467116e-05
            97  4.872923e-02  4.868888e-02  1.452593e-05
            98  4.875009e-02  4.868951e-02  1.439113e-05
            99  4.868463e-02  4.868946e-02  1.424585e-05
           100  4.871102e-02  4.868968e-02  1.410502e-05
