#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             1  1.200000e+00  1.200000e+00  0.000000e+00
             2  1.200000e+00  1.200000e+00  0.000000e+00
             3  1.200000e+00  1.200000e+00  8.603189e-09
             4  1.200000e+00  1.200000e+00  0.000000e+00
             5  1.200000e+00  1.200000e+00  0.000000e+00
             6  1.200000e+00  1.200000e+00  6.083374e-09
             7  1.200000e+00  1.200000e+00  5.632110e-09
             8  1.200000e+00  1.200000e+00  5.268356e-09
             9  1.200000e+00  1.200000e+00  4.967054e-09
            10  1.200000e+00  1.200000e+00  4.712161e-09
            11  1.200000e+00  1.200000e+00  4.492869e-09
            12  1.200000e+00  1.200000e+00  4.301595e-09
            13  1.200000e+00  1.200000e+00  4.132839e-09
            14  1.200000e+00  1.200000e+00  3.982503e-09
            15  1.200000e+00  1.200000e+00  6.664002e-09
            16  1.200000e+00  1.200000e+00  6.452392e-09
            17  1.200000e+00  1.200000e+00  6.259740e-09
            18  1.200000e+00  1.200000e+00  8.603189e-09
            19  1.200000e+00  1.200000e+00  8.373730e-09
            20  1.200000e+00  1.200000e+00  8.161702e-09
            21  1.200000e+00  1.200000e+00  7.965006e-09
            22  1.200000e+00  1.200000e+00  8.985738e-09
            23  1.200000e+00  1.200000e+00  8.788225e-09
            24  1.200000e+00  1.200000e+00  8.603189e-09
            25  1.200000e+00  1.200000e+00  7.884953e-09
            26  1.200000e+00  1.200000e+00  7.731833e-09
            27  1.200000e+00  1.200000e+00  7.024475e-09
            28  1.200000e+00  1.200000e+00  5.632110e-09
            29  1.200000e+00  1.200000e+00  4.792717e-09
            30  1.200000e+00  1.200000e+00  4.712161e-09
            31  1.200000e+00  1.200000e+00  2.676328e-09
            32  1.200000e+00  1.200000e+00  2.634178e-09
            33  1.200000e+00  1.200000e+00  2.593959e-09
            34  1.200000e+00  1.200000e+00  5.111056e-09
            35  1.200000e+00  1.200000e+00  5.037512e-09
            36  1.200000e+00  1.200000e+00  4.967054e-09
            37  1.200000e+00  1.200000e+00  4.899472e-09
            38  1.200000e+00  1.200000e+00  6.837122e-09
            39  1.200000e+00  1.200000e+00  6.748897e-09
            40  1.200000e+00  1.200000e+00  6.664002e-09
            41  1.200000e+00  1.200000e+00  6.582232e-09
            42  1.200000e+00  1.200000e+00  6.897897e-09
            43  1.200000e+00  1.200000e+00  7.536717e-09
            44  1.200000e+00  1.200000e+00  7.450581e-09
            45  1.200000e+00  1.200000e+00  7.024475e-09
            46  1.200000e+00  1.200000e+00  7.286812e-09
            47  1.200000e+00  1.200000e+00  7.208876e-09
            48  1.200000e+00  1.200000e+00  7.133388e-09
            49  1.200000e+00  1.200000e+00  7.060223e-09
            50  1.200000e+00  1.200000e+00  7.598131e-09
            51  1.200000e+00  1.200000e+00  7.523271e-09
            52  1.200000e+00  1.200000e+00  7.731833e-09
            53  1.200000e+00  1.200000e+00  7.658544e-09
            54  1.200000e+00  1.200000e+00  7.587300e-09
            55  1.200000e+00  1.200000e+00  7.518008e-09
            56  1.200000e+00  1.200000e+00  7.450581e-09
            57  1.200000e+00  1.200000e+00  7.384935e-09
            58  1.200000e+00  1.200000e+00  7.320995e-09
            59  1.200000e+00  1.200000e+00  7.998685e-09
            60  1.200000e+00  1.200000e+00  8.161702e-09
            61  1.200000e+00  1.200000e+00  8.094526e-09
            62  1.200000e+00  1.200000e+00  8.028983e-09
            63  1.200000e+00  1.200000e+00  7.965006e-09
            64  1.200000e+00  1.200000e+00  7.902534e-09
            65  1.200000e+00  1.200000e+00  7.841510e-09
            66  1.200000e+00  1.200000e+00  7.781878e-09
            67  1.200000e+00  1.200000e+00  7.723586e-09
            68  1.200000e+00  1.200000e+00  7.666584e-09
            69  1.200000e+00  1.200000e+00  7.610826e-09
            70  1.200000e+00  1.200000e+00  7.763327e-09
            71  1.200000e+00  1.200000e+00  7.708462e-09
            72  1.200000e+00  1.200000e+00  8.047547e-09
            73  1.200000e+00  1.200000e+00  7.992237e-09
            74  1.200000e+00  1.200000e+00  7.938051e-09
            75  1.200000e+00  1.200000e+00  7.884953e-09
            76  1.200000e+00  1.200000e+00  7.832907e-09
            77  1.200000e+00  1.200000e+00  7.781878e-09
            78  1.200000e+00  1.200000e+00  7.731833e-09
            79  1.200000e+00  1.200000e+00  7.682741e-09
            80  1.200000e+00  1.200000e+00  7.634573e-09
            81  1.200000e+00  1.200000e+00  7.587300e-09
            82  1.200000e+00  1.200000e+00  7.540894e-09
            83  1.200000e+00  1.200000e+00  7.495329e-09
            84  1.200000e+00  1.200000e+00  7.450581e-09
            85  1.200000e+00  1.200000e+00  7.406624e-09
            86  1.200000e+00  1.200000e+00  7.536717e-09
            87  1.200000e+00  1.200000e+00  7.493278e-09
            88  1.200000e+00  1.200000e+00  7.450581e-09
            89  1.200000e+00  1.200000e+00  7.408605e-09
            90  1.200000e+00  1.200000e+00  7.367331e-09
            91  1.200000e+00  1.200000e+00  7.326740e-09
            92  1.200000e+00  1.200000e+00  7.767767e-09
            93  1.200000e+00  1.200000e+00  7.725892e-09
            94  1.200000e+00  1.200000e+00  7.684687e-09
            95  1.200000e+00  1.200000e+00  7.644134e-09
            96  1.200000e+00  1.200000e+00  7.604217e-09
            97  1.200000e+00  1.200000e+00  7.564918e-09
            98  1.200000e+00  1.200000e+00  7.526223e-09
            99  1.200000e+00  1.200000e+00  7.488115e-09
           100  1.200000e+00  1.200000e+00  7.450581e-09
