# DISTANCE:     AVE_GOFR:        ERROR:
        1.1533214397429437e-02        9.9990348334825929e-01        3.8500054712363951e-01
        3.4599643192288310e-02        1.3754130884484792e+00        2.0606965625832546e-01
        5.7666071987147183e-02        1.1150383133086093e+00        1.1421696772812312e-01
        8.0732500782006056e-02        1.0779084641688872e+00        9.1160117544373226e-02
        1.0379892957686493e-01        1.0273186908879837e+00        6.9198410186071910e-02
        1.2686535837172380e-01        9.8776395739753697e-01        5.0780527200048407e-02
        1.4993178716658268e-01        1.0053700670518781e+00        4.4685530324645742e-02
        1.7299821596144155e-01        1.0293314068523989e+00        4.2208089899720379e-02
        1.9606464475630042e-01        9.5191342825427538e-01        3.4162376726688967e-02
        2.1913107355115929e-01        9.6416675014169617e-01        3.4957974969715797e-02
        2.4219750234601817e-01        1.0065651973430423e+00        3.1389680480852458e-02
        2.6526393114087704e-01        1.0268827189323113e+00        3.0376742837514226e-02
        2.8833035993573591e-01        1.0333915591539273e+00        2.8942250990945332e-02
        3.1139678873059479e-01        1.0069360066698256e+00        2.2104065136004953e-02
        3.3446321752545366e-01        1.0212233722900199e+00        2.2272123749071240e-02
        3.5752964632031253e-01        1.0069769152541530e+00        2.2996530045331431e-02
        3.8059607511517141e-01        1.0063435088833395e+00        2.3773329737073110e-02
        4.0366250391003028e-01        1.0243771272973412e+00        2.3010563280214211e-02
        4.2672893270488915e-01        1.0255873845779797e+00        2.0023567934318188e-02
        4.4979536149974803e-01        1.0084602315801690e+00        1.8557753831741738e-02
        4.7286179029460690e-01        9.9799903059937844e-01        1.7104070710840174e-02
        4.9592821908946577e-01        9.7422772054080553e-01        1.6673178245444759e-02
        5.1899464788432459e-01        9.9885141026263913e-01        1.6073098385004134e-02
        5.4206107667918357e-01        9.7497526574957261e-01        1.3573795236053777e-02
        5.6512750547404234e-01        9.7677931064416090e-01        1.3543057927845834e-02
        5.8819393426890132e-01        9.7887721929811433e-01        1.3378000802528496e-02
        6.1126036306376008e-01        9.7347096597508975e-01        1.3088996834262087e-02
        6.3432679185861907e-01        9.8454317879903441e-01        1.2452847599867806e-02
        6.5739322065347783e-01        9.9077652622226042e-01        1.2429725307785610e-02
        6.8045964944833681e-01        9.9942353154923480e-01        1.2496160240765551e-02
        7.0352607824319557e-01        9.9809028131051392e-01        1.2278737383114708e-02
        7.2659250703805456e-01        1.0066444749233587e+00        1.3484265560966381e-02
        7.4965893583291332e-01        9.9867995700171630e-01        1.1231226271560804e-02
        7.7272536462777230e-01        1.0072214349495763e+00        1.0667028393831726e-02
        7.9579179342263107e-01        1.0171134945228526e+00        1.0619743642466265e-02
        8.1885822221749005e-01        1.0150339915994990e+00        1.0053669528988989e-02
        8.4192465101234881e-01        1.0039639973446783e+00        8.9411773038744775e-03
        8.6499107980720780e-01        1.0093420905309212e+00        8.8799614863674728e-03
        8.8805750860206656e-01        9.9650129221425188e-01        8.2239640985941886e-03
        9.1112393739692554e-01        1.0115157880980219e+00        9.0658363081922988e-03
        9.3419036619178430e-01        1.0068749794217373e+00        8.2536371912115946e-03
        9.5725679498664329e-01        1.0122606987613239e+00        8.7376015198937038e-03
        9.8032322378150205e-01        1.0143941959102660e+00        9.4834532940985851e-03
        1.0033896525763610e+00        1.0098553470094442e+00        8.7609187542995893e-03
        1.0264560813712198e+00        1.0040221929597966e+00        7.5926245661783239e-03
        1.0495225101660788e+00        1.0083037414637162e+00        8.8988503746409518e-03
        1.0725889389609375e+00        1.0122144571335447e+00        1.0940785905900492e-02
        1.0956553677557965e+00        1.0171723039945995e+00        1.4725727123311229e-02
        1.1187217965506553e+00        1.0042141882375772e+00        7.7397843163103759e-03
        1.1417882253455143e+00        1.0063797122182523e+00        7.3242902750773027e-03
        1.1648546541403730e+00        1.0050180558177422e+00        7.1360528756540470e-03
        1.1879210829352320e+00        9.9788244311225083e-01        7.2876417136172461e-03
        1.2109875117300908e+00        9.8897615352302337e-01        6.8767515366786837e-03
        1.2340539405249498e+00        9.9290566459926632e-01        6.7500040658605258e-03
        1.2571203693198085e+00        9.9490009248083700e-01        7.0435507249091466e-03
        1.2801867981146675e+00        9.8965727800629877e-01        6.7432833663650963e-03
        1.3032532269095263e+00        9.9000581425113010e-01        6.4717106355614146e-03
        1.3263196557043853e+00        9.9377099119829071e-01        6.2581528550609417e-03
        1.3493860844992440e+00        9.8936324486369631e-01        6.2475421785775677e-03
        1.3724525132941030e+00        9.9394692222616010e-01        6.0083723995601971e-03
        1.3955189420889618e+00        1.0006057004575308e+00        5.6852051034017113e-03
