# DISTANCE:     AVE_GOFR:        ERROR:
        1.1533214397429437e-02        1.0686166852607231e+00        5.4229749325288856e-01
        3.4599643192288310e-02        1.2491817165643788e+00        2.9976587991927761e-01
        5.7666071987147183e-02        1.0111641753004701e+00        1.8158212088237860e-01
        8.0732500782006056e-02        1.0015369979557758e+00        1.3529910576414736e-01
        1.0379892957686493e-01        9.6614401175784570e-01        9.9829284513388378e-02
        1.2686535837172380e-01        8.8678896143047037e-01        7.2199043981947056e-02
        1.4993178716658268e-01        8.8911152028254425e-01        5.7413176947854937e-02
        1.7299821596144155e-01        9.1781234550706259e-01        6.5838414255664279e-02
        1.9606464475630042e-01        9.0351352760536230e-01        5.4548112234380663e-02
        2.1913107355115929e-01        9.4383237764963734e-01        6.8119662878578693e-02
        2.4219750234601817e-01        9.5992556218787606e-01        5.1803842203157938e-02
        2.6526393114087704e-01        9.7654795267453909e-01        5.6859137286443651e-02
        2.8833035993573591e-01        9.8852617137583898e-01        4.8991287651533738e-02
        3.1139678873059479e-01        9.7801607266160562e-01        3.7271445248056964e-02
        3.3446321752545366e-01        9.9076898951425818e-01        3.6184038956256236e-02
        3.5752964632031253e-01        9.6118606954863350e-01        3.7490168467176947e-02
        3.8059607511517141e-01        9.5694644558277597e-01        4.0811006771350439e-02
        4.0366250391003028e-01        9.9023370703639113e-01        4.1061818351996571e-02
        4.2672893270488915e-01        9.9083482562223568e-01        4.0737390846987749e-02
        4.4979536149974803e-01        9.9775019751483496e-01        3.8908488292768627e-02
        4.7286179029460690e-01        9.7882492742593474e-01        3.3793910753214390e-02
        4.9592821908946577e-01        9.5980900453714002e-01        3.1319960438949877e-02
        5.1899464788432459e-01        9.8498338043905365e-01        3.0544683170618796e-02
        5.4206107667918357e-01        9.5581282533031264e-01        2.4903893312011073e-02
        5.6512750547404234e-01        9.5561292552545618e-01        2.8400192755786671e-02
        5.8819393426890132e-01        9.5149719647859388e-01        2.7678129828962499e-02
        6.1126036306376008e-01        9.4240658198496219e-01        2.6522011996279831e-02
        6.3432679185861907e-01        9.7544689431769338e-01        2.4745088374071123e-02
        6.5739322065347783e-01        9.8606612765841217e-01        2.3437866915247459e-02
        6.8045964944833681e-01        9.8503219489878435e-01        2.1649846833894645e-02
        7.0352607824319557e-01        9.9230427217413686e-01        2.1367799028097441e-02
        7.2659250703805456e-01        1.0000403503958348e+00        2.3554131085156037e-02
        7.4965893583291332e-01        9.8833908535412807e-01        1.9556532507392664e-02
        7.7272536462777230e-01        9.9171188502583596e-01        1.8413211663780845e-02
        7.9579179342263107e-01        9.9448026243886378e-01        1.6520016525250047e-02
        8.1885822221749005e-01        9.8789750424753442e-01        1.5442698967919161e-02
        8.4192465101234881e-01        9.8048738101546085e-01        1.2498054360053617e-02
        8.6499107980720780e-01        1.0122072808380260e+00        1.2215309928675280e-02
        8.8805750860206656e-01        9.9860136426261270e-01        1.2685689567353020e-02
        9.1112393739692554e-01        1.0228461447472048e+00        1.4609459556572876e-02
        9.3419036619178430e-01        1.0102348479700816e+00        1.1382678094873477e-02
        9.5725679498664329e-01        1.0287346138991125e+00        1.1280832105590170e-02
        9.8032322378150205e-01        1.0216708070352192e+00        1.4568992892330304e-02
        1.0033896525763610e+00        1.0138399624474621e+00        1.4840703418496521e-02
        1.0264560813712198e+00        1.0029210311344892e+00        1.3134307400992667e-02
        1.0495225101660788e+00        1.0199647417110540e+00        1.6429799063024383e-02
        1.0725889389609375e+00        1.0326891606877653e+00        2.3391691292330867e-02
        1.0956553677557965e+00        1.0496978427874739e+00        3.4997527168964676e-02
        1.1187217965506553e+00        1.0222264497136806e+00        1.5788815985867663e-02
        1.1417882253455143e+00        1.0073595389450511e+00        1.2552042354584915e-02
        1.1648546541403730e+00        1.0066571832107836e+00        1.0665144435064680e-02
        1.1879210829352320e+00        9.9490245066399163e-01        9.1919687102924672e-03
        1.2109875117300908e+00        9.8969504290512100e-01        9.1075742502248966e-03
        1.2340539405249498e+00        1.0101993852764419e+00        1.0216956651978226e-02
        1.2571203693198085e+00        1.0121158070443865e+00        1.1877653982878652e-02
        1.2801867981146675e+00        9.9315314604445659e-01        1.0353452802814980e-02
        1.3032532269095263e+00        9.8844472811226658e-01        1.0525658171955995e-02
        1.3263196557043853e+00        1.0069219917844943e+00        1.1412784054545834e-02
        1.3493860844992440e+00        9.9798596735691836e-01        1.1778700207232250e-02
        1.3724525132941030e+00        9.9507465965921815e-01        1.2462963757726389e-02
        1.3955189420889618e+00        1.0002031509523543e+00        1.1131131424988451e-02
        1.4185853708838208e+00        9.9799166715622756e-01        1.0984544456619658e-02
        1.4416517996786795e+00        9.9350729673805827e-01        9.6397104135047991e-03
        1.4647182284735385e+00        9.9509438008665629e-01        9.0167774010391846e-03
        1.4877846572683973e+00        9.9075267624865893e-01        8.3516159396341966e-03
        1.5108510860632562e+00        9.9195054901867208e-01        8.8407357920925536e-03
        1.5339175148581150e+00        9.9279859945502669e-01        8.5601602085839338e-03
        1.5569839436529740e+00        9.9491909877721507e-01        7.3582563042002168e-03
        1.5800503724478328e+00        9.9523566383688766e-01        9.3370067982913585e-03
        1.6031168012426917e+00        9.8649658669576712e-01        7.5043278211034351e-03
        1.6261832300375505e+00        9.9196838664631815e-01        7.5751950996301954e-03
        1.6492496588324095e+00        9.8611312782650573e-01        8.2863279955605242e-03
        1.6723160876272682e+00        9.8726212403893276e-01        7.9876013239220077e-03
        1.6953825164221272e+00        9.8383993597341401e-01        8.8517509679270287e-03
        1.7184489452169860e+00        9.8546288071203414e-01        8.7430428560416849e-03
        1.7415153740118450e+00        9.9066121186059330e-01        8.8945225023937102e-03
        1.7645818028067037e+00        9.8381852144538018e-01        7.4130293558514965e-03
        1.7876482316015627e+00        9.7833726695112044e-01        6.6336421496666657e-03
        1.8107146603964215e+00        9.8614512533638232e-01        7.5289383208903930e-03
        1.8337810891912805e+00        9.9163195813335014e-01        7.9692344440123585e-03
        1.8568475179861392e+00        1.0035391063122800e+00        1.1866639637867254e-02
        1.8799139467809982e+00        1.0129234728152818e+00        2.5097529718316563e-02
        1.9029803755758570e+00        1.0014513556529323e+00        1.3100087024406477e-02
        1.9260468043707160e+00        1.0018468542560051e+00        8.1349437449475762e-03
        1.9491132331655747e+00        9.9377688565151312e-01        6.1797738305930687e-03
        1.9721796619604337e+00        9.8447840000699083e-01        5.9239802237020297e-03
        1.9952460907552925e+00        9.8418322555229854e-01        6.5076315793318592e-03
