#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                             1        1.6973000000000231e+00        1.6973000000000231e+00        0.0000000000000000e+00
                             2        1.6973000000000193e+00        1.6973000000000211e+00        1.4901161193847656e-08
                             3        1.6973000000000420e+00        1.6973000000000280e+00        1.2166747166629524e-08
                             4        1.6973000000000187e+00        1.6973000000000258e+00        0.0000000000000000e+00
                             5        1.6973000000000378e+00        1.6973000000000282e+00        0.0000000000000000e+00
                             6        1.6973000000000318e+00        1.6973000000000289e+00        0.0000000000000000e+00
                             7        1.6972999999999712e+00        1.6973000000000209e+00        1.1264219075716352e-08
                             8        1.6972999999999510e+00        1.6973000000000120e+00        7.4505805969238281e-09
                             9        1.6972999999999581e+00        1.6973000000000060e+00        7.0244747518156719e-09
                            10        1.6973000000000036e+00        1.6973000000000056e+00        6.6640018746250559e-09
                            11        1.6972999999999716e+00        1.6973000000000023e+00        1.1005236892044491e-08
                            12        1.6973000000000180e+00        1.6973000000000038e+00        6.0833735833147618e-09
                            13        1.6973000000000356e+00        1.6973000000000060e+00        8.2656770382110647e-09
                            14        1.6973000000000389e+00        1.6973000000000085e+00        7.9650056932098984e-09
                            15        1.6973000000000400e+00        1.6973000000000105e+00        7.6949265523898929e-09
                            16        1.6973000000000389e+00        1.6973000000000122e+00        9.1250603749721418e-09
                            17        1.6973000000000353e+00        1.6973000000000136e+00        7.2281248878339818e-09
                            18        1.6973000000000389e+00        1.6973000000000149e+00        8.6031894265059491e-09
                            19        1.6973000000000367e+00        1.6973000000000160e+00        9.6691501814581480e-09
                            20        1.6973000000000362e+00        1.6973000000000169e+00        9.4243218307744843e-09
                            21        1.6973000000000371e+00        1.6973000000000178e+00        9.1971963621432729e-09
                            22        1.6973000000000236e+00        1.6973000000000182e+00        7.7818776349290237e-09
                            23        1.6972999999999723e+00        1.6973000000000160e+00        8.7882254216013632e-09
                            24        1.6972999999999712e+00        1.6973000000000142e+00        6.0833735833147618e-09
                            25        1.6973000000000085e+00        1.6973000000000138e+00        8.4293697021788063e-09
                            26        1.6972999999999723e+00        1.6973000000000122e+00        7.1582862945685002e-09
                            27        1.6972999999999687e+00        1.6973000000000107e+00        7.0244747518156719e-09
                            28        1.6972999999999612e+00        1.6973000000000089e+00        6.8978972716074543e-09
                            29        1.6972999999999541e+00        1.6973000000000071e+00        5.5341523342446047e-09
                            30        1.6972999999999550e+00        1.6973000000000054e+00        5.4411347459273147e-09
                            31        1.6972999999999681e+00        1.6973000000000042e+00        3.7848987281379254e-09
                            32        1.6972999999999712e+00        1.6973000000000031e+00        3.7252902984619141e-09
                            33        1.6972999999999678e+00        1.6973000000000020e+00        3.6684122973481637e-09
                            34        1.6972999999999672e+00        1.6973000000000011e+00        3.6140624439169909e-09
                            35        1.6972999999999667e+00        1.6973000000000003e+00        3.5620588342380334e-09
                            36        1.6972999999999556e+00        1.6972999999999991e+00        4.9670537312825518e-09
                            37        1.6972999999999550e+00        1.6972999999999978e+00        3.4644496066516425e-09
                            38        1.6972999999999541e+00        1.6972999999999967e+00        4.8345750907290740e-09
                            39        1.6972999999999541e+00        1.6972999999999956e+00        4.7721908630456665e-09
                            40        1.6972999999999541e+00        1.6972999999999945e+00        4.7121609153872422e-09
                            41        1.6972999999999498e+00        1.6972999999999936e+00        5.7003800248802149e-09
                            42        1.6972999999999510e+00        1.6972999999999927e+00        6.5033999155757535e-09
                            43        1.6972999999999501e+00        1.6972999999999918e+00        6.4273341419362075e-09
                            44        1.6972999999999052e+00        1.6972999999999898e+00        7.1038498673259642e-09
                            45        1.6972999999999050e+00        1.6972999999999878e+00        6.2828812205163226e-09
                            46        1.6972999999999050e+00        1.6972999999999858e+00        5.3816670068697271e-09
                            47        1.6972999999999050e+00        1.6972999999999840e+00        4.3471155016986894e-09
