#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                             1        1.5430000000000041e+00        1.5430000000000041e+00        0.0000000000000000e+00
                             2        1.5430000000000161e+00        1.5430000000000101e+00        1.4901161193847656e-08
                             3        1.5430000000000008e+00        1.5430000000000070e+00        1.2166747166629524e-08
                             4        1.5430000000000164e+00        1.5430000000000093e+00        1.4901161193847656e-08
                             5        1.5430000000000232e+00        1.5430000000000121e+00        9.4243218307744843e-09
                             6        1.5429999999999962e+00        1.5430000000000093e+00        1.4901161193847656e-08
                             7        1.5429999999999828e+00        1.5430000000000057e+00        7.9650056932098984e-09
                             8        1.5429999999999233e+00        1.5429999999999953e+00        1.0536712127723509e-08
                             9        1.5429999999999666e+00        1.5429999999999922e+00        7.0244747518156719e-09
                            10        1.5429999999999888e+00        1.5429999999999917e+00        1.1542389828584841e-08
                            11        1.5429999999999888e+00        1.5429999999999915e+00        8.9857382946540007e-09
                            12        1.5430000000000141e+00        1.5429999999999933e+00        1.0536712127723509e-08
                            13        1.5430000000000228e+00        1.5429999999999957e+00        5.8447162848169817e-09
                            14        1.5430000000000372e+00        1.5429999999999988e+00        0.0000000000000000e+00
                            15        1.5430000000000255e+00        1.5430000000000004e+00        5.4411347459273147e-09
                            16        1.5430000000000232e+00        1.5430000000000019e+00        0.0000000000000000e+00
                            17        1.5430000000000204e+00        1.5430000000000030e+00        5.1110561234506621e-09
                            18        1.5430000000000239e+00        1.5430000000000041e+00        0.0000000000000000e+00
                            19        1.5430000000000212e+00        1.5430000000000050e+00        0.0000000000000000e+00
                            20        1.5430000000000212e+00        1.5430000000000059e+00        0.0000000000000000e+00
                            21        1.5430000000000232e+00        1.5430000000000068e+00        0.0000000000000000e+00
                            22        1.5429999999999937e+00        1.5430000000000061e+00        0.0000000000000000e+00
                            23        1.5429999999999873e+00        1.5430000000000050e+00        6.2142137902103296e-09
                            24        1.5429999999999742e+00        1.5430000000000037e+00        6.0833735833147618e-09
                            25        1.5429999999999870e+00        1.5430000000000030e+00        7.3000482999777138e-09
                            26        1.5429999999999873e+00        1.5430000000000024e+00        8.2656770382110647e-09
                            27        1.5429999999999742e+00        1.5430000000000010e+00        9.9341074625651036e-09
                            28        1.5429999999999227e+00        1.5429999999999982e+00        9.7550998733636303e-09
                            29        1.5429999999999500e+00        1.5429999999999966e+00        8.7502631472752018e-09
                            30        1.5429999999999684e+00        1.5429999999999957e+00        7.6949265523898929e-09
                            31        1.5429999999999733e+00        1.5429999999999948e+00        7.5697974562758508e-09
                            32        1.5429999999999742e+00        1.5429999999999942e+00        8.3300023432813205e-09
                            33        1.5429999999999733e+00        1.5429999999999935e+00        7.3368245946963273e-09
                            34        1.5429999999999731e+00        1.5429999999999928e+00        8.0812892995274128e-09
                            35        1.5429999999999697e+00        1.5429999999999922e+00        7.1241176684760667e-09
                            36        1.5429999999999697e+00        1.5429999999999915e+00        7.8536015256454039e-09
                            37        1.5429999999999684e+00        1.5429999999999910e+00        6.0006027389826567e-09
                            38        1.5429999999999682e+00        1.5429999999999904e+00        6.8371216616201929e-09
                            39        1.5429999999999682e+00        1.5429999999999899e+00        5.8447162848169817e-09
                            40        1.5429999999999178e+00        1.5429999999999882e+00        4.7121609153872422e-09
                            41        1.5429999999999167e+00        1.5429999999999864e+00        5.7003800248802149e-09
                            42        1.5429999999999175e+00        1.5429999999999846e+00        5.6321095378581762e-09
                            43        1.5429999999999167e+00        1.5429999999999833e+00        3.2136670709681038e-09
                            44        1.5429999999999133e+00        1.5429999999999815e+00        5.5026184460222453e-09
                            45        1.5429999999999127e+00        1.5429999999999799e+00        4.4426679164167042e-09
                            46        1.5429999999999129e+00        1.5429999999999782e+00        6.2142137902103296e-09
