#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                             1        2.3144999999999731e+00        2.3144999999999731e+00        0.0000000000000000e+00
                             2        2.3144999999999989e+00        2.3144999999999860e+00        0.0000000000000000e+00
                             3        2.3145000000000135e+00        2.3144999999999953e+00        1.7206378853011898e-08
                             4        2.3144999999999754e+00        2.3144999999999905e+00        2.1073424255447017e-08
                             5        2.3145000000000091e+00        2.3144999999999945e+00        2.3084779657169682e-08
                             6        2.3145000000000047e+00        2.3144999999999958e+00        1.2166747166629524e-08
                             7        2.3144999999999554e+00        2.3144999999999905e+00        1.9510199746727261e-08
                             8        2.3144999999999398e+00        2.3144999999999838e+00        1.0536712127723509e-08
                             9        2.3144999999999394e+00        2.3144999999999789e+00        9.9341074625651036e-09
                            10        2.3144999999999651e+00        2.3144999999999776e+00        1.3328003749250112e-08
                            11        2.3144999999999638e+00        2.3144999999999762e+00        8.9857382946540007e-09
                            12        2.3144999999999585e+00        2.3144999999999749e+00        1.2166747166629524e-08
                            13        2.3145000000000060e+00        2.3144999999999771e+00        0.0000000000000000e+00
                            14        2.3145000000000149e+00        2.3144999999999802e+00        1.3795794543214909e-08
                            15        2.3145000000000158e+00        2.3144999999999825e+00        1.0882269491854629e-08
                            16        2.3145000000000091e+00        2.3144999999999842e+00        1.0536712127723509e-08
                            17        2.3145000000000038e+00        2.3144999999999851e+00        7.2281248878339818e-09
                            18        2.3145000000000064e+00        2.3144999999999865e+00        9.9341074625651036e-09
                            19        2.3145000000000064e+00        2.3144999999999878e+00        1.3674243323240386e-08
                            20        2.3145000000000069e+00        2.3144999999999891e+00        1.6323404237781944e-08
                            21        2.3145000000000078e+00        2.3144999999999900e+00        1.5930011386419797e-08
                            22        2.3144999999999696e+00        2.3144999999999887e+00        1.1005236892044491e-08
                            23        2.3144999999999567e+00        2.3144999999999878e+00        1.3895404461626914e-08
                            24        2.3144999999999536e+00        2.3144999999999860e+00        1.2166747166629524e-08
                            25        2.3144999999999540e+00        2.3144999999999847e+00        1.0323827311807140e-08
                            26        2.3144999999999563e+00        2.3144999999999838e+00        1.0123345561128220e-08
                            27        2.3144999999999536e+00        2.3144999999999829e+00        1.2824877587316489e-08
                            28        2.3144999999999523e+00        2.3144999999999816e+00        1.1264219075716352e-08
                            29        2.3144999999999398e+00        2.3144999999999802e+00        1.2374740817210073e-08
                            30        2.3144999999999487e+00        2.3144999999999794e+00        1.2166747166629524e-08
                            31        2.3144999999999532e+00        2.3144999999999785e+00        1.1968900693990272e-08
                            32        2.3144999999999536e+00        2.3144999999999776e+00        1.1780402288468106e-08
                            33        2.3144999999999527e+00        2.3144999999999767e+00        1.0375836846572033e-08
                            34        2.3144999999999523e+00        2.3144999999999762e+00        1.2519479549181549e-08
                            35        2.3144999999999514e+00        2.3144999999999754e+00        1.1264219075716352e-08
                            36        2.3144999999999514e+00        2.3144999999999749e+00        1.2166747166629524e-08
                            37        2.3144999999999487e+00        2.3144999999999740e+00        9.7989432397697742e-09
                            38        2.3144999999999465e+00        2.3144999999999736e+00        1.1842242095455919e-08
                            39        2.3144999999999483e+00        2.3144999999999731e+00        1.2626030232553532e-08
                            40        2.3144999999999483e+00        2.3144999999999727e+00        1.2467205919833117e-08
                            41        2.3144999999999372e+00        2.3144999999999718e+00        1.2314228274544141e-08
                            42        2.3144999999999398e+00        2.3144999999999709e+00        1.1264219075716352e-08
                            43        2.3144999999999389e+00        2.3144999999999700e+00        1.0162507585741185e-08
                            44        2.3144999999999123e+00        2.3144999999999687e+00        1.0046360827434689e-08
                            45        2.3144999999999358e+00        2.3144999999999682e+00        1.0882269491854629e-08
                            46        2.3144999999999025e+00        2.3144999999999665e+00        8.7882254216013632e-09
                            47        2.3144999999999358e+00        2.3144999999999660e+00        9.7204457678413719e-09
                            48        2.3144999999999358e+00        2.3144999999999656e+00        1.0536712127723509e-08
                            49        2.3144999999999358e+00        2.3144999999999647e+00        9.5200026780357949e-09
                            50        2.3144999999999358e+00        2.3144999999999643e+00        8.4293697021788063e-09
                            51        2.3144999999999358e+00        2.3144999999999638e+00        9.3314691049627875e-09
                            52        2.3144999999999358e+00        2.3144999999999634e+00        9.2413078687495337e-09
                            53        2.3144999999999358e+00        2.3144999999999629e+00        9.1537105565361860e-09
                            54        2.3144999999999074e+00        2.3144999999999620e+00        1.0730062422500485e-08
                            55        2.3144999999999025e+00        2.3144999999999607e+00        8.9857382946540007e-09
                            56        2.3144999999999021e+00        2.3144999999999598e+00        9.7550998733636303e-09
                            57        2.3144999999999025e+00        2.3144999999999585e+00        7.8948280636372796e-09
                            58        2.3144999999999016e+00        2.3144999999999576e+00        8.7502631472752018e-09
                            59        2.3144999999999025e+00        2.3144999999999567e+00        8.6757914683160485e-09
                            60        2.3144999999999358e+00        2.3144999999999558e+00        3.8474632761949464e-09
                            61        2.3144999999999358e+00        2.3144999999999554e+00        3.8157963732748024e-09
                            62        2.3144999999999358e+00        2.3144999999999549e+00        0.0000000000000000e+00
                            63        2.3144999999999358e+00        2.3144999999999545e+00        3.7547396919054513e-09
                            64        2.3144999999999434e+00        2.3144999999999545e+00        0.0000000000000000e+00
                            65        2.3144999999999492e+00        2.3144999999999545e+00        0.0000000000000000e+00
                            66        2.3144999999999492e+00        2.3144999999999545e+00        3.6684122973481637e-09
                            67        2.3144999999999492e+00        2.3144999999999545e+00        3.6409331666322119e-09
                            68        2.3144999999999492e+00        2.3144999999999545e+00        3.6140624439169909e-09
                            69        2.3144999999999492e+00        2.3144999999999545e+00        3.5877780045798182e-09
                            70        2.3144999999999389e+00        2.3144999999999545e+00        6.1696668804498390e-09
                            71        2.3144999999999372e+00        2.3144999999999540e+00        5.0019106763403957e-09
                            72        2.3144999999999372e+00        2.3144999999999536e+00        3.5122373759078359e-09
                            73        2.3144999999999372e+00        2.3144999999999532e+00        3.4880980013647841e-09
                            74        2.3144999999999376e+00        2.3144999999999527e+00        4.8994716198848871e-09
                            75        2.3144999999999389e+00        2.3144999999999527e+00        3.4412757706023801e-09
                            76        2.3144999999999389e+00        2.3144999999999527e+00        0.0000000000000000e+00
                            77        2.3144999999999389e+00        2.3144999999999527e+00        3.3962898391377314e-09
                            78        2.3144999999999056e+00        2.3144999999999518e+00        0.0000000000000000e+00
                            79        2.3144999999999025e+00        2.3144999999999514e+00        3.3530232337892769e-09
                            80        2.3144999999999025e+00        2.3144999999999505e+00        0.0000000000000000e+00
                            81        2.3144999999999016e+00        2.3144999999999500e+00        0.0000000000000000e+00
                            82        2.3144999999999016e+00        2.3144999999999492e+00        3.2911159418477579e-09
                            83        2.3144999999999021e+00        2.3144999999999487e+00        3.2712298628595575e-09
                            84        2.3144999999999021e+00        2.3144999999999478e+00        4.5985981810716365e-09
                            85        2.3144999999999025e+00        2.3144999999999474e+00        4.5714675715408951e-09
                            86        2.3144999999999132e+00        2.3144999999999469e+00        4.5448115567149122e-09
                            87        2.3144999999999358e+00        2.3144999999999469e+00        3.1951443399125183e-09
                            88        2.3144999999999150e+00        2.3144999999999465e+00        3.1769382410587436e-09
                            89        2.3144999999999025e+00        2.3144999999999460e+00        4.4675570070496882e-09
                            90        2.3144999999999025e+00        2.3144999999999456e+00        3.1414406102581613e-09
                            91        2.3144999999999025e+00        2.3144999999999447e+00        6.2482645316238302e-09
                            92        2.3144999999999025e+00        2.3144999999999443e+00        5.3816670068697271e-09
                            93        2.3144999999999025e+00        2.3144999999999438e+00        5.3526551135413322e-09
                            94        2.3144999999999025e+00        2.3144999999999434e+00        4.3471155016986894e-09
                            95        2.3144999999999025e+00        2.3144999999999429e+00        5.2960116662897980e-09
                            96        2.3144999999999025e+00        2.3144999999999425e+00        5.2683560638617543e-09
                            97        2.3144999999999358e+00        2.3144999999999420e+00        6.7662687478437987e-09
                            98        2.3144999999999358e+00        2.3144999999999420e+00        6.7316584505532033e-09
                            99        2.3144999999999358e+00        2.3144999999999416e+00        8.4718353094899836e-09
                           100        2.3144999999999358e+00        2.3144999999999416e+00        7.8849533530014480e-09
