# DISTANCE:     AVE_GOFR:        ERROR:
  1.282482e-02  0.000000e+00  0.000000e+00
  3.847446e-02  0.000000e+00  0.000000e+00
  6.412410e-02  0.000000e+00  0.000000e+00
  8.977374e-02  0.000000e+00  0.000000e+00
  1.154234e-01  0.000000e+00  0.000000e+00
  1.410730e-01  0.000000e+00  0.000000e+00
  1.667227e-01  0.000000e+00  0.000000e+00
  1.923723e-01  0.000000e+00  0.000000e+00
  2.180219e-01  0.000000e+00  0.000000e+00
  2.436716e-01  0.000000e+00  0.000000e+00
  2.693212e-01  0.000000e+00  0.000000e+00
  2.949709e-01  0.000000e+00  0.000000e+00
  3.206205e-01  0.000000e+00  0.000000e+00
  3.462701e-01  0.000000e+00  0.000000e+00
  3.719198e-01  0.000000e+00  0.000000e+00
  3.975694e-01  0.000000e+00  0.000000e+00
  4.232190e-01  0.000000e+00  0.000000e+00
  4.488687e-01  0.000000e+00  0.000000e+00
  4.745183e-01  0.000000e+00  0.000000e+00
  5.001680e-01  0.000000e+00  0.000000e+00
  5.258176e-01  0.000000e+00  0.000000e+00
  5.514672e-01  0.000000e+00  0.000000e+00
  5.771169e-01  0.000000e+00  0.000000e+00
  6.027665e-01  0.000000e+00  0.000000e+00
  6.284162e-01  0.000000e+00  0.000000e+00
  6.540658e-01  0.000000e+00  0.000000e+00
  6.797154e-01  0.000000e+00  0.000000e+00
  7.053651e-01  0.000000e+00  0.000000e+00
  7.310147e-01  0.000000e+00  0.000000e+00
  7.566644e-01  0.000000e+00  0.000000e+00
  7.823140e-01  0.000000e+00  0.000000e+00
  8.079636e-01  0.000000e+00  0.000000e+00
  8.336133e-01  0.000000e+00  0.000000e+00
  8.592629e-01  0.000000e+00  0.000000e+00
  8.849126e-01  1.309550e-03  4.105856e-04
  9.105622e-01  2.401226e-02  1.650935e-03
  9.362118e-01  1.607164e-01  4.032718e-03
  9.618615e-01  5.715542e-01  7.717005e-03
  9.875111e-01  1.225316e+00  1.465255e-02
  1.013161e+00  1.879909e+00  1.606238e-02
  1.038810e+00  2.347419e+00  1.760487e-02
  1.064460e+00  2.531188e+00  1.623809e-02
  1.090110e+00  2.538544e+00  1.519564e-02
  1.115759e+00  2.389919e+00  1.521105e-02
  1.141409e+00  2.167599e+00  1.433355e-02
  1.167059e+00  1.966474e+00  1.624701e-02
  1.192708e+00  1.784831e+00  1.564978e-02
  1.218358e+00  1.580462e+00  1.301953e-02
  1.244008e+00  1.414211e+00  1.215517e-02
  1.269657e+00  1.232717e+00  1.048956e-02
  1.295307e+00  1.104636e+00  1.209236e-02
  1.320956e+00  1.011188e+00  9.258996e-03
  1.346606e+00  9.438580e-01  8.135550e-03
  1.372256e+00  8.779130e-01  7.907809e-03
  1.397905e+00  8.139142e-01  7.485935e-03
  1.423555e+00  7.734579e-01  6.920113e-03
  1.449205e+00  7.449431e-01  7.330516e-03
  1.474854e+00  7.079192e-01  7.924178e-03
  1.500504e+00  6.938772e-01  7.871623e-03
  1.526154e+00  6.801062e-01  6.565637e-03
  1.551803e+00  6.598376e-01  6.642641e-03
  1.577453e+00  6.633431e-01  6.582909e-03
  1.603102e+00  6.725065e-01  7.700214e-03
  1.628752e+00  6.786523e-01  7.743777e-03
  1.654402e+00  7.071464e-01  7.389555e-03
  1.680051e+00  7.298593e-01  6.738971e-03
  1.705701e+00  7.619587e-01  6.619178e-03
  1.731351e+00  7.862378e-01  6.690654e-03
  1.757000e+00  8.142945e-01  6.394128e-03
  1.782650e+00  8.618498e-01  6.930264e-03
  1.808300e+00  9.057914e-01  6.234093e-03
  1.833949e+00  9.458615e-01  6.846914e-03
  1.859599e+00  9.655757e-01  6.427525e-03
  1.885248e+00  1.015318e+00  7.253259e-03
  1.910898e+00  1.063112e+00  6.902986e-03
  1.936548e+00  1.096170e+00  7.037808e-03
  1.962197e+00  1.127549e+00  6.560188e-03
  1.987847e+00  1.163663e+00  7.180652e-03
  2.013497e+00  1.195545e+00  5.913367e-03
  2.039146e+00  1.207789e+00  6.813473e-03
  2.064796e+00  1.223578e+00  7.176181e-03
  2.090446e+00  1.219509e+00  6.064539e-03
  2.116095e+00  1.201617e+00  6.682353e-03
  2.141745e+00  1.191718e+00  7.015325e-03
  2.167395e+00  1.163131e+00  7.283605e-03
  2.193044e+00  1.147935e+00  6.039816e-03
  2.218694e+00  1.123194e+00  6.406700e-03
  2.244343e+00  1.095249e+00  6.466038e-03
  2.269993e+00  1.070401e+00  5.895769e-03
  2.295643e+00  1.031839e+00  6.768208e-03
  2.321292e+00  9.976376e-01  6.001207e-03
  2.346942e+00  9.769974e-01  5.370838e-03
  2.372592e+00  9.574424e-01  5.169090e-03
  2.398241e+00  9.472324e-01  5.134865e-03
  2.423891e+00  9.254472e-01  5.287556e-03
  2.449541e+00  9.104430e-01  5.309966e-03
  2.475190e+00  9.087493e-01  5.390421e-03
  2.500840e+00  8.912531e-01  4.914801e-03
  2.526489e+00  8.916415e-01  4.574460e-03
  2.552139e+00  8.896054e-01  4.788289e-03
