# DISTANCE:     AVE_GOFR:        ERROR:
  1.282482e-02  0.000000e+00  0.000000e+00
  3.847446e-02  0.000000e+00  0.000000e+00
  6.412410e-02  0.000000e+00  0.000000e+00
  8.977374e-02  0.000000e+00  0.000000e+00
  1.154234e-01  0.000000e+00  0.000000e+00
  1.410730e-01  0.000000e+00  0.000000e+00
  1.667227e-01  0.000000e+00  0.000000e+00
  1.923723e-01  0.000000e+00  0.000000e+00
  2.180219e-01  0.000000e+00  0.000000e+00
  2.436716e-01  0.000000e+00  0.000000e+00
  2.693212e-01  0.000000e+00  0.000000e+00
  2.949709e-01  0.000000e+00  0.000000e+00
  3.206205e-01  0.000000e+00  0.000000e+00
  3.462701e-01  0.000000e+00  0.000000e+00
  3.719198e-01  0.000000e+00  0.000000e+00
  3.975694e-01  0.000000e+00  0.000000e+00
  4.232190e-01  0.000000e+00  0.000000e+00
  4.488687e-01  0.000000e+00  0.000000e+00
  4.745183e-01  0.000000e+00  0.000000e+00
  5.001680e-01  0.000000e+00  0.000000e+00
  5.258176e-01  0.000000e+00  0.000000e+00
  5.514672e-01  0.000000e+00  0.000000e+00
  5.771169e-01  0.000000e+00  0.000000e+00
  6.027665e-01  0.000000e+00  0.000000e+00
  6.284162e-01  0.000000e+00  0.000000e+00
  6.540658e-01  0.000000e+00  0.000000e+00
  6.797154e-01  0.000000e+00  0.000000e+00
  7.053651e-01  0.000000e+00  0.000000e+00
  7.310147e-01  0.000000e+00  0.000000e+00
  7.566644e-01  0.000000e+00  0.000000e+00
  7.823140e-01  0.000000e+00  0.000000e+00
  8.079636e-01  0.000000e+00  0.000000e+00
  8.336133e-01  0.000000e+00  0.000000e+00
  8.592629e-01  0.000000e+00  0.000000e+00
  8.849126e-01  1.218520e-03  4.373819e-04
  9.105622e-01  2.371770e-02  1.814541e-03
  9.362118e-01  1.571348e-01  3.944381e-03
  9.618615e-01  5.701957e-01  8.457242e-03
  9.875111e-01  1.232410e+00  1.540924e-02
  1.013161e+00  1.889521e+00  1.681088e-02
  1.038810e+00  2.356992e+00  1.820059e-02
  1.064460e+00  2.544864e+00  1.724536e-02
  1.090110e+00  2.534071e+00  1.634978e-02
  1.115759e+00  2.376700e+00  1.631528e-02
  1.141409e+00  2.165136e+00  1.549318e-02
  1.167059e+00  1.958278e+00  1.794357e-02
  1.192708e+00  1.780156e+00  1.691002e-02
  1.218358e+00  1.570776e+00  1.345746e-02
  1.244008e+00  1.411086e+00  1.272622e-02
  1.269657e+00  1.226044e+00  1.108165e-02
  1.295307e+00  1.097676e+00  1.298678e-02
  1.320956e+00  1.017542e+00  1.005243e-02
  1.346606e+00  9.480272e-01  8.837881e-03
  1.372256e+00  8.800937e-01  8.632080e-03
  1.397905e+00  8.153770e-01  8.128050e-03
  1.423555e+00  7.723534e-01  7.689020e-03
  1.449205e+00  7.397818e-01  7.431633e-03
  1.474854e+00  7.103037e-01  8.480122e-03
  1.500504e+00  6.943098e-01  8.697835e-03
  1.526154e+00  6.801986e-01  7.101232e-03
  1.551803e+00  6.591715e-01  6.928347e-03
  1.577453e+00  6.671775e-01  7.050327e-03
  1.603102e+00  6.755866e-01  8.470565e-03
  1.628752e+00  6.769186e-01  8.133627e-03
  1.654402e+00  7.048070e-01  8.080101e-03
  1.680051e+00  7.327229e-01  7.219848e-03
  1.705701e+00  7.659782e-01  7.224491e-03
  1.731351e+00  7.907840e-01  6.760234e-03
  1.757000e+00  8.136692e-01  6.990038e-03
  1.782650e+00  8.621034e-01  7.550780e-03
  1.808300e+00  9.045009e-01  6.739063e-03
  1.833949e+00  9.438672e-01  7.561336e-03
  1.859599e+00  9.655317e-01  7.028665e-03
  1.885248e+00  1.017086e+00  7.974963e-03
  1.910898e+00  1.067476e+00  7.635018e-03
  1.936548e+00  1.100063e+00  7.548837e-03
  1.962197e+00  1.132309e+00  6.858231e-03
  1.987847e+00  1.165254e+00  7.763249e-03
  2.013497e+00  1.193879e+00  6.475829e-03
  2.039146e+00  1.207576e+00  7.197587e-03
  2.064796e+00  1.225188e+00  7.973776e-03
  2.090446e+00  1.223427e+00  6.550328e-03
  2.116095e+00  1.203795e+00  7.169440e-03
  2.141745e+00  1.187095e+00  7.646435e-03
  2.167395e+00  1.155632e+00  7.608566e-03
  2.193044e+00  1.144260e+00  6.354015e-03
  2.218694e+00  1.119318e+00  6.711652e-03
  2.244343e+00  1.093830e+00  6.935102e-03
  2.269993e+00  1.068172e+00  6.450645e-03
  2.295643e+00  1.029386e+00  7.425950e-03
  2.321292e+00  9.936390e-01  6.397398e-03
  2.346942e+00  9.748942e-01  5.921849e-03
  2.372592e+00  9.581980e-01  5.445744e-03
  2.398241e+00  9.475630e-01  5.409397e-03
  2.423891e+00  9.259751e-01  5.610642e-03
  2.449541e+00  9.082904e-01  5.660669e-03
  2.475190e+00  9.086691e-01  6.016102e-03
  2.500840e+00  8.946843e-01  5.221312e-03
  2.526489e+00  8.919681e-01  4.842171e-03
  2.552139e+00  8.920536e-01  5.164324e-03
