#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
             1  1.719291e+00  1.719291e+00  0.000000e+00
             2  1.593808e+00  1.656549e+00  4.436499e-02
             3  1.599199e+00  1.637432e+00  3.344274e-02
             4  1.737645e+00  1.662486e+00  3.316410e-02
             5  1.647140e+00  1.659416e+00  2.667292e-02
             6  1.738007e+00  1.672515e+00  2.523955e-02
             7  1.676709e+00  1.673114e+00  2.164101e-02
             8  1.610738e+00  1.665317e+00  2.029190e-02
             9  1.616936e+00  1.659941e+00  1.873577e-02
            10  1.619152e+00  1.655862e+00  1.730050e-02
            11  1.641087e+00  1.654519e+00  1.577978e-02
            12  1.681524e+00  1.656770e+00  1.462439e-02
            13  1.668227e+00  1.657651e+00  1.352597e-02
            14  1.622597e+00  1.655147e+00  1.278948e-02
            15  1.564715e+00  1.649118e+00  1.328201e-02
            16  1.623558e+00  1.647521e+00  1.254759e-02
            17  1.619139e+00  1.645851e+00  1.192004e-02
            18  1.675964e+00  1.647524e+00  1.137460e-02
            19  1.644418e+00  1.647361e+00  1.077712e-02
            20  1.680927e+00  1.649039e+00  1.036812e-02
            21  1.693140e+00  1.651139e+00  1.008483e-02
            22  1.656228e+00  1.651370e+00  9.629083e-03
            23  1.713752e+00  1.654083e+00  9.584803e-03
            24  1.547160e+00  1.649628e+00  1.016824e-02
            25  1.627702e+00  1.648751e+00  9.799263e-03
            26  1.572075e+00  1.645802e+00  9.856135e-03
            27  1.674056e+00  1.646848e+00  9.546486e-03
            28  1.737816e+00  1.650097e+00  9.742691e-03
            29  1.598718e+00  1.648325e+00  9.566467e-03
            30  1.689930e+00  1.649712e+00  9.347568e-03
            31  1.707112e+00  1.651564e+00  9.227598e-03
            32  1.658879e+00  1.651792e+00  8.942067e-03
            33  1.610989e+00  1.650556e+00  8.756163e-03
            34  1.649716e+00  1.650531e+00  8.498664e-03
            35  1.714608e+00  1.652362e+00  8.450738e-03
            36  1.644621e+00  1.652147e+00  8.218730e-03
            37  1.623577e+00  1.651375e+00  8.032792e-03
            38  1.632150e+00  1.650869e+00  7.837318e-03
            39  1.640743e+00  1.650609e+00  7.640660e-03
            40  1.625836e+00  1.649990e+00  7.474702e-03
            41  1.647451e+00  1.649928e+00  7.292648e-03
            42  1.626207e+00  1.649363e+00  7.140851e-03
            43  1.488626e+00  1.645625e+00  7.892776e-03
            44  1.589209e+00  1.644343e+00  7.816847e-03
            45  1.641243e+00  1.644274e+00  7.643443e-03
            46  1.665280e+00  1.644731e+00  7.490909e-03
            47  1.628994e+00  1.644396e+00  7.339007e-03
            48  1.565270e+00  1.642747e+00  7.368918e-03
            49  1.679558e+00  1.643499e+00  7.256724e-03
            50  1.560128e+00  1.641831e+00  7.300639e-03
            51  1.623106e+00  1.641464e+00  7.166716e-03
            52  1.637866e+00  1.641395e+00  7.029229e-03
            53  1.632451e+00  1.641226e+00  6.898627e-03
            54  1.599470e+00  1.640453e+00  6.814075e-03
            55  1.699518e+00  1.641527e+00  6.774280e-03
            56  1.724308e+00  1.643005e+00  6.812688e-03
            57  1.573235e+00  1.641781e+00  6.802238e-03
            58  1.517588e+00  1.639640e+00  7.013884e-03
            59  1.671214e+00  1.640175e+00  6.915392e-03
            60  1.719804e+00  1.641502e+00  6.926312e-03
            61  1.641744e+00  1.641506e+00  6.812767e-03
            62  1.642602e+00  1.641524e+00  6.702907e-03
            63  1.584692e+00  1.640622e+00  6.656937e-03
            64  1.700558e+00  1.641558e+00  6.618470e-03
            65  1.640739e+00  1.641545e+00  6.516659e-03
            66  1.676467e+00  1.642075e+00  6.439367e-03
            67  1.664282e+00  1.642406e+00  6.351782e-03
            68  1.664565e+00  1.642732e+00  6.266727e-03
            69  1.658540e+00  1.642961e+00  6.180091e-03
            70  1.623343e+00  1.642681e+00  6.098156e-03
            71  1.621360e+00  1.642380e+00  6.019655e-03
            72  1.553760e+00  1.641150e+00  6.060577e-03
            73  1.710136e+00  1.642095e+00  6.050784e-03
            74  1.693158e+00  1.642785e+00  6.008235e-03
            75  1.694167e+00  1.643470e+00  5.967057e-03
            76  1.638631e+00  1.643406e+00  5.888883e-03
            77  1.716988e+00  1.644362e+00  5.889429e-03
            78  1.683612e+00  1.644865e+00  5.835382e-03
            79  1.789423e+00  1.646695e+00  6.041607e-03
            80  1.587460e+00  1.645954e+00  6.011289e-03
            81  1.596520e+00  1.645344e+00  5.967975e-03
            82  1.693372e+00  1.645930e+00  5.923867e-03
            83  1.645576e+00  1.645925e+00  5.852497e-03
            84  1.589374e+00  1.645252e+00  5.821418e-03
            85  1.555173e+00  1.644192e+00  5.848597e-03
            86  1.578920e+00  1.643433e+00  5.829629e-03
            87  1.631042e+00  1.643291e+00  5.764361e-03
            88  1.645427e+00  1.643315e+00  5.698908e-03
            89  1.655009e+00  1.643447e+00  5.636390e-03
            90  1.681675e+00  1.643871e+00  5.589745e-03
            91  1.770910e+00  1.645268e+00  5.699982e-03
            92  1.640306e+00  1.645214e+00  5.638281e-03
            93  1.642692e+00  1.645186e+00  5.577720e-03
            94  1.686424e+00  1.645625e+00  5.535607e-03
            95  1.645982e+00  1.645629e+00  5.477339e-03
            96  1.622559e+00  1.645389e+00  5.425553e-03
            97  1.662642e+00  1.645566e+00  5.372534e-03
            98  1.672317e+00  1.645839e+00  5.324642e-03
            99  1.701683e+00  1.646404e+00  5.300652e-03
           100  1.609775e+00  1.646037e+00  5.260286e-03
