#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             1  3.321913e-01  3.321913e-01  0.000000e+00
             2  9.463969e-01  6.392941e-01  2.171545e-01
             3  9.134262e-01  7.306715e-01  1.628644e-01
             4  2.868204e-01  6.197087e-01  1.554180e-01
             5  6.578729e-01  6.273416e-01  1.245217e-01
             6  1.719652e-01  5.514455e-01  1.247717e-01
             7  5.934655e-01  5.574484e-01  1.070915e-01
             8  9.093963e-01  6.014419e-01  1.023432e-01
             9  9.501586e-01  6.401882e-01  9.803229e-02
            10  8.457555e-01  6.607449e-01  9.035867e-02
            11  6.318144e-01  6.581148e-01  8.218251e-02
            12  4.948871e-01  6.445125e-01  7.645137e-02
            13  6.684464e-01  6.463536e-01  7.059266e-02
            14  1.023683e+00  6.733057e-01  7.050798e-02
            15  1.137581e+00  7.042574e-01  7.228250e-02
            16  1.218847e+00  7.364192e-01  7.457753e-02
            17  1.113702e+00  7.586123e-01  7.341855e-02
            18  5.920253e-01  7.493575e-01  6.992062e-02
            19  8.386176e-01  7.540554e-01  6.639823e-02
            20  6.855360e-01  7.506294e-01  6.316664e-02
            21  6.102447e-01  7.439444e-01  6.051141e-02
            22  7.224581e-01  7.429678e-01  5.776877e-02
            23  4.942501e-01  7.321540e-01  5.626011e-02
            24  1.272557e+00  7.546708e-01  5.824783e-02
            25  8.810092e-01  7.597243e-01  5.613671e-02
            26  1.129847e+00  7.739598e-01  5.575336e-02
            27  7.211537e-01  7.720040e-01  5.372271e-02
            28  4.153112e-01  7.592650e-01  5.329302e-02
            29  8.994317e-01  7.640983e-01  5.167404e-02
            30  4.915259e-01  7.550126e-01  5.074405e-02
            31  5.871156e-01  7.495966e-01  4.939533e-02
            32  6.964948e-01  7.479371e-01  4.787960e-02
            33  9.172155e-01  7.530668e-01  4.670268e-02
            34  6.989491e-01  7.514751e-01  4.535618e-02
            35  3.106490e-01  7.388800e-01  4.577567e-02
            36  6.181720e-01  7.355270e-01  4.462675e-02
            37  7.794271e-01  7.367135e-01  4.343640e-02
            38  5.695703e-01  7.323150e-01  4.251545e-02
            39  5.278289e-01  7.270718e-01  4.174737e-02
            40  9.344711e-01  7.322568e-01  4.102441e-02
            41  7.387441e-01  7.324150e-01  4.002412e-02
            42  7.788730e-01  7.335211e-01  3.908645e-02
            43  1.534956e+00  7.521592e-01  4.238887e-02
            44  1.120242e+00  7.605247e-01  4.224290e-02
            45  7.788551e-01  7.609320e-01  4.130613e-02
            46  7.472768e-01  7.606352e-01  4.040924e-02
            47  8.588514e-01  7.627249e-01  3.960346e-02
            48  1.167904e+00  7.711661e-01  3.966779e-02
            49  7.186843e-01  7.700951e-01  3.887270e-02
            50  1.174833e+00  7.781898e-01  3.892894e-02
            51  6.582810e-01  7.758387e-01  3.823656e-02
            52  7.214252e-01  7.747923e-01  3.751556e-02
            53  7.964043e-01  7.752000e-01  3.680993e-02
            54  9.969415e-01  7.793064e-01  3.635659e-02
            55  5.044241e-01  7.743085e-01  3.603744e-02
            56  4.457855e-01  7.684420e-01  3.586824e-02
            57  1.161544e+00  7.753385e-01  3.589586e-02
            58  1.303618e+00  7.844468e-01  3.641420e-02
            59  6.955135e-01  7.829395e-01  3.582820e-02
            60  5.536000e-01  7.791171e-01  3.543437e-02
            61  7.026937e-01  7.778643e-01  3.487562e-02
            62  7.708278e-01  7.777508e-01  3.431329e-02
            63  1.082457e+00  7.825874e-01  3.410780e-02
            64  4.286266e-01  7.770568e-01  3.402031e-02
            65  7.310226e-01  7.763486e-01  3.350430e-02
            66  7.547321e-01  7.760210e-01  3.299826e-02
            67  7.891909e-01  7.762176e-01  3.250633e-02
            68  5.351216e-01  7.726721e-01  3.222107e-02
            69  5.858877e-01  7.699651e-01  3.186761e-02
            70  7.665854e-01  7.699168e-01  3.141240e-02
            71  9.837768e-01  7.729289e-01  3.111405e-02
            72  1.221197e+00  7.791548e-01  3.129862e-02
            73  5.630256e-01  7.761942e-01  3.100959e-02
            74  5.465110e-01  7.730903e-01  3.074548e-02
            75  4.561099e-01  7.688639e-01  3.062465e-02
            76  6.666912e-01  7.675195e-01  3.025119e-02
            77  4.536157e-01  7.634429e-01  3.013175e-02
            78  5.553570e-01  7.607751e-01  2.986331e-02
            79 -2.593043e-02  7.508168e-01  3.110137e-02
            80  7.689486e-01  7.510435e-01  3.071343e-02
            81  7.940559e-01  7.515745e-01  3.033884e-02
            82  3.010495e-01  7.460803e-01  3.046228e-02
            83  5.511510e-01  7.437317e-01  3.018566e-02
            84  8.607005e-01  7.451242e-01  2.985841e-02
            85  1.048680e+00  7.486954e-01  2.971994e-02
            86  9.731132e-01  7.513050e-01  2.948870e-02
            87  7.649431e-01  7.514617e-01  2.915016e-02
            88  7.709064e-01  7.516827e-01  2.881975e-02
            89  8.376978e-01  7.526491e-01  2.851213e-02
            90  6.509202e-01  7.515188e-01  2.821772e-02
            91  7.395769e-02  7.440731e-01  2.887327e-02
            92  7.068858e-01  7.436689e-01  2.856226e-02
            93  8.544088e-01  7.448596e-01  2.827995e-02
            94  5.158870e-01  7.424238e-01  2.808381e-02
            95  7.586129e-01  7.425942e-01  2.778871e-02
            96  8.977320e-01  7.442102e-01  2.754619e-02
            97  8.215942e-01  7.450080e-01  2.727376e-02
            98  5.582169e-01  7.431019e-01  2.706198e-02
            99  4.572715e-01  7.402148e-01  2.694220e-02
           100  8.340135e-01  7.411527e-01  2.668910e-02
