#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             1  1.146194e+00  1.146194e+00  0.000000e+00
             2  1.062538e+00  1.104366e+00  2.957666e-02
             3  1.066132e+00  1.091622e+00  2.229516e-02
             4  1.158430e+00  1.108324e+00  2.210940e-02
             5  1.098093e+00  1.106278e+00  1.778195e-02
             6  1.158672e+00  1.115010e+00  1.682637e-02
             7  1.117806e+00  1.115409e+00  1.442734e-02
             8  1.073826e+00  1.110211e+00  1.352793e-02
             9  1.077957e+00  1.106628e+00  1.249052e-02
            10  1.079435e+00  1.103908e+00  1.153367e-02
            11  1.094058e+00  1.103013e+00  1.051986e-02
            12  1.121016e+00  1.104513e+00  9.749592e-03
            13  1.112152e+00  1.105101e+00  9.017312e-03
            14  1.081731e+00  1.103431e+00  8.526317e-03
            15  1.043143e+00  1.099412e+00  8.854672e-03
            16  1.082372e+00  1.098347e+00  8.365057e-03
            17  1.079426e+00  1.097234e+00  7.946695e-03
            18  1.117309e+00  1.098350e+00  7.583069e-03
            19  1.096279e+00  1.098241e+00  7.184744e-03
            20  1.120618e+00  1.099359e+00  6.912078e-03
            21  1.128760e+00  1.100759e+00  6.723221e-03
            22  1.104152e+00  1.100914e+00  6.419389e-03
            23  1.142501e+00  1.102722e+00  6.389868e-03
            24  1.031440e+00  1.099752e+00  6.778829e-03
            25  1.085135e+00  1.099167e+00  6.532842e-03
            26  1.048050e+00  1.097201e+00  6.570757e-03
            27  1.116037e+00  1.097899e+00  6.364324e-03
            28  1.158544e+00  1.100065e+00  6.495128e-03
            29  1.065812e+00  1.098883e+00  6.377645e-03
            30  1.126620e+00  1.099808e+00  6.231712e-03
            31  1.138075e+00  1.101042e+00  6.151732e-03
            32  1.105919e+00  1.101195e+00  5.961378e-03
            33  1.073993e+00  1.100371e+00  5.837442e-03
            34  1.099811e+00  1.100354e+00  5.665776e-03
            35  1.143072e+00  1.101575e+00  5.633825e-03
            36  1.096414e+00  1.101431e+00  5.479154e-03
            37  1.082385e+00  1.100916e+00  5.355195e-03
            38  1.088100e+00  1.100579e+00  5.224879e-03
            39  1.093829e+00  1.100406e+00  5.093773e-03
            40  1.083891e+00  1.099993e+00  4.983134e-03
            41  1.098300e+00  1.099952e+00  4.861766e-03
            42  1.084138e+00  1.099575e+00  4.760567e-03
            43  9.924170e-01  1.097083e+00  5.261851e-03
            44  1.059473e+00  1.096229e+00  5.211231e-03
            45  1.094162e+00  1.096183e+00  5.095628e-03
            46  1.110186e+00  1.096487e+00  4.993939e-03
            47  1.085996e+00  1.096264e+00  4.892671e-03
            48  1.043514e+00  1.095165e+00  4.912612e-03
            49  1.119705e+00  1.095666e+00  4.837816e-03
            50  1.040086e+00  1.094554e+00  4.867093e-03
            51  1.082071e+00  1.094309e+00  4.777811e-03
            52  1.091911e+00  1.094263e+00  4.686152e-03
            53  1.088300e+00  1.094151e+00  4.599085e-03
            54  1.066313e+00  1.093635e+00  4.542716e-03
            55  1.133012e+00  1.094351e+00  4.516186e-03
            56  1.149539e+00  1.095337e+00  4.541792e-03
            57  1.048824e+00  1.094521e+00  4.534825e-03
            58  1.011725e+00  1.093093e+00  4.675923e-03
            59  1.114143e+00  1.093450e+00  4.610261e-03
            60  1.146536e+00  1.094335e+00  4.617542e-03
            61  1.094496e+00  1.094337e+00  4.541845e-03
            62  1.095068e+00  1.094349e+00  4.468605e-03
            63  1.056462e+00  1.093748e+00  4.437958e-03
            64  1.133706e+00  1.094372e+00  4.412313e-03
            65  1.093826e+00  1.094364e+00  4.344439e-03
            66  1.117645e+00  1.094716e+00  4.292911e-03
            67  1.109522e+00  1.094937e+00  4.234521e-03
            68  1.109710e+00  1.095155e+00  4.177818e-03
            69  1.105693e+00  1.095307e+00  4.120061e-03
            70  1.082228e+00  1.095120e+00  4.065437e-03
            71  1.080907e+00  1.094920e+00  4.013103e-03
            72  1.035840e+00  1.094100e+00  4.040384e-03
            73  1.140090e+00  1.094730e+00  4.033856e-03
            74  1.128772e+00  1.095190e+00  4.005490e-03
            75  1.129445e+00  1.095646e+00  3.978038e-03
            76  1.092421e+00  1.095604e+00  3.925922e-03
            77  1.144659e+00  1.096241e+00  3.926286e-03
            78  1.122408e+00  1.096577e+00  3.890254e-03
            79  1.192948e+00  1.097796e+00  4.027738e-03
            80  1.058307e+00  1.097303e+00  4.007526e-03
            81  1.064347e+00  1.096896e+00  3.978650e-03
            82  1.128915e+00  1.097286e+00  3.949245e-03
            83  1.097051e+00  1.097284e+00  3.901664e-03
            84  1.059582e+00  1.096835e+00  3.880945e-03
            85  1.036782e+00  1.096128e+00  3.899064e-03
            86  1.052613e+00  1.095622e+00  3.886419e-03
            87  1.087361e+00  1.095527e+00  3.842907e-03
            88  1.096951e+00  1.095544e+00  3.799272e-03
            89  1.103339e+00  1.095631e+00  3.757593e-03
            90  1.121116e+00  1.095914e+00  3.726497e-03
            91  1.180607e+00  1.096845e+00  3.799988e-03
            92  1.093537e+00  1.096809e+00  3.758854e-03
            93  1.095128e+00  1.096791e+00  3.718480e-03
            94  1.124283e+00  1.097083e+00  3.690405e-03
            95  1.097321e+00  1.097086e+00  3.651559e-03
            96  1.081706e+00  1.096926e+00  3.617035e-03
            97  1.108428e+00  1.097044e+00  3.581689e-03
            98  1.114878e+00  1.097226e+00  3.549761e-03
            99  1.134455e+00  1.097602e+00  3.533768e-03
           100  1.073183e+00  1.097358e+00  3.506857e-03
