#   N_BLOCK:  ACCEPTANCE:
             1  5.189541e-01
             2  5.191481e-01
             3  5.191852e-01
             4  5.192407e-01
             5  5.195200e-01
             6  5.196239e-01
             7  5.199204e-01
             8  5.198929e-01
             9  5.199106e-01
            10  5.201235e-01
            11  5.202413e-01
            12  5.201759e-01
            13  5.201538e-01
            14  5.198028e-01
            15  5.199958e-01
            16  5.199259e-01
            17  5.197568e-01
            18  5.198168e-01
            19  5.197626e-01
            20  5.197361e-01
            21  5.198464e-01
            22  5.198677e-01
            23  5.200379e-01
            24  5.199562e-01
            25  5.198864e-01
            26  5.199227e-01
            27  5.197730e-01
            28  5.200455e-01
            29  5.199494e-01
            30  5.199037e-01
            31  5.198664e-01
            32  5.199993e-01
            33  5.200978e-01
            34  5.201324e-01
            35  5.200599e-01
            36  5.200741e-01
            37  5.200234e-01
            38  5.198282e-01
            39  5.196585e-01
            40  5.195383e-01
            41  5.195804e-01
            42  5.196452e-01
            43  5.196790e-01
            44  5.195723e-01
            45  5.195333e-01
            46  5.195213e-01
            47  5.195417e-01
            48  5.194956e-01
            49  5.193902e-01
            50  5.192910e-01
            51  5.192671e-01
            52  5.192623e-01
            53  5.192106e-01
            54  5.191762e-01
            55  5.191728e-01
            56  5.191628e-01
            57  5.191390e-01
            58  5.190755e-01
            59  5.190970e-01
            60  5.190852e-01
            61  5.190924e-01
            62  5.191432e-01
            63  5.191080e-01
            64  5.190229e-01
            65  5.190797e-01
            66  5.190228e-01
            67  5.190217e-01
            68  5.189714e-01
            69  5.189709e-01
            70  5.190687e-01
            71  5.190346e-01
            72  5.190676e-01
            73  5.191760e-01
            74  5.191131e-01
            75  5.190039e-01
            76  5.190266e-01
            77  5.190836e-01
            78  5.191701e-01
            79  5.191568e-01
            80  5.191633e-01
            81  5.191881e-01
            82  5.192436e-01
            83  5.192736e-01
            84  5.193262e-01
            85  5.192751e-01
            86  5.192855e-01
            87  5.193344e-01
            88  5.192445e-01
            89  5.192073e-01
            90  5.192343e-01
            91  5.191061e-01
            92  5.190807e-01
            93  5.191206e-01
            94  5.191790e-01
            95  5.192728e-01
            96  5.192755e-01
            97  5.192608e-01
            98  5.192693e-01
            99  5.192617e-01
           100  5.192370e-01
