# DISTANCE:     AVE_GOFR:        ERROR:
  1.282482e-02  0.000000e+00  0.000000e+00
  3.847446e-02  0.000000e+00  0.000000e+00
  6.412410e-02  0.000000e+00  0.000000e+00
  8.977374e-02  0.000000e+00  0.000000e+00
  1.154234e-01  0.000000e+00  0.000000e+00
  1.410730e-01  0.000000e+00  0.000000e+00
  1.667227e-01  0.000000e+00  0.000000e+00
  1.923723e-01  0.000000e+00  0.000000e+00
  2.180219e-01  0.000000e+00  0.000000e+00
  2.436716e-01  0.000000e+00  0.000000e+00
  2.693212e-01  0.000000e+00  0.000000e+00
  2.949709e-01  0.000000e+00  0.000000e+00
  3.206205e-01  0.000000e+00  0.000000e+00
  3.462701e-01  0.000000e+00  0.000000e+00
  3.719198e-01  0.000000e+00  0.000000e+00
  3.975694e-01  0.000000e+00  0.000000e+00
  4.232190e-01  0.000000e+00  0.000000e+00
  4.488687e-01  0.000000e+00  0.000000e+00
  4.745183e-01  0.000000e+00  0.000000e+00
  5.001680e-01  0.000000e+00  0.000000e+00
  5.258176e-01  0.000000e+00  0.000000e+00
  5.514672e-01  0.000000e+00  0.000000e+00
  5.771169e-01  0.000000e+00  0.000000e+00
  6.027665e-01  0.000000e+00  0.000000e+00
  6.284162e-01  0.000000e+00  0.000000e+00
  6.540658e-01  0.000000e+00  0.000000e+00
  6.797154e-01  0.000000e+00  0.000000e+00
  7.053651e-01  0.000000e+00  0.000000e+00
  7.310147e-01  0.000000e+00  0.000000e+00
  7.566644e-01  0.000000e+00  0.000000e+00
  7.823140e-01  0.000000e+00  0.000000e+00
  8.079636e-01  0.000000e+00  0.000000e+00
  8.336133e-01  0.000000e+00  0.000000e+00
  8.592629e-01  2.334275e-05  1.327325e-05
  8.849126e-01  1.309550e-03  1.195695e-04
  9.105622e-01  2.445918e-02  4.955044e-04
  9.362118e-01  1.665630e-01  1.623805e-03
  9.618615e-01  5.659066e-01  3.592891e-03
  9.875111e-01  1.208414e+00  4.527793e-03
  1.013161e+00  1.873061e+00  6.228071e-03
  1.038810e+00  2.345604e+00  4.438984e-03
  1.064460e+00  2.559619e+00  4.639410e-03
  1.090110e+00  2.545035e+00  4.566739e-03
  1.115759e+00  2.412585e+00  4.055497e-03
  1.141409e+00  2.195757e+00  4.080757e-03
  1.167059e+00  1.962014e+00  4.072225e-03
  1.192708e+00  1.745784e+00  3.954915e-03
  1.218358e+00  1.548369e+00  3.754121e-03
  1.244008e+00  1.384132e+00  3.378191e-03
  1.269657e+00  1.237098e+00  3.112403e-03
  1.295307e+00  1.119129e+00  3.209994e-03
  1.320956e+00  1.020167e+00  2.595950e-03
  1.346606e+00  9.430058e-01  2.454138e-03
  1.372256e+00  8.737455e-01  2.354569e-03
  1.397905e+00  8.195060e-01  2.183015e-03
  1.423555e+00  7.748626e-01  2.179896e-03
  1.449205e+00  7.382670e-01  2.103498e-03
  1.474854e+00  7.151839e-01  1.822688e-03
  1.500504e+00  6.928565e-01  1.886207e-03
  1.526154e+00  6.799693e-01  1.965924e-03
  1.551803e+00  6.725466e-01  2.129172e-03
  1.577453e+00  6.736001e-01  2.090912e-03
  1.603102e+00  6.785123e-01  1.975082e-03
  1.628752e+00  6.898944e-01  1.935877e-03
  1.654402e+00  7.014433e-01  2.017551e-03
  1.680051e+00  7.269608e-01  1.905748e-03
  1.705701e+00  7.527319e-01  1.774845e-03
  1.731351e+00  7.802215e-01  1.844092e-03
  1.757000e+00  8.164161e-01  2.037796e-03
  1.782650e+00  8.527551e-01  2.215588e-03
  1.808300e+00  8.919885e-01  2.085526e-03
  1.833949e+00  9.352461e-01  2.126905e-03
  1.859599e+00  9.771688e-01  1.754772e-03
  1.885248e+00  1.015078e+00  2.075207e-03
  1.910898e+00  1.058483e+00  2.068770e-03
  1.936548e+00  1.094736e+00  1.797356e-03
  1.962197e+00  1.130103e+00  2.265128e-03
  1.987847e+00  1.162610e+00  1.666557e-03
  2.013497e+00  1.185046e+00  1.940414e-03
  2.039146e+00  1.206139e+00  1.915502e-03
  2.064796e+00  1.213082e+00  1.950310e-03
  2.090446e+00  1.216863e+00  1.896896e-03
  2.116095e+00  1.206828e+00  1.987584e-03
  2.141745e+00  1.193473e+00  1.809599e-03
  2.167395e+00  1.174421e+00  2.196898e-03
  2.193044e+00  1.147862e+00  1.904373e-03
  2.218694e+00  1.123057e+00  2.088292e-03
  2.244343e+00  1.092069e+00  2.149616e-03
  2.269993e+00  1.065003e+00  1.965053e-03
  2.295643e+00  1.036959e+00  1.852901e-03
  2.321292e+00  1.010243e+00  1.690173e-03
  2.346942e+00  9.871457e-01  1.541742e-03
  2.372592e+00  9.672705e-01  1.685736e-03
  2.398241e+00  9.480555e-01  1.731163e-03
  2.423891e+00  9.321270e-01  1.626770e-03
  2.449541e+00  9.177799e-01  1.615269e-03
  2.475190e+00  9.094306e-01  1.473296e-03
  2.500840e+00  8.960065e-01  1.561197e-03
  2.526489e+00  8.877573e-01  1.474344e-03
  2.552139e+00  8.877147e-01  1.603410e-03
