# DISTANCE:     AVE_GOFR:        ERROR:
  1.282482e-02  0.000000e+00  0.000000e+00
  3.847446e-02  0.000000e+00  0.000000e+00
  6.412410e-02  0.000000e+00  0.000000e+00
  8.977374e-02  0.000000e+00  0.000000e+00
  1.154234e-01  0.000000e+00  0.000000e+00
  1.410730e-01  0.000000e+00  0.000000e+00
  1.667227e-01  0.000000e+00  0.000000e+00
  1.923723e-01  0.000000e+00  0.000000e+00
  2.180219e-01  0.000000e+00  0.000000e+00
  2.436716e-01  0.000000e+00  0.000000e+00
  2.693212e-01  0.000000e+00  0.000000e+00
  2.949709e-01  0.000000e+00  0.000000e+00
  3.206205e-01  0.000000e+00  0.000000e+00
  3.462701e-01  0.000000e+00  0.000000e+00
  3.719198e-01  0.000000e+00  0.000000e+00
  3.975694e-01  0.000000e+00  0.000000e+00
  4.232190e-01  0.000000e+00  0.000000e+00
  4.488687e-01  0.000000e+00  0.000000e+00
  4.745183e-01  0.000000e+00  0.000000e+00
  5.001680e-01  0.000000e+00  0.000000e+00
  5.258176e-01  0.000000e+00  0.000000e+00
  5.514672e-01  0.000000e+00  0.000000e+00
  5.771169e-01  0.000000e+00  0.000000e+00
  6.027665e-01  0.000000e+00  0.000000e+00
  6.284162e-01  0.000000e+00  0.000000e+00
  6.540658e-01  0.000000e+00  0.000000e+00
  6.797154e-01  0.000000e+00  0.000000e+00
  7.053651e-01  0.000000e+00  0.000000e+00
  7.310147e-01  0.000000e+00  0.000000e+00
  7.566644e-01  0.000000e+00  0.000000e+00
  7.823140e-01  0.000000e+00  0.000000e+00
  8.079636e-01  0.000000e+00  0.000000e+00
  8.336133e-01  0.000000e+00  0.000000e+00
  8.592629e-01  2.255338e-05  1.762208e-05
  8.849126e-01  1.302480e-03  1.489566e-04
  9.105622e-01  2.457767e-02  5.981027e-04
  9.362118e-01  1.674675e-01  2.002264e-03
  9.618615e-01  5.663614e-01  4.404878e-03
  9.875111e-01  1.204507e+00  5.219272e-03
  1.013161e+00  1.877260e+00  7.999421e-03
  1.038810e+00  2.346909e+00  4.783088e-03
  1.064460e+00  2.565071e+00  5.855417e-03
  1.090110e+00  2.543011e+00  5.776313e-03
  1.115759e+00  2.411495e+00  5.253451e-03
  1.141409e+00  2.192596e+00  4.560892e-03
  1.167059e+00  1.959458e+00  4.839217e-03
  1.192708e+00  1.744812e+00  4.606474e-03
  1.218358e+00  1.547461e+00  4.467121e-03
  1.244008e+00  1.383218e+00  3.958875e-03
  1.269657e+00  1.235491e+00  3.633052e-03
  1.295307e+00  1.118948e+00  3.771294e-03
  1.320956e+00  1.021121e+00  3.231934e-03
  1.346606e+00  9.431842e-01  2.826066e-03
  1.372256e+00  8.746599e-01  2.795910e-03
  1.397905e+00  8.189478e-01  2.583185e-03
  1.423555e+00  7.762817e-01  2.608130e-03
  1.449205e+00  7.375632e-01  2.683390e-03
  1.474854e+00  7.180907e-01  2.166422e-03
  1.500504e+00  6.922995e-01  2.050579e-03
  1.526154e+00  6.816870e-01  2.312292e-03
  1.551803e+00  6.745558e-01  2.607886e-03
  1.577453e+00  6.749677e-01  2.523706e-03
  1.603102e+00  6.795925e-01  2.332203e-03
  1.628752e+00  6.908110e-01  2.322744e-03
  1.654402e+00  7.009820e-01  2.399134e-03
  1.680051e+00  7.270366e-01  2.207666e-03
  1.705701e+00  7.519543e-01  2.165718e-03
  1.731351e+00  7.787135e-01  2.072393e-03
  1.757000e+00  8.162254e-01  2.354301e-03
  1.782650e+00  8.525030e-01  2.723699e-03
  1.808300e+00  8.917290e-01  2.393844e-03
  1.833949e+00  9.344867e-01  2.528965e-03
  1.859599e+00  9.782137e-01  2.014046e-03
  1.885248e+00  1.015677e+00  2.495317e-03
  1.910898e+00  1.058197e+00  2.505423e-03
  1.936548e+00  1.095581e+00  2.137471e-03
  1.962197e+00  1.128566e+00  2.924223e-03
  1.987847e+00  1.163556e+00  2.093520e-03
  2.013497e+00  1.182820e+00  2.384636e-03
  2.039146e+00  1.204306e+00  2.317631e-03
  2.064796e+00  1.212171e+00  2.235712e-03
  2.090446e+00  1.215906e+00  2.361785e-03
  2.116095e+00  1.205585e+00  2.497504e-03
  2.141745e+00  1.193977e+00  2.299595e-03
  2.167395e+00  1.174501e+00  2.721363e-03
  2.193044e+00  1.149042e+00  2.209231e-03
  2.218694e+00  1.123719e+00  2.591771e-03
  2.244343e+00  1.091497e+00  2.647491e-03
  2.269993e+00  1.064875e+00  2.491742e-03
  2.295643e+00  1.036159e+00  2.276495e-03
  2.321292e+00  1.009595e+00  2.143384e-03
  2.346942e+00  9.869814e-01  1.928887e-03
  2.372592e+00  9.671953e-01  2.070969e-03
  2.398241e+00  9.477214e-01  2.245311e-03
  2.423891e+00  9.335835e-01  2.071108e-03
  2.449541e+00  9.177335e-01  2.136288e-03
  2.475190e+00  9.105618e-01  1.893917e-03
  2.500840e+00  8.966819e-01  2.016338e-03
  2.526489e+00  8.878110e-01  1.819923e-03
  2.552139e+00  8.889413e-01  1.966042e-03
