#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
             1  1.650000e+00  1.650000e+00  0.000000e+00
             2  1.650000e+00  1.650000e+00  0.000000e+00
             3  1.650000e+00  1.650000e+00  1.216675e-08
             4  1.650000e+00  1.650000e+00  0.000000e+00
             5  1.650000e+00  1.650000e+00  0.000000e+00
             6  1.650000e+00  1.650000e+00  8.603189e-09
             7  1.650000e+00  1.650000e+00  0.000000e+00
             8  1.650000e+00  1.650000e+00  0.000000e+00
             9  1.650000e+00  1.650000e+00  0.000000e+00
            10  1.650000e+00  1.650000e+00  0.000000e+00
            11  1.650000e+00  1.650000e+00  0.000000e+00
            12  1.650000e+00  1.650000e+00  6.083374e-09
            13  1.650000e+00  1.650000e+00  0.000000e+00
            14  1.650000e+00  1.650000e+00  0.000000e+00
            15  1.650000e+00  1.650000e+00  5.441135e-09
            16  1.650000e+00  1.650000e+00  5.268356e-09
            17  1.650000e+00  1.650000e+00  5.111056e-09
            18  1.650000e+00  1.650000e+00  0.000000e+00
            19  1.650000e+00  1.650000e+00  6.837122e-09
            20  1.650000e+00  1.650000e+00  6.664002e-09
            21  1.650000e+00  1.650000e+00  0.000000e+00
            22  1.650000e+00  1.650000e+00  0.000000e+00
            23  1.650000e+00  1.650000e+00  7.610826e-09
            24  1.650000e+00  1.650000e+00  6.083374e-09
            25  1.650000e+00  1.650000e+00  7.300048e-09
            26  1.650000e+00  1.650000e+00  7.158286e-09
            27  1.650000e+00  1.650000e+00  9.068558e-09
            28  1.650000e+00  1.650000e+00  9.755100e-09
            29  1.650000e+00  1.650000e+00  9.585433e-09
            30  1.650000e+00  1.650000e+00  9.424322e-09
            31  1.650000e+00  1.650000e+00  1.001390e-08
            32  1.650000e+00  1.650000e+00  9.856192e-09
            33  1.650000e+00  1.650000e+00  9.705707e-09
            34  1.650000e+00  1.650000e+00  9.561910e-09
            35  1.650000e+00  1.650000e+00  1.068618e-08
            36  1.650000e+00  1.650000e+00  1.053671e-08
            37  1.650000e+00  1.650000e+00  1.039335e-08
            38  1.650000e+00  1.650000e+00  1.025568e-08
            39  1.650000e+00  1.650000e+00  1.067094e-08
            40  1.650000e+00  1.650000e+00  1.154239e-08
            41  1.650000e+00  1.650000e+00  1.140076e-08
            42  1.650000e+00  1.650000e+00  1.126422e-08
            43  1.650000e+00  1.650000e+00  1.113247e-08
            44  1.650000e+00  1.650000e+00  1.100524e-08
            45  1.650000e+00  1.650000e+00  1.088227e-08
            46  1.650000e+00  1.650000e+00  1.076333e-08
            47  1.650000e+00  1.650000e+00  1.108301e-08
            48  1.650000e+00  1.650000e+00  1.053671e-08
            49  1.650000e+00  1.650000e+00  1.042864e-08
            50  1.650000e+00  1.650000e+00  9.884312e-09
            51  1.650000e+00  1.650000e+00  9.786927e-09
            52  1.650000e+00  1.650000e+00  9.241308e-09
            53  1.650000e+00  1.650000e+00  9.153711e-09
            54  1.650000e+00  1.650000e+00  8.603189e-09
            55  1.650000e+00  1.650000e+00  8.524620e-09
            56  1.650000e+00  1.650000e+00  7.965006e-09
            57  1.650000e+00  1.650000e+00  8.826686e-09
            58  1.650000e+00  1.650000e+00  8.301229e-09
            59  1.650000e+00  1.650000e+00  8.230578e-09
            60  1.650000e+00  1.650000e+00  7.694927e-09
            61  1.650000e+00  1.650000e+00  7.631593e-09
            62  1.650000e+00  1.650000e+00  7.569797e-09
            63  1.650000e+00  1.650000e+00  7.024475e-09
            64  1.650000e+00  1.650000e+00  6.969380e-09
            65  1.650000e+00  1.650000e+00  6.915562e-09
            66  1.650000e+00  1.650000e+00  6.353876e-09
            67  1.650000e+00  1.650000e+00  6.306281e-09
            68  1.650000e+00  1.650000e+00  6.259740e-09
            69  1.650000e+00  1.650000e+00  5.672775e-09
            70  1.650000e+00  1.650000e+00  5.632110e-09
            71  1.650000e+00  1.650000e+00  5.592306e-09
            72  1.650000e+00  1.650000e+00  5.553335e-09
            73  1.650000e+00  1.650000e+00  4.932916e-09
            74  1.650000e+00  1.650000e+00  6.000603e-09
            75  1.650000e+00  1.650000e+00  5.960464e-09
            76  1.650000e+00  1.650000e+00  5.921121e-09
            77  1.650000e+00  1.650000e+00  5.370006e-09
            78  1.650000e+00  1.650000e+00  5.335472e-09
            79  1.650000e+00  1.650000e+00  4.106598e-09
            80  1.650000e+00  1.650000e+00  2.356080e-09
            81  1.650000e+00  1.650000e+00  2.341492e-09
            82  1.650000e+00  1.650000e+00  2.327170e-09
            83  1.650000e+00  1.650000e+00  4.006422e-09
            84  1.650000e+00  1.650000e+00  5.141389e-09
            85  1.650000e+00  1.650000e+00  5.111056e-09
            86  1.650000e+00  1.650000e+00  6.012221e-09
            87  1.650000e+00  1.650000e+00  6.777925e-09
            88  1.650000e+00  1.650000e+00  6.739304e-09
            89  1.650000e+00  1.650000e+00  7.063828e-09
            90  1.650000e+00  1.650000e+00  7.024475e-09
            91  1.650000e+00  1.650000e+00  7.965006e-09
            92  1.650000e+00  1.650000e+00  8.509163e-09
            93  1.650000e+00  1.650000e+00  8.463291e-09
            94  1.650000e+00  1.650000e+00  8.694231e-09
            95  1.650000e+00  1.650000e+00  8.648351e-09
            96  1.650000e+00  1.650000e+00  9.125060e-09
            97  1.650000e+00  1.650000e+00  9.077902e-09
            98  1.650000e+00  1.650000e+00  9.755100e-09
            99  1.650000e+00  1.650000e+00  9.705707e-09
           100  1.650000e+00  1.650000e+00  9.884312e-09
