#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             1  8.722878e-01  8.722878e-01  0.000000e+00
             2  6.632855e-01  7.677866e-01  7.389349e-02
             3  9.339454e-01  8.231729e-01  6.687204e-02
             4  5.816637e-01  7.627956e-01  7.245337e-02
             5  4.249614e-01  6.952288e-01  8.373707e-02
             6  4.009754e-01  6.461865e-01  8.290751e-02
             7  3.820763e-01  6.084565e-01  7.918474e-02
             8  7.148536e-01  6.217561e-01  7.039467e-02
             9  7.369018e-01  6.345501e-01  6.372506e-02
            10  7.447591e-01  6.455710e-01  5.829777e-02
            11  7.700296e-01  6.568854e-01  5.408478e-02
            12  5.849782e-01  6.508932e-01  4.990856e-02
            13  6.097544e-01  6.477286e-01  4.616966e-02
            14  1.094557e+00  6.796450e-01  5.276253e-02
            15  5.354226e-01  6.700301e-01  5.011341e-02
            16  7.830919e-01  6.770965e-01  4.747692e-02
            17  7.541462e-01  6.816288e-01  4.489997e-02
            18  7.459123e-01  6.852001e-01  4.254732e-02
            19  7.051651e-01  6.862509e-01  4.032096e-02
            20  6.038171e-01  6.821292e-01  3.851500e-02
            21  7.203679e-01  6.839501e-01  3.672397e-02
            22  6.359577e-01  6.817687e-01  3.511943e-02
            23  5.010361e-01  6.739107e-01  3.446039e-02
            24  6.909399e-01  6.746203e-01  3.303185e-02
            25  9.071062e-01  6.839197e-01  3.299365e-02
            26  6.045932e-01  6.808687e-01  3.186542e-02
            27  9.383984e-01  6.904068e-01  3.208098e-02
            28  3.647781e-01  6.787772e-01  3.297583e-02
            29  1.037723e+00  6.911546e-01  3.408259e-02
            30  8.024624e-01  6.948649e-01  3.314784e-02
            31  9.102434e-01  7.018126e-01  3.279858e-02
            32  5.848810e-01  6.981585e-01  3.197653e-02
            33  5.781876e-01  6.945230e-01  3.121353e-02
            34  6.454599e-01  6.930800e-01  3.032882e-02
            35  8.188047e-01  6.966721e-01  2.967424e-02
            36  6.776086e-01  6.961426e-01  2.885468e-02
            37  8.312757e-01  6.997948e-01  2.830502e-02
            38  1.213732e+00  7.133195e-01  3.062132e-02
            39  9.758225e-01  7.200503e-01  3.056696e-02
            40  9.692686e-01  7.262808e-01  3.043114e-02
            41  4.204565e-01  7.188217e-01  3.058943e-02
            42  5.452161e-01  7.146882e-01  3.013909e-02
            43  9.393540e-01  7.199130e-01  2.988762e-02
            44  9.344201e-01  7.247881e-01  2.960330e-02
            45  6.511713e-01  7.231522e-01  2.899061e-02
            46  5.592503e-01  7.195891e-01  2.857850e-02
            47  8.633673e-01  7.226482e-01  2.813370e-02
            48  9.493735e-01  7.273717e-01  2.794128e-02
            49  1.034134e+00  7.336321e-01  2.806364e-02
            50  7.500634e-01  7.339608e-01  2.750429e-02
            51  7.373355e-01  7.340269e-01  2.696507e-02
            52  6.009812e-01  7.314684e-01  2.656762e-02
            53  7.786458e-01  7.323585e-01  2.608125e-02
            54  7.795936e-01  7.332332e-01  2.561293e-02
            55  6.864759e-01  7.323831e-01  2.516135e-02
            56  7.677127e-01  7.330140e-01  2.471994e-02
            57  8.245948e-01  7.346207e-01  2.433842e-02
            58  8.931137e-01  7.373533e-01  2.407171e-02
            59  7.865645e-01  7.381874e-01  2.367816e-02
            60  7.015620e-01  7.375770e-01  2.329139e-02
            61  1.016310e+00  7.421464e-01  2.335348e-02
            62  5.947723e-01  7.397694e-01  2.309747e-02
            63  8.113705e-01  7.409059e-01  2.275879e-02
            64  9.983411e-01  7.449283e-01  2.275587e-02
            65  6.312916e-01  7.431800e-01  2.247283e-02
            66  8.116794e-01  7.442179e-01  2.215629e-02
            67  7.119569e-01  7.437364e-01  2.183083e-02
            68  9.810077e-01  7.472257e-01  2.178686e-02
            69  5.729760e-01  7.447003e-01  2.161697e-02
            70  6.510586e-01  7.433626e-01  2.134951e-02
            71  8.205527e-01  7.444498e-01  2.107647e-02
            72  5.552177e-01  7.418216e-01  2.094697e-02
            73  4.629455e-01  7.380013e-01  2.100550e-02
            74  7.097358e-01  7.376194e-01  2.072511e-02
            75  1.233539e+00  7.442316e-01  2.147770e-02
            76  9.131002e-01  7.464536e-01  2.130972e-02
            77  5.556050e-01  7.439750e-01  2.117662e-02
            78  4.565282e-01  7.402898e-01  2.122336e-02
            79  6.962437e-01  7.397323e-01  2.096203e-02
            80  7.148845e-01  7.394217e-01  2.070231e-02
            81  7.839647e-01  7.399716e-01  2.045403e-02
            82  8.049978e-01  7.407646e-01  2.021995e-02
            83  9.251184e-01  7.429857e-01  2.009796e-02
            84  7.094051e-01  7.425859e-01  1.986268e-02
            85  7.660163e-01  7.428616e-01  1.963091e-02
            86  8.152212e-01  7.437030e-01  1.942067e-02
            87  6.223664e-01  7.423083e-01  1.924745e-02
            88  1.029338e+00  7.455700e-01  1.930312e-02
            89  9.198067e-01  7.475277e-01  1.918525e-02
            90  6.617297e-01  7.465744e-01  1.899575e-02
            91  1.089851e+00  7.503467e-01  1.915790e-02
            92  7.698289e-01  7.505584e-01  1.895084e-02
            93  6.236580e-01  7.491939e-01  1.879612e-02
            94  5.179080e-01  7.467334e-01  1.875652e-02
            95  4.297612e-01  7.433969e-01  1.885351e-02
            96  7.328201e-01  7.432867e-01  1.865744e-02
            97  6.369229e-01  7.421902e-01  1.849729e-02
            98  7.421443e-01  7.421897e-01  1.830854e-02
            99  6.529220e-01  7.412880e-01  1.814580e-02
           100  8.042284e-01  7.419174e-01  1.797525e-02
