#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             1  1.100000e+00  1.100000e+00  0.000000e+00
             2  1.100000e+00  1.100000e+00  0.000000e+00
             3  1.100000e+00  1.100000e+00  0.000000e+00
             4  1.100000e+00  1.100000e+00  0.000000e+00
             5  1.100000e+00  1.100000e+00  0.000000e+00
             6  1.100000e+00  1.100000e+00  0.000000e+00
             7  1.100000e+00  1.100000e+00  0.000000e+00
             8  1.100000e+00  1.100000e+00  0.000000e+00
             9  1.100000e+00  1.100000e+00  0.000000e+00
            10  1.100000e+00  1.100000e+00  4.712161e-09
            11  1.100000e+00  1.100000e+00  4.492869e-09
            12  1.100000e+00  1.100000e+00  4.301595e-09
            13  1.100000e+00  1.100000e+00  4.132839e-09
            14  1.100000e+00  1.100000e+00  3.982503e-09
            15  1.100000e+00  1.100000e+00  0.000000e+00
            16  1.100000e+00  1.100000e+00  0.000000e+00
            17  1.100000e+00  1.100000e+00  0.000000e+00
            18  1.100000e+00  1.100000e+00  3.512237e-09
            19  1.100000e+00  1.100000e+00  3.418561e-09
            20  1.100000e+00  1.100000e+00  3.332001e-09
            21  1.100000e+00  1.100000e+00  3.251700e-09
            22  1.100000e+00  1.100000e+00  3.176938e-09
            23  1.100000e+00  1.100000e+00  4.394113e-09
            24  1.100000e+00  1.100000e+00  4.301595e-09
            25  1.100000e+00  1.100000e+00  4.214685e-09
            26  1.100000e+00  1.100000e+00  4.132839e-09
            27  1.100000e+00  1.100000e+00  2.867730e-09
            28  1.100000e+00  1.100000e+00  3.982503e-09
            29  1.100000e+00  1.100000e+00  3.913237e-09
            30  1.100000e+00  1.100000e+00  3.847463e-09
            31  1.100000e+00  1.100000e+00  0.000000e+00
            32  1.100000e+00  1.100000e+00  0.000000e+00
            33  1.100000e+00  1.100000e+00  0.000000e+00
            34  1.100000e+00  1.100000e+00  4.426304e-09
            35  1.100000e+00  1.100000e+00  4.362613e-09
            36  1.100000e+00  1.100000e+00  5.553335e-09
            37  1.100000e+00  1.100000e+00  5.477776e-09
            38  1.100000e+00  1.100000e+00  5.405219e-09
            39  1.100000e+00  1.100000e+00  5.844716e-09
            40  1.100000e+00  1.100000e+00  5.771195e-09
            41  1.100000e+00  1.100000e+00  5.700380e-09
            42  1.100000e+00  1.100000e+00  5.632110e-09
            43  1.100000e+00  1.100000e+00  6.427334e-09
            44  1.100000e+00  1.100000e+00  6.353876e-09
            45  1.100000e+00  1.100000e+00  6.282881e-09
            46  1.100000e+00  1.100000e+00  6.214214e-09
            47  1.100000e+00  1.100000e+00  6.147750e-09
            48  1.100000e+00  1.100000e+00  6.801418e-09
            49  1.100000e+00  1.100000e+00  6.731658e-09
            50  1.100000e+00  1.100000e+00  6.664002e-09
            51  1.100000e+00  1.100000e+00  6.598345e-09
            52  1.100000e+00  1.100000e+00  6.534591e-09
            53  1.100000e+00  1.100000e+00  7.379957e-09
            54  1.100000e+00  1.100000e+00  7.311305e-09
            55  1.100000e+00  1.100000e+00  7.244534e-09
            56  1.100000e+00  1.100000e+00  7.179559e-09
            57  1.100000e+00  1.100000e+00  7.116302e-09
            58  1.100000e+00  1.100000e+00  7.054688e-09
            59  1.100000e+00  1.100000e+00  6.994647e-09
            60  1.100000e+00  1.100000e+00  7.450581e-09
            61  1.100000e+00  1.100000e+00  7.389258e-09
            62  1.100000e+00  1.100000e+00  7.329425e-09
            63  1.100000e+00  1.100000e+00  7.271022e-09
            64  1.100000e+00  1.100000e+00  7.213994e-09
            65  1.100000e+00  1.100000e+00  7.158286e-09
            66  1.100000e+00  1.100000e+00  7.103850e-09
            67  1.100000e+00  1.100000e+00  7.050637e-09
            68  1.100000e+00  1.100000e+00  6.998602e-09
            69  1.100000e+00  1.100000e+00  7.396394e-09
            70  1.100000e+00  1.100000e+00  7.343372e-09
            71  1.100000e+00  1.100000e+00  7.291475e-09
            72  1.100000e+00  1.100000e+00  7.240663e-09
            73  1.100000e+00  1.100000e+00  7.190898e-09
            74  1.100000e+00  1.100000e+00  7.142146e-09
            75  1.100000e+00  1.100000e+00  7.094372e-09
            76  1.100000e+00  1.100000e+00  7.047544e-09
            77  1.100000e+00  1.100000e+00  7.001631e-09
            78  1.100000e+00  1.100000e+00  6.956604e-09
            79  1.100000e+00  1.100000e+00  6.912434e-09
            80  1.100000e+00  1.100000e+00  6.869096e-09
            81  1.100000e+00  1.100000e+00  6.826562e-09
            82  1.100000e+00  1.100000e+00  7.172821e-09
            83  1.100000e+00  1.100000e+00  7.129480e-09
            84  1.100000e+00  1.100000e+00  7.086916e-09
            85  1.100000e+00  1.100000e+00  7.045105e-09
            86  1.100000e+00  1.100000e+00  6.817217e-09
            87  1.100000e+00  1.100000e+00  6.777925e-09
            88  1.100000e+00  1.100000e+00  6.739304e-09
            89  1.100000e+00  1.100000e+00  6.701336e-09
            90  1.100000e+00  1.100000e+00  6.664002e-09
            91  1.100000e+00  1.100000e+00  6.627285e-09
            92  1.100000e+00  1.100000e+00  6.591169e-09
            93  1.100000e+00  1.100000e+00  6.555637e-09
            94  1.100000e+00  1.100000e+00  6.520673e-09
            95  1.100000e+00  1.100000e+00  6.486263e-09
            96  1.100000e+00  1.100000e+00  6.452392e-09
            97  1.100000e+00  1.100000e+00  6.419046e-09
            98  1.100000e+00  1.100000e+00  6.386212e-09
            99  1.100000e+00  1.100000e+00  6.353876e-09
           100  1.100000e+00  1.100000e+00  6.664002e-09
