# DISTANCE:     AVE_GOFR:        ERROR:
  1.153321e-02  0.000000e+00  0.000000e+00
  3.459964e-02  0.000000e+00  0.000000e+00
  5.766607e-02  0.000000e+00  0.000000e+00
  8.073250e-02  0.000000e+00  0.000000e+00
  1.037989e-01  0.000000e+00  0.000000e+00
  1.268654e-01  0.000000e+00  0.000000e+00
  1.499318e-01  0.000000e+00  0.000000e+00
  1.729982e-01  0.000000e+00  0.000000e+00
  1.960646e-01  0.000000e+00  0.000000e+00
  2.191311e-01  0.000000e+00  0.000000e+00
  2.421975e-01  0.000000e+00  0.000000e+00
  2.652639e-01  0.000000e+00  0.000000e+00
  2.883304e-01  0.000000e+00  0.000000e+00
  3.113968e-01  0.000000e+00  0.000000e+00
  3.344632e-01  0.000000e+00  0.000000e+00
  3.575296e-01  0.000000e+00  0.000000e+00
  3.805961e-01  0.000000e+00  0.000000e+00
  4.036625e-01  0.000000e+00  0.000000e+00
  4.267289e-01  0.000000e+00  0.000000e+00
  4.497954e-01  0.000000e+00  0.000000e+00
  4.728618e-01  0.000000e+00  0.000000e+00
  4.959282e-01  0.000000e+00  0.000000e+00
  5.189946e-01  0.000000e+00  0.000000e+00
  5.420611e-01  0.000000e+00  0.000000e+00
  5.651275e-01  0.000000e+00  0.000000e+00
  5.881939e-01  0.000000e+00  0.000000e+00
  6.112604e-01  0.000000e+00  0.000000e+00
  6.343268e-01  0.000000e+00  0.000000e+00
  6.573932e-01  0.000000e+00  0.000000e+00
  6.804596e-01  0.000000e+00  0.000000e+00
  7.035261e-01  0.000000e+00  0.000000e+00
  7.265925e-01  0.000000e+00  0.000000e+00
  7.496589e-01  0.000000e+00  0.000000e+00
  7.727254e-01  0.000000e+00  0.000000e+00
  7.957918e-01  0.000000e+00  0.000000e+00
  8.188582e-01  0.000000e+00  0.000000e+00
  8.419247e-01  0.000000e+00  0.000000e+00
  8.649911e-01  0.000000e+00  0.000000e+00
  8.880575e-01  3.313823e-05  2.334241e-05
  9.111239e-01  3.214628e-03  5.964144e-04
  9.341904e-01  4.714877e-02  2.274407e-03
  9.572568e-01  3.013228e-01  5.019125e-03
  9.803232e-01  1.045646e+00  1.086032e-02
  1.003390e+00  2.280582e+00  1.536891e-02
  1.026456e+00  3.643198e+00  1.766414e-02
  1.049523e+00  4.589780e+00  1.781075e-02
  1.072589e+00  4.833258e+00  2.082597e-02
  1.095655e+00  4.439805e+00  2.057237e-02
  1.118722e+00  3.624899e+00  1.925522e-02
  1.141788e+00  2.693285e+00  1.641776e-02
  1.164855e+00  1.842611e+00  1.200983e-02
  1.187921e+00  1.153736e+00  9.985038e-03
  1.210988e+00  6.693980e-01  7.642167e-03
  1.234054e+00  3.569971e-01  6.193564e-03
  1.257120e+00  1.808707e-01  4.213352e-03
  1.280187e+00  9.299370e-02  3.589398e-03
  1.303253e+00  5.221990e-02  2.446033e-03
  1.326320e+00  4.192290e-02  2.564745e-03
  1.349386e+00  6.248166e-02  2.666736e-03
  1.372453e+00  1.092913e-01  3.089874e-03
  1.395519e+00  1.890171e-01  4.213340e-03
  1.418585e+00  3.087085e-01  5.029727e-03
  1.441652e+00  4.673000e-01  5.207882e-03
  1.464718e+00  6.390922e-01  6.014837e-03
  1.487785e+00  7.909605e-01  6.639041e-03
  1.510851e+00  9.081120e-01  7.526879e-03
  1.533918e+00  9.450445e-01  8.472015e-03
  1.556984e+00  9.052662e-01  7.460281e-03
  1.580050e+00  8.108469e-01  7.107513e-03
  1.603117e+00  6.383767e-01  4.664007e-03
  1.626183e+00  4.660436e-01  4.606669e-03
  1.649250e+00  3.204768e-01  4.227979e-03
  1.672316e+00  2.309270e-01  4.622775e-03
  1.695383e+00  1.960552e-01  5.035540e-03
  1.718449e+00  2.630219e-01  5.066571e-03
  1.741515e+00  4.384605e-01  5.988627e-03
  1.764582e+00  7.558716e-01  6.723567e-03
  1.787648e+00  1.214954e+00  7.250405e-03
  1.810715e+00  1.739317e+00  8.158537e-03
  1.833781e+00  2.228518e+00  1.038481e-02
  1.856848e+00  2.581552e+00  1.122486e-02
  1.879914e+00  2.674172e+00  1.229136e-02
  1.902980e+00  2.543778e+00  1.171754e-02
  1.926047e+00  2.180370e+00  9.433535e-03
  1.949113e+00  1.690402e+00  6.985111e-03
  1.972180e+00  1.203412e+00  6.460320e-03
  1.995246e+00  8.148526e-01  6.737480e-03
  2.018313e+00  5.551002e-01  6.434789e-03
  2.041379e+00  4.505896e-01  6.162954e-03
  2.064445e+00  4.786027e-01  5.179834e-03
  2.087512e+00  5.972662e-01  4.306500e-03
  2.110578e+00  7.613852e-01  4.326193e-03
  2.133645e+00  8.985224e-01  4.192514e-03
  2.156711e+00  9.915011e-01  5.908472e-03
  2.179778e+00  9.902469e-01  6.516539e-03
  2.202844e+00  9.154585e-01  6.135925e-03
  2.225910e+00  7.909656e-01  4.913923e-03
  2.248977e+00  6.634088e-01  4.385780e-03
  2.272043e+00  5.901907e-01  6.099479e-03
  2.295110e+00  5.880294e-01  6.906179e-03
