# DISTANCE:     AVE_GOFR:        ERROR:
  1.153321e-02  0.000000e+00  0.000000e+00
  3.459964e-02  0.000000e+00  0.000000e+00
  5.766607e-02  0.000000e+00  0.000000e+00
  8.073250e-02  0.000000e+00  0.000000e+00
  1.037989e-01  0.000000e+00  0.000000e+00
  1.268654e-01  0.000000e+00  0.000000e+00
  1.499318e-01  0.000000e+00  0.000000e+00
  1.729982e-01  0.000000e+00  0.000000e+00
  1.960646e-01  0.000000e+00  0.000000e+00
  2.191311e-01  0.000000e+00  0.000000e+00
  2.421975e-01  0.000000e+00  0.000000e+00
  2.652639e-01  0.000000e+00  0.000000e+00
  2.883304e-01  0.000000e+00  0.000000e+00
  3.113968e-01  0.000000e+00  0.000000e+00
  3.344632e-01  0.000000e+00  0.000000e+00
  3.575296e-01  0.000000e+00  0.000000e+00
  3.805961e-01  0.000000e+00  0.000000e+00
  4.036625e-01  0.000000e+00  0.000000e+00
  4.267289e-01  0.000000e+00  0.000000e+00
  4.497954e-01  0.000000e+00  0.000000e+00
  4.728618e-01  0.000000e+00  0.000000e+00
  4.959282e-01  0.000000e+00  0.000000e+00
  5.189946e-01  0.000000e+00  0.000000e+00
  5.420611e-01  0.000000e+00  0.000000e+00
  5.651275e-01  0.000000e+00  0.000000e+00
  5.881939e-01  0.000000e+00  0.000000e+00
  6.112604e-01  0.000000e+00  0.000000e+00
  6.343268e-01  0.000000e+00  0.000000e+00
  6.573932e-01  0.000000e+00  0.000000e+00
  6.804596e-01  0.000000e+00  0.000000e+00
  7.035261e-01  0.000000e+00  0.000000e+00
  7.265925e-01  0.000000e+00  0.000000e+00
  7.496589e-01  0.000000e+00  0.000000e+00
  7.727254e-01  0.000000e+00  0.000000e+00
  7.957918e-01  0.000000e+00  0.000000e+00
  8.188582e-01  0.000000e+00  0.000000e+00
  8.419247e-01  0.000000e+00  0.000000e+00
  8.649911e-01  0.000000e+00  0.000000e+00
  8.880575e-01  0.000000e+00  0.000000e+00
  9.111239e-01  1.282586e-03  8.123652e-04
  9.341904e-01  4.331121e-02  4.424484e-03
  9.572568e-01  3.081804e-01  1.154890e-02
  9.803232e-01  1.084573e+00  2.747260e-02
  1.003390e+00  2.257754e+00  3.418599e-02
  1.026456e+00  3.634601e+00  5.622291e-02
  1.049523e+00  4.543527e+00  6.243195e-02
  1.072589e+00  4.845427e+00  6.145558e-02
  1.095655e+00  4.479074e+00  7.442070e-02
  1.118722e+00  3.523369e+00  4.535231e-02
  1.141788e+00  2.734414e+00  3.958775e-02
  1.164855e+00  1.867387e+00  3.463927e-02
  1.187921e+00  1.205943e+00  2.500957e-02
  1.210988e+00  6.793938e-01  1.337125e-02
  1.234054e+00  3.254009e-01  1.092595e-02
  1.257120e+00  1.812235e-01  9.551053e-03
  1.280187e+00  8.859412e-02  8.023381e-03
  1.303253e+00  4.958181e-02  7.317800e-03
  1.326320e+00  4.734952e-02  6.984318e-03
  1.349386e+00  6.193198e-02  5.784315e-03
  1.372453e+00  1.039464e-01  6.290392e-03
  1.395519e+00  1.825128e-01  9.506583e-03
  1.418585e+00  2.820386e-01  1.171367e-02
  1.441652e+00  4.602194e-01  1.479556e-02
  1.464718e+00  6.458492e-01  1.308662e-02
  1.487785e+00  8.292154e-01  2.361481e-02
  1.510851e+00  8.954307e-01  1.314351e-02
  1.533918e+00  9.512500e-01  2.225316e-02
  1.556984e+00  8.851512e-01  1.102533e-02
  1.580050e+00  8.149567e-01  1.970753e-02
  1.603117e+00  6.660151e-01  7.011388e-03
  1.626183e+00  4.804245e-01  1.291067e-02
  1.649250e+00  2.984331e-01  1.127287e-02
  1.672316e+00  2.231012e-01  1.251356e-02
  1.695383e+00  1.995852e-01  1.017238e-02
  1.718449e+00  2.634100e-01  9.413724e-03
  1.741515e+00  4.334379e-01  1.071168e-02
  1.764582e+00  7.682747e-01  1.042291e-02
  1.787648e+00  1.213379e+00  1.625973e-02
  1.810715e+00  1.770724e+00  2.245441e-02
  1.833781e+00  2.239471e+00  2.085044e-02
  1.856848e+00  2.544354e+00  2.293421e-02
  1.879914e+00  2.669942e+00  2.361845e-02
  1.902980e+00  2.500400e+00  2.864518e-02
  1.926047e+00  2.173397e+00  1.989096e-02
  1.949113e+00  1.694573e+00  1.608418e-02
  1.972180e+00  1.213308e+00  2.099071e-02
  1.995246e+00  8.354878e-01  1.793642e-02
  2.018313e+00  5.543711e-01  1.115623e-02
  2.041379e+00  4.613460e-01  1.248674e-02
  2.064445e+00  4.850889e-01  9.604024e-03
  2.087512e+00  5.976721e-01  1.040752e-02
  2.110578e+00  7.651223e-01  1.420015e-02
  2.133645e+00  8.831729e-01  1.588376e-02
  2.156711e+00  9.615368e-01  1.300688e-02
  2.179778e+00  9.890936e-01  1.583300e-02
  2.202844e+00  9.461215e-01  1.607328e-02
  2.225910e+00  7.969001e-01  1.267726e-02
  2.248977e+00  6.462068e-01  8.552839e-03
  2.272043e+00  5.713290e-01  1.405247e-02
  2.295110e+00  5.745626e-01  1.147387e-02
