#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
             1  1.174221e+00  1.174221e+00  0.000000e+00
             2  1.226184e+00  1.200202e+00  1.837163e-02
             3  1.193921e+00  1.198109e+00  1.236648e-02
             4  1.208125e+00  1.200613e+00  9.525022e-03
             5  1.214646e+00  1.203419e+00  8.022848e-03
             6  1.168869e+00  1.197661e+00  8.504757e-03
             7  1.205803e+00  1.198824e+00  7.368906e-03
             8  1.171039e+00  1.195351e+00  7.220043e-03
             9  1.205179e+00  1.196443e+00  6.499871e-03
            10  1.176275e+00  1.194426e+00  6.154828e-03
            11  1.235297e+00  1.198142e+00  6.622494e-03
            12  1.158835e+00  1.194866e+00  6.832838e-03
            13  1.223873e+00  1.197097e+00  6.661608e-03
            14  1.207597e+00  1.197847e+00  6.227855e-03
            15  1.155333e+00  1.195013e+00  6.425332e-03
            16  1.235320e+00  1.197532e+00  6.498870e-03
            17  1.172374e+00  1.196052e+00  6.282823e-03
            18  1.204880e+00  1.196543e+00  5.952888e-03
            19  1.170766e+00  1.195186e+00  5.792108e-03
            20  1.198903e+00  1.195372e+00  5.505483e-03
            21  1.207390e+00  1.195944e+00  5.272976e-03
            22  1.204509e+00  1.196334e+00  5.047646e-03
            23  1.174234e+00  1.195373e+00  4.918789e-03
            24  1.220434e+00  1.196417e+00  4.823401e-03
            25  1.197684e+00  1.196468e+00  4.630731e-03
            26  1.223691e+00  1.197515e+00  4.569466e-03
            27  1.211592e+00  1.198036e+00  4.429873e-03
            28  1.172413e+00  1.197121e+00  4.365161e-03
            29  1.198442e+00  1.197167e+00  4.214876e-03
            30  1.188447e+00  1.196876e+00  4.084389e-03
            31  1.225536e+00  1.197800e+00  4.055917e-03
            32  1.193787e+00  1.197675e+00  3.931108e-03
            33  1.210974e+00  1.198078e+00  3.832585e-03
            34  1.180491e+00  1.197561e+00  3.754605e-03
            35  1.204659e+00  1.197764e+00  3.652804e-03
            36  1.173410e+00  1.197087e+00  3.613438e-03
            37  1.175786e+00  1.196511e+00  3.561342e-03
            38  1.245543e+00  1.197802e+00  3.693975e-03
            39  1.161350e+00  1.196867e+00  3.715620e-03
            40  1.212516e+00  1.197258e+00  3.643267e-03
            41  1.112357e+00  1.195187e+00  4.100889e-03
            42  1.277527e+00  1.197148e+00  4.447236e-03
            43  1.173347e+00  1.196594e+00  4.378121e-03
            44  1.154404e+00  1.195635e+00  4.382366e-03
            45  1.248593e+00  1.196812e+00  4.440184e-03
            46  1.220552e+00  1.197328e+00  4.373546e-03
            47  1.137962e+00  1.196065e+00  4.459163e-03
            48  1.236586e+00  1.196909e+00  4.445453e-03
            49  1.225846e+00  1.197500e+00  4.393778e-03
            50  1.099734e+00  1.195545e+00  4.720971e-03
            51  1.210226e+00  1.195833e+00  4.637172e-03
            52  1.268890e+00  1.197238e+00  4.756069e-03
            53  1.154828e+00  1.196437e+00  4.733165e-03
            54  1.137609e+00  1.195348e+00  4.769241e-03
            55  1.208593e+00  1.195589e+00  4.688603e-03
            56  1.210463e+00  1.195854e+00  4.612396e-03
            57  1.187737e+00  1.195712e+00  4.533675e-03
            58  1.176611e+00  1.195383e+00  4.467454e-03
            59  1.254563e+00  1.196386e+00  4.502934e-03
            60  1.211737e+00  1.196642e+00  4.435148e-03
            61  1.174896e+00  1.196285e+00  4.376744e-03
            62  1.155517e+00  1.195627e+00  4.355266e-03
            63  1.294304e+00  1.197194e+00  4.559091e-03
            64  1.101618e+00  1.195700e+00  4.726112e-03
            65  1.212203e+00  1.195954e+00  4.660217e-03
            66  1.213494e+00  1.196220e+00  4.597179e-03
            67  1.208832e+00  1.196408e+00  4.532417e-03
            68  1.145902e+00  1.195666e+00  4.526212e-03
            69  1.246522e+00  1.196403e+00  4.520227e-03
            70  1.161555e+00  1.195905e+00  4.482982e-03
            71  1.240847e+00  1.196538e+00  4.464305e-03
            72  1.175465e+00  1.196245e+00  4.411884e-03
            73  1.204710e+00  1.196361e+00  4.352971e-03
            74  1.195936e+00  1.196355e+00  4.294151e-03
            75  1.194055e+00  1.196325e+00  4.237005e-03
            76  1.191781e+00  1.196265e+00  4.181677e-03
            77  1.205918e+00  1.196390e+00  4.129248e-03
            78  1.211998e+00  1.196590e+00  4.081155e-03
            79  1.144351e+00  1.195929e+00  4.082713e-03
            80  1.229550e+00  1.196349e+00  4.053251e-03
            81  1.155262e+00  1.195842e+00  4.034826e-03
            82  1.219108e+00  1.196126e+00  3.995584e-03
            83  1.186205e+00  1.196006e+00  3.949232e-03
            84  1.210779e+00  1.196182e+00  3.906131e-03
            85  1.185615e+00  1.196058e+00  3.862155e-03
            86  1.215298e+00  1.196282e+00  3.823720e-03
            87  1.162879e+00  1.195898e+00  3.798996e-03
            88  1.193666e+00  1.195872e+00  3.755910e-03
            89  1.235017e+00  1.196312e+00  3.739373e-03
            90  1.139091e+00  1.195676e+00  3.751486e-03
            91  1.211422e+00  1.195849e+00  3.714249e-03
            92  1.196379e+00  1.195855e+00  3.673881e-03
            93  1.191496e+00  1.195808e+00  3.634676e-03
            94  1.228454e+00  1.196156e+00  3.612564e-03
            95  1.183469e+00  1.196022e+00  3.577004e-03
            96  1.233399e+00  1.196411e+00  3.560870e-03
            97  1.103056e+00  1.195449e+00  3.651905e-03
            98  1.259315e+00  1.196101e+00  3.672329e-03
            99  1.174260e+00  1.195880e+00  3.641855e-03
           100  1.230653e+00  1.196228e+00  3.621999e-03
