#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             1  5.909423e+00  5.909423e+00  0.000000e+00
             2  5.688500e+00  5.798961e+00  7.810833e-02
             3  5.840717e+00  5.812880e+00  5.329791e-02
             4  5.738163e+00  5.794201e+00  4.312262e-02
             5  5.728870e+00  5.781135e+00  3.642387e-02
             6  5.895200e+00  5.800145e+00  3.496422e-02
             7  5.760043e+00  5.794417e+00  3.043506e-02
             8  5.912138e+00  5.809132e+00  2.997769e-02
             9  5.727742e+00  5.800088e+00  2.797764e-02
            10  5.884849e+00  5.808564e+00  2.643267e-02
            11  5.579728e+00  5.787761e+00  3.115865e-02
            12  5.946083e+00  5.800955e+00  3.123069e-02
            13  5.644692e+00  5.788934e+00  3.105550e-02
            14  5.719496e+00  5.783975e+00  2.923063e-02
            15  5.999240e+00  5.798326e+00  3.060269e-02
            16  5.585040e+00  5.784995e+00  3.145965e-02
            17  5.911267e+00  5.792423e+00  3.047334e-02
            18  5.770778e+00  5.791221e+00  2.880409e-02
            19  5.907404e+00  5.797335e+00  2.792962e-02
            20  5.789207e+00  5.796929e+00  2.653610e-02
            21  5.752864e+00  5.794831e+00  2.535530e-02
            22  5.761079e+00  5.793297e+00  2.424916e-02
            23  5.937394e+00  5.799562e+00  2.399054e-02
            24  5.688681e+00  5.794942e+00  2.343157e-02
            25  5.760330e+00  5.793557e+00  2.253517e-02
            26  5.663869e+00  5.788569e+00  2.221360e-02
            27  5.710274e+00  5.785669e+00  2.157932e-02
            28  5.933043e+00  5.790933e+00  2.144091e-02
            29  5.786573e+00  5.790782e+00  2.070209e-02
            30  5.869646e+00  5.793411e+00  2.017823e-02
            31  5.671257e+00  5.789471e+00  1.990836e-02
            32  5.815609e+00  5.790287e+00  1.930297e-02
            33  5.749938e+00  5.789065e+00  1.875672e-02
            34  5.902358e+00  5.792397e+00  1.849866e-02
            35  5.785829e+00  5.792209e+00  1.797108e-02
            36  5.873681e+00  5.794472e+00  1.761380e-02
            37  5.915975e+00  5.797756e+00  1.744118e-02
            38  5.562079e+00  5.791554e+00  1.805126e-02
            39  5.978908e+00  5.796358e+00  1.821643e-02
            40  5.730359e+00  5.794708e+00  1.783559e-02
            41  6.252214e+00  5.805867e+00  2.059756e-02
            42  5.401928e+00  5.796249e+00  2.223945e-02
            43  5.893123e+00  5.798502e+00  2.183606e-02
            44  5.988639e+00  5.802823e+00  2.176317e-02
            45  5.559583e+00  5.797418e+00  2.194055e-02
            46  5.679557e+00  5.794856e+00  2.161267e-02
            47  6.037677e+00  5.800022e+00  2.176157e-02
            48  5.593497e+00  5.795720e+00  2.172938e-02
            49  5.678172e+00  5.793321e+00  2.141794e-02
            50  6.217290e+00  5.801800e+00  2.260585e-02
            51  5.699087e+00  5.799786e+00  2.225213e-02
            52  5.415455e+00  5.792395e+00  2.301895e-02
            53  6.021984e+00  5.796727e+00  2.298862e-02
            54  6.046862e+00  5.801359e+00  2.302485e-02
            55  5.748172e+00  5.800392e+00  2.262652e-02
            56  5.769233e+00  5.799836e+00  2.222931e-02
            57  5.816501e+00  5.800128e+00  2.184125e-02
            58  5.911446e+00  5.802047e+00  2.154884e-02
            59  5.509253e+00  5.797085e+00  2.174753e-02
            60  5.720970e+00  5.795816e+00  2.142204e-02
            61  5.900182e+00  5.797527e+00  2.113907e-02
            62  6.017650e+00  5.801077e+00  2.109416e-02
            63  5.319685e+00  5.793436e+00  2.210000e-02
            64  6.281997e+00  5.801070e+00  2.303542e-02
            65  5.677493e+00  5.799169e+00  2.275934e-02
            66  5.738209e+00  5.798245e+00  2.243324e-02
            67  5.703607e+00  5.796833e+00  2.214284e-02
            68  6.043860e+00  5.800465e+00  2.211320e-02
            69  5.553227e+00  5.796882e+00  2.208111e-02
            70  5.994544e+00  5.799706e+00  2.194547e-02
            71  5.577276e+00  5.796573e+00  2.185885e-02
            72  5.872184e+00  5.797623e+00  2.158047e-02
            73  5.757026e+00  5.797067e+00  2.129201e-02
            74  5.758781e+00  5.796550e+00  2.101057e-02
            75  5.800289e+00  5.796600e+00  2.073048e-02
            76  5.827569e+00  5.797007e+00  2.046172e-02
            77  5.759101e+00  5.796515e+00  2.020190e-02
            78  5.710647e+00  5.795414e+00  1.997288e-02
            79  6.041950e+00  5.798535e+00  1.996237e-02
            80  5.627962e+00  5.796403e+00  1.982638e-02
            81  6.014960e+00  5.799101e+00  1.976436e-02
            82  5.687377e+00  5.797738e+00  1.957024e-02
            83  5.860368e+00  5.798493e+00  1.934899e-02
            84  5.732782e+00  5.797711e+00  1.913446e-02
            85  5.865426e+00  5.798507e+00  1.892592e-02
            86  5.723562e+00  5.797636e+00  1.872591e-02
            87  5.965552e+00  5.799566e+00  1.860986e-02
            88  5.820603e+00  5.799805e+00  1.839992e-02
            89  5.642410e+00  5.798037e+00  1.827797e-02
            90  6.076563e+00  5.801131e+00  1.833501e-02
            91  5.713153e+00  5.800164e+00  1.815899e-02
            92  5.822707e+00  5.800409e+00  1.796327e-02
            93  5.834536e+00  5.800776e+00  1.777386e-02
            94  5.636598e+00  5.799030e+00  1.767038e-02
            95  5.835630e+00  5.799415e+00  1.748858e-02
            96  5.605181e+00  5.797392e+00  1.742305e-02
            97  6.274925e+00  5.802315e+00  1.792546e-02
            98  5.486320e+00  5.799090e+00  1.803023e-02
            99  5.917168e+00  5.800283e+00  1.788751e-02
           100  5.623434e+00  5.798515e+00  1.779584e-02
