#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             1  7.828140e-01  7.828140e-01  0.000000e+00
             2  8.174558e-01  8.001349e-01  1.224775e-02
             3  7.959475e-01  7.987391e-01  8.244318e-03
             4  8.054168e-01  8.004085e-01  6.350014e-03
             5  8.097637e-01  8.022796e-01  5.348565e-03
             6  7.792462e-01  7.984407e-01  5.669838e-03
             7  8.038689e-01  7.992161e-01  4.912604e-03
             8  7.806926e-01  7.969007e-01  4.813362e-03
             9  8.034526e-01  7.976287e-01  4.333247e-03
            10  7.841833e-01  7.962841e-01  4.103219e-03
            11  8.235313e-01  7.987612e-01  4.414996e-03
            12  7.725566e-01  7.965774e-01  4.555225e-03
            13  8.159156e-01  7.980650e-01  4.441072e-03
            14  8.050649e-01  7.985650e-01  4.151903e-03
            15  7.702218e-01  7.966754e-01  4.283555e-03
            16  8.235470e-01  7.983549e-01  4.332580e-03
            17  7.815827e-01  7.973683e-01  4.188549e-03
            18  8.032534e-01  7.976953e-01  3.968592e-03
            19  7.805108e-01  7.967908e-01  3.861405e-03
            20  7.992689e-01  7.969147e-01  3.670322e-03
            21  8.049265e-01  7.972962e-01  3.515317e-03
            22  8.030060e-01  7.975558e-01  3.365097e-03
            23  7.828224e-01  7.969152e-01  3.279193e-03
            24  8.136224e-01  7.976113e-01  3.215601e-03
            25  7.984558e-01  7.976451e-01  3.087154e-03
            26  8.157939e-01  7.983431e-01  3.046311e-03
            27  8.077282e-01  7.986907e-01  2.953248e-03
            28  7.816086e-01  7.980806e-01  2.910108e-03
            29  7.989611e-01  7.981110e-01  2.809917e-03
            30  7.922981e-01  7.979172e-01  2.722926e-03
            31  8.170237e-01  7.985336e-01  2.703945e-03
            32  7.958582e-01  7.984500e-01  2.620739e-03
            33  8.073159e-01  7.987186e-01  2.555056e-03
            34  7.869940e-01  7.983738e-01  2.503070e-03
            35  8.031059e-01  7.985090e-01  2.435203e-03
            36  7.822731e-01  7.980580e-01  2.408958e-03
            37  7.838575e-01  7.976742e-01  2.374228e-03
            38  8.303617e-01  7.985344e-01  2.462650e-03
            39  7.742335e-01  7.979113e-01  2.477080e-03
            40  8.083438e-01  7.981721e-01  2.428844e-03
            41  7.415712e-01  7.967916e-01  2.733926e-03
            42  8.516846e-01  7.980986e-01  2.964824e-03
            43  7.822313e-01  7.977296e-01  2.918748e-03
            44  7.696024e-01  7.970903e-01  2.921578e-03
            45  8.323955e-01  7.978749e-01  2.960122e-03
            46  8.137011e-01  7.982189e-01  2.915697e-03
            47  7.586412e-01  7.973769e-01  2.972775e-03
            48  8.243906e-01  7.979396e-01  2.963635e-03
            49  8.172305e-01  7.983333e-01  2.929185e-03
            50  7.331563e-01  7.970298e-01  3.147314e-03
            51  8.068176e-01  7.972217e-01  3.091448e-03
            52  8.459267e-01  7.981583e-01  3.170713e-03
            53  7.698855e-01  7.976249e-01  3.155443e-03
            54  7.584057e-01  7.968986e-01  3.179494e-03
            55  8.057287e-01  7.970592e-01  3.125736e-03
            56  8.069755e-01  7.972362e-01  3.074931e-03
            57  7.918245e-01  7.971413e-01  3.022450e-03
            58  7.844071e-01  7.969217e-01  2.978302e-03
            59  8.363757e-01  7.975904e-01  3.001956e-03
            60  8.078249e-01  7.977610e-01  2.956766e-03
            61  7.832638e-01  7.975234e-01  2.917830e-03
            62  7.703446e-01  7.970850e-01  2.903511e-03
            63  8.628697e-01  7.981292e-01  3.039394e-03
            64  7.344123e-01  7.971336e-01  3.150742e-03
            65  8.081355e-01  7.973029e-01  3.106812e-03
            66  8.089959e-01  7.974800e-01  3.064786e-03
            67  8.058882e-01  7.976055e-01  3.021611e-03
            68  7.639348e-01  7.971104e-01  3.017474e-03
            69  8.310148e-01  7.976018e-01  3.013485e-03
            70  7.743700e-01  7.972699e-01  2.988654e-03
            71  8.272311e-01  7.976919e-01  2.976203e-03
            72  7.836433e-01  7.974967e-01  2.941256e-03
            73  8.031397e-01  7.975740e-01  2.901981e-03
            74  7.972906e-01  7.975702e-01  2.862767e-03
            75  7.960368e-01  7.975498e-01  2.824670e-03
            76  7.945206e-01  7.975099e-01  2.787785e-03
            77  8.039454e-01  7.975935e-01  2.752832e-03
            78  8.079989e-01  7.977269e-01  2.720770e-03
            79  7.629009e-01  7.972861e-01  2.721809e-03
            80  8.196998e-01  7.975662e-01  2.702168e-03
            81  7.701749e-01  7.972281e-01  2.689884e-03
            82  8.127384e-01  7.974172e-01  2.663723e-03
            83  7.908036e-01  7.973375e-01  2.632821e-03
            84  8.071863e-01  7.974548e-01  2.604088e-03
            85  7.904100e-01  7.973719e-01  2.574770e-03
            86  8.101984e-01  7.975210e-01  2.549147e-03
            87  7.752527e-01  7.972651e-01  2.532664e-03
            88  7.957772e-01  7.972482e-01  2.503940e-03
            89  8.233447e-01  7.975414e-01  2.492915e-03
            90  7.593938e-01  7.971175e-01  2.500991e-03
            91  8.076149e-01  7.972329e-01  2.476166e-03
            92  7.975862e-01  7.972367e-01  2.449254e-03
            93  7.943308e-01  7.972055e-01  2.423117e-03
            94  8.189695e-01  7.974370e-01  2.408376e-03
            95  7.889794e-01  7.973480e-01  2.384669e-03
            96  8.222660e-01  7.976075e-01  2.373913e-03
            97  7.353709e-01  7.969659e-01  2.434603e-03
            98  8.395432e-01  7.974004e-01  2.448219e-03
            99  7.828397e-01  7.972533e-01  2.427904e-03
           100  8.204350e-01  7.974851e-01  2.414666e-03
