#   N_BLOCK:  ACCEPTANCE:
             1  5.468091e-01
             2  5.467850e-01
             3  5.467560e-01
             4  5.467529e-01
             5  5.465787e-01
             6  5.465278e-01
             7  5.464381e-01
             8  5.464815e-01
             9  5.465305e-01
            10  5.464934e-01
            11  5.466924e-01
            12  5.469820e-01
            13  5.471711e-01
            14  5.471154e-01
            15  5.470810e-01
            16  5.470574e-01
            17  5.469841e-01
            18  5.469724e-01
            19  5.469539e-01
            20  5.469383e-01
            21  5.468438e-01
            22  5.467662e-01
            23  5.467226e-01
            24  5.465864e-01
            25  5.465981e-01
            26  5.465096e-01
            27  5.464939e-01
            28  5.465706e-01
            29  5.467695e-01
            30  5.467104e-01
            31  5.467237e-01
            32  5.468348e-01
            33  5.468175e-01
            34  5.468448e-01
            35  5.468495e-01
            36  5.468685e-01
            37  5.468795e-01
            38  5.469371e-01
            39  5.469698e-01
            40  5.470192e-01
            41  5.470791e-01
            42  5.470813e-01
            43  5.470697e-01
            44  5.470505e-01
            45  5.470397e-01
            46  5.471544e-01
            47  5.470145e-01
            48  5.470358e-01
            49  5.469651e-01
            50  5.470210e-01
            51  5.470651e-01
            52  5.470449e-01
            53  5.470080e-01
            54  5.470628e-01
            55  5.470550e-01
            56  5.471268e-01
            57  5.471065e-01
            58  5.471023e-01
            59  5.471952e-01
            60  5.472042e-01
            61  5.471829e-01
            62  5.471600e-01
            63  5.471417e-01
            64  5.471015e-01
            65  5.470895e-01
            66  5.470426e-01
            67  5.470068e-01
            68  5.470171e-01
            69  5.470425e-01
            70  5.469781e-01
            71  5.469758e-01
            72  5.469845e-01
            73  5.469775e-01
            74  5.470165e-01
            75  5.470426e-01
            76  5.470554e-01
            77  5.470851e-01
            78  5.470937e-01
            79  5.470758e-01
            80  5.470728e-01
            81  5.470790e-01
            82  5.470708e-01
            83  5.470165e-01
            84  5.469882e-01
            85  5.469857e-01
            86  5.470174e-01
            87  5.469883e-01
            88  5.469936e-01
            89  5.469887e-01
            90  5.469863e-01
            91  5.470079e-01
            92  5.469702e-01
            93  5.469433e-01
            94  5.469565e-01
            95  5.469965e-01
            96  5.470049e-01
            97  5.469592e-01
            98  5.469403e-01
            99  5.469515e-01
           100  5.469189e-01
