# DISTANCE:     AVE_GOFR:        ERROR:
  1.153321e-02  0.000000e+00  0.000000e+00
  3.459964e-02  0.000000e+00  0.000000e+00
  5.766607e-02  0.000000e+00  0.000000e+00
  8.073250e-02  0.000000e+00  0.000000e+00
  1.037989e-01  0.000000e+00  0.000000e+00
  1.268654e-01  0.000000e+00  0.000000e+00
  1.499318e-01  0.000000e+00  0.000000e+00
  1.729982e-01  0.000000e+00  0.000000e+00
  1.960646e-01  0.000000e+00  0.000000e+00
  2.191311e-01  0.000000e+00  0.000000e+00
  2.421975e-01  0.000000e+00  0.000000e+00
  2.652639e-01  0.000000e+00  0.000000e+00
  2.883304e-01  0.000000e+00  0.000000e+00
  3.113968e-01  0.000000e+00  0.000000e+00
  3.344632e-01  0.000000e+00  0.000000e+00
  3.575296e-01  0.000000e+00  0.000000e+00
  3.805961e-01  0.000000e+00  0.000000e+00
  4.036625e-01  0.000000e+00  0.000000e+00
  4.267289e-01  0.000000e+00  0.000000e+00
  4.497954e-01  0.000000e+00  0.000000e+00
  4.728618e-01  0.000000e+00  0.000000e+00
  4.959282e-01  0.000000e+00  0.000000e+00
  5.189946e-01  0.000000e+00  0.000000e+00
  5.420611e-01  0.000000e+00  0.000000e+00
  5.651275e-01  0.000000e+00  0.000000e+00
  5.881939e-01  0.000000e+00  0.000000e+00
  6.112604e-01  0.000000e+00  0.000000e+00
  6.343268e-01  0.000000e+00  0.000000e+00
  6.573932e-01  0.000000e+00  0.000000e+00
  6.804596e-01  0.000000e+00  0.000000e+00
  7.035261e-01  0.000000e+00  0.000000e+00
  7.265925e-01  0.000000e+00  0.000000e+00
  7.496589e-01  0.000000e+00  0.000000e+00
  7.727254e-01  0.000000e+00  0.000000e+00
  7.957918e-01  0.000000e+00  0.000000e+00
  8.188582e-01  0.000000e+00  0.000000e+00
  8.419247e-01  0.000000e+00  0.000000e+00
  8.649911e-01  0.000000e+00  0.000000e+00
  8.880575e-01  7.732253e-05  2.402927e-05
  9.111239e-01  3.214628e-03  1.716281e-04
  9.341904e-01  4.828673e-02  8.591471e-04
  9.572568e-01  2.966866e-01  2.528365e-03
  9.803232e-01  1.005293e+00  4.116691e-03
  1.003390e+00  2.236842e+00  5.495545e-03
  1.026456e+00  3.620468e+00  3.541753e-03
  1.049523e+00  4.617585e+00  5.469174e-03
  1.072589e+00  4.888738e+00  7.426015e-03
  1.095655e+00  4.496350e+00  7.333624e-03
  1.118722e+00  3.665367e+00  6.676869e-03
  1.141788e+00  2.704836e+00  4.411600e-03
  1.164855e+00  1.821112e+00  2.959795e-03
  1.187921e+00  1.130707e+00  2.806172e-03
  1.210988e+00  6.513666e-01  2.843637e-03
  1.234054e+00  3.494365e-01  2.274658e-03
  1.257120e+00  1.771130e-01  1.753500e-03
  1.280187e+00  8.789246e-02  1.358256e-03
  1.303253e+00  4.760367e-02  1.087440e-03
  1.326320e+00  4.132532e-02  1.004121e-03
  1.349386e+00  5.914212e-02  1.199383e-03
  1.372453e+00  1.054341e-01  1.244820e-03
  1.395519e+00  1.832286e-01  1.524305e-03
  1.418585e+00  2.986838e-01  1.494494e-03
  1.441652e+00  4.522939e-01  1.467515e-03
  1.464718e+00  6.277819e-01  1.325730e-03
  1.487785e+00  7.998500e-01  2.224090e-03
  1.510851e+00  9.266550e-01  3.053876e-03
  1.533918e+00  9.724719e-01  3.212607e-03
  1.556984e+00  9.309166e-01  2.816393e-03
  1.580050e+00  8.095522e-01  1.964616e-03
  1.603117e+00  6.396219e-01  1.383752e-03
  1.626183e+00  4.658514e-01  1.338962e-03
  1.649250e+00  3.148890e-01  1.429815e-03
  1.672316e+00  2.182714e-01  1.842673e-03
  1.695383e+00  1.890295e-01  2.009157e-03
  1.718449e+00  2.526287e-01  2.370209e-03
  1.741515e+00  4.305172e-01  2.769379e-03
  1.764582e+00  7.471889e-01  3.001199e-03
  1.787648e+00  1.194924e+00  2.401346e-03
  1.810715e+00  1.729016e+00  2.045374e-03
  1.833781e+00  2.239878e+00  3.019505e-03
  1.856848e+00  2.602569e+00  4.351810e-03
  1.879914e+00  2.718833e+00  5.443283e-03
  1.902980e+00  2.560380e+00  4.693979e-03
  1.926047e+00  2.183382e+00  3.613932e-03
  1.949113e+00  1.688147e+00  2.212471e-03
  1.972180e+00  1.198968e+00  1.672933e-03
  1.995246e+00  8.027882e-01  2.787597e-03
  2.018313e+00  5.395838e-01  2.868190e-03
  2.041379e+00  4.311718e-01  2.847748e-03
  2.064445e+00  4.603455e-01  2.544448e-03
  2.087512e+00  5.840063e-01  1.826540e-03
  2.110578e+00  7.558302e-01  1.097812e-03
  2.133645e+00  9.161224e-01  1.456869e-03
  2.156711e+00  1.015658e+00  2.025207e-03
  2.179778e+00  1.025466e+00  2.301970e-03
  2.202844e+00  9.231431e-01  1.725359e-03
  2.225910e+00  7.826447e-01  1.339920e-03
  2.248977e+00  6.521832e-01  1.606696e-03
  2.272043e+00  5.698035e-01  2.610486e-03
  2.295110e+00  5.710881e-01  2.919012e-03
