# DISTANCE:     AVE_GOFR:        ERROR:
  1.153321e-02  0.000000e+00  0.000000e+00
  3.459964e-02  0.000000e+00  0.000000e+00
  5.766607e-02  0.000000e+00  0.000000e+00
  8.073250e-02  0.000000e+00  0.000000e+00
  1.037989e-01  0.000000e+00  0.000000e+00
  1.268654e-01  0.000000e+00  0.000000e+00
  1.499318e-01  0.000000e+00  0.000000e+00
  1.729982e-01  0.000000e+00  0.000000e+00
  1.960646e-01  0.000000e+00  0.000000e+00
  2.191311e-01  0.000000e+00  0.000000e+00
  2.421975e-01  0.000000e+00  0.000000e+00
  2.652639e-01  0.000000e+00  0.000000e+00
  2.883304e-01  0.000000e+00  0.000000e+00
  3.113968e-01  0.000000e+00  0.000000e+00
  3.344632e-01  0.000000e+00  0.000000e+00
  3.575296e-01  0.000000e+00  0.000000e+00
  3.805961e-01  0.000000e+00  0.000000e+00
  4.036625e-01  0.000000e+00  0.000000e+00
  4.267289e-01  0.000000e+00  0.000000e+00
  4.497954e-01  0.000000e+00  0.000000e+00
  4.728618e-01  0.000000e+00  0.000000e+00
  4.959282e-01  0.000000e+00  0.000000e+00
  5.189946e-01  0.000000e+00  0.000000e+00
  5.420611e-01  0.000000e+00  0.000000e+00
  5.651275e-01  0.000000e+00  0.000000e+00
  5.881939e-01  0.000000e+00  0.000000e+00
  6.112604e-01  0.000000e+00  0.000000e+00
  6.343268e-01  0.000000e+00  0.000000e+00
  6.573932e-01  0.000000e+00  0.000000e+00
  6.804596e-01  0.000000e+00  0.000000e+00
  7.035261e-01  0.000000e+00  0.000000e+00
  7.265925e-01  0.000000e+00  0.000000e+00
  7.496589e-01  0.000000e+00  0.000000e+00
  7.727254e-01  0.000000e+00  0.000000e+00
  7.957918e-01  0.000000e+00  0.000000e+00
  8.188582e-01  0.000000e+00  0.000000e+00
  8.419247e-01  0.000000e+00  0.000000e+00
  8.649911e-01  0.000000e+00  0.000000e+00
  8.880575e-01  8.100455e-05  2.998534e-05
  9.111239e-01  3.309073e-03  2.647771e-04
  9.341904e-01  4.762125e-02  1.380456e-03
  9.572568e-01  2.966011e-01  3.489277e-03
  9.803232e-01  1.005027e+00  5.365690e-03
  1.003390e+00  2.237145e+00  8.571119e-03
  1.026456e+00  3.615474e+00  5.172952e-03
  1.049523e+00  4.624597e+00  7.173921e-03
  1.072589e+00  4.890447e+00  1.051288e-02
  1.095655e+00  4.495005e+00  1.076596e-02
  1.118722e+00  3.664770e+00  8.864251e-03
  1.141788e+00  2.703595e+00  6.322959e-03
  1.164855e+00  1.822007e+00  4.293216e-03
  1.187921e+00  1.130991e+00  3.639134e-03
  1.210988e+00  6.552438e-01  3.826576e-03
  1.234054e+00  3.477604e-01  3.399408e-03
  1.257120e+00  1.765911e-01  2.675976e-03
  1.280187e+00  8.696753e-02  1.925662e-03
  1.303253e+00  4.607689e-02  1.587872e-03
  1.326320e+00  3.997829e-02  1.434126e-03
  1.349386e+00  5.851057e-02  1.681856e-03
  1.372453e+00  1.046355e-01  1.778426e-03
  1.395519e+00  1.841322e-01  2.288228e-03
  1.418585e+00  2.994501e-01  2.388864e-03
  1.441652e+00  4.535780e-01  2.254672e-03
  1.464718e+00  6.297310e-01  1.719500e-03
  1.487785e+00  8.026956e-01  3.021100e-03
  1.510851e+00  9.284755e-01  4.623050e-03
  1.533918e+00  9.661935e-01  4.779346e-03
  1.556984e+00  9.308112e-01  4.576865e-03
  1.580050e+00  8.079762e-01  3.360728e-03
  1.603117e+00  6.393361e-01  2.058271e-03
  1.626183e+00  4.662523e-01  2.135440e-03
  1.649250e+00  3.160858e-01  2.260942e-03
  1.672316e+00  2.183223e-01  2.814564e-03
  1.695383e+00  1.891892e-01  3.032287e-03
  1.718449e+00  2.508439e-01  3.524466e-03
  1.741515e+00  4.295933e-01  3.903723e-03
  1.764582e+00  7.446596e-01  4.221028e-03
  1.787648e+00  1.194501e+00  3.564557e-03
  1.810715e+00  1.729633e+00  2.767114e-03
  1.833781e+00  2.244889e+00  4.027606e-03
  1.856848e+00  2.600357e+00  6.378169e-03
  1.879914e+00  2.721643e+00  7.600933e-03
  1.902980e+00  2.560709e+00  7.192651e-03
  1.926047e+00  2.182527e+00  5.268235e-03
  1.949113e+00  1.689696e+00  3.135508e-03
  1.972180e+00  1.200111e+00  2.380053e-03
  1.995246e+00  8.025876e-01  4.394773e-03
  2.018313e+00  5.395218e-01  4.344123e-03
  2.041379e+00  4.303377e-01  4.303560e-03
  2.064445e+00  4.587463e-01  3.980340e-03
  2.087512e+00  5.840543e-01  2.546747e-03
  2.110578e+00  7.556445e-01  1.590136e-03
  2.133645e+00  9.160745e-01  2.243399e-03
  2.156711e+00  1.013405e+00  3.003009e-03
  2.179778e+00  1.025834e+00  3.344886e-03
  2.202844e+00  9.225710e-01  2.507453e-03
  2.225910e+00  7.838790e-01  1.628324e-03
  2.248977e+00  6.539320e-01  2.449216e-03
  2.272043e+00  5.711182e-01  4.151651e-03
  2.295110e+00  5.704707e-01  4.589564e-03
