#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
             1  1.200000e+00  1.200000e+00  0.000000e+00
             2  1.200000e+00  1.200000e+00  0.000000e+00
             3  1.200000e+00  1.200000e+00  0.000000e+00
             4  1.200000e+00  1.200000e+00  0.000000e+00
             5  1.200000e+00  1.200000e+00  0.000000e+00
             6  1.200000e+00  1.200000e+00  0.000000e+00
             7  1.200000e+00  1.200000e+00  5.632110e-09
             8  1.200000e+00  1.200000e+00  0.000000e+00
             9  1.200000e+00  1.200000e+00  0.000000e+00
            10  1.200000e+00  1.200000e+00  4.712161e-09
            11  1.200000e+00  1.200000e+00  4.492869e-09
            12  1.200000e+00  1.200000e+00  4.301595e-09
            13  1.200000e+00  1.200000e+00  5.844716e-09
            14  1.200000e+00  1.200000e+00  5.632110e-09
            15  1.200000e+00  1.200000e+00  5.441135e-09
            16  1.200000e+00  1.200000e+00  5.268356e-09
            17  1.200000e+00  1.200000e+00  5.111056e-09
            18  1.200000e+00  1.200000e+00  4.967054e-09
            19  1.200000e+00  1.200000e+00  4.834575e-09
            20  1.200000e+00  1.200000e+00  4.712161e-09
            21  1.200000e+00  1.200000e+00  4.598598e-09
            22  1.200000e+00  1.200000e+00  5.502618e-09
            23  1.200000e+00  1.200000e+00  5.381667e-09
            24  1.200000e+00  1.200000e+00  5.268356e-09
            25  1.200000e+00  1.200000e+00  5.161914e-09
            26  1.200000e+00  1.200000e+00  5.061673e-09
            27  1.200000e+00  1.200000e+00  4.967054e-09
            28  1.200000e+00  1.200000e+00  4.877550e-09
            29  1.200000e+00  1.200000e+00  4.792717e-09
            30  1.200000e+00  1.200000e+00  4.712161e-09
            31  1.200000e+00  1.200000e+00  4.635535e-09
            32  1.200000e+00  1.200000e+00  4.562530e-09
            33  1.200000e+00  1.200000e+00  4.492869e-09
            34  1.200000e+00  1.200000e+00  4.426304e-09
            35  1.200000e+00  1.200000e+00  4.362613e-09
            36  1.200000e+00  1.200000e+00  4.301595e-09
            37  1.200000e+00  1.200000e+00  4.243067e-09
            38  1.200000e+00  1.200000e+00  4.186865e-09
            39  1.200000e+00  1.200000e+00  4.132839e-09
            40  1.200000e+00  1.200000e+00  4.080851e-09
            41  1.200000e+00  1.200000e+00  4.030777e-09
            42  1.200000e+00  1.200000e+00  3.982503e-09
            43  1.200000e+00  1.200000e+00  3.935922e-09
            44  1.200000e+00  1.200000e+00  3.890939e-09
            45  1.200000e+00  1.200000e+00  3.847463e-09
            46  1.200000e+00  1.200000e+00  3.805413e-09
            47  1.200000e+00  1.200000e+00  3.073875e-09
            48  1.200000e+00  1.200000e+00  2.150797e-09
            49  1.200000e+00  1.200000e+00  2.128737e-09
            50  1.200000e+00  1.200000e+00  0.000000e+00
            51  1.200000e+00  1.200000e+00  0.000000e+00
            52  1.200000e+00  1.200000e+00  2.066419e-09
            53  1.200000e+00  1.200000e+00  2.046832e-09
            54  1.200000e+00  1.200000e+00  2.867730e-09
            55  1.200000e+00  1.200000e+00  4.492869e-09
            56  1.200000e+00  1.200000e+00  3.448949e-09
            57  1.200000e+00  1.200000e+00  1.973707e-09
            58  1.200000e+00  1.200000e+00  2.767076e-09
            59  1.200000e+00  1.200000e+00  1.939966e-09
            60  1.200000e+00  1.200000e+00  0.000000e+00
            61  1.200000e+00  1.200000e+00  2.698175e-09
            62  1.200000e+00  1.200000e+00  2.676328e-09
            63  1.200000e+00  1.200000e+00  3.251700e-09
            64  1.200000e+00  1.200000e+00  3.226196e-09
            65  1.200000e+00  1.200000e+00  3.201283e-09
            66  1.200000e+00  1.200000e+00  4.101410e-09
            67  1.200000e+00  1.200000e+00  4.070687e-09
            68  1.200000e+00  1.200000e+00  4.780955e-09
            69  1.200000e+00  1.200000e+00  4.394113e-09
            70  1.200000e+00  1.200000e+00  4.362613e-09
            71  1.200000e+00  1.200000e+00  5.305327e-09
            72  1.200000e+00  1.200000e+00  5.268356e-09
            73  1.200000e+00  1.200000e+00  4.932916e-09
            74  1.200000e+00  1.200000e+00  5.477776e-09
            75  1.200000e+00  1.200000e+00  5.441135e-09
            76  1.200000e+00  1.200000e+00  5.405219e-09
            77  1.200000e+00  1.200000e+00  5.632110e-09
            78  1.200000e+00  1.200000e+00  5.595890e-09
            79  1.200000e+00  1.200000e+00  5.560360e-09
            80  1.200000e+00  1.200000e+00  6.233603e-09
            81  1.200000e+00  1.200000e+00  5.969656e-09
            82  1.200000e+00  1.200000e+00  5.933144e-09
            83  1.200000e+00  1.200000e+00  5.897294e-09
            84  1.200000e+00  1.200000e+00  6.296890e-09
            85  1.200000e+00  1.200000e+00  6.259740e-09
            86  1.200000e+00  1.200000e+00  6.012221e-09
            87  1.200000e+00  1.200000e+00  5.977568e-09
            88  1.200000e+00  1.200000e+00  6.549426e-09
            89  1.200000e+00  1.200000e+00  6.701336e-09
            90  1.200000e+00  1.200000e+00  6.664002e-09
            91  1.200000e+00  1.200000e+00  6.808888e-09
            92  1.200000e+00  1.200000e+00  7.119276e-09
            93  1.200000e+00  1.200000e+00  7.247529e-09
            94  1.200000e+00  1.200000e+00  7.208876e-09
            95  1.200000e+00  1.200000e+00  7.331996e-09
            96  1.200000e+00  1.200000e+00  7.293709e-09
            97  1.200000e+00  1.200000e+00  7.564918e-09
            98  1.200000e+00  1.200000e+00  7.675272e-09
            99  1.200000e+00  1.200000e+00  7.636409e-09
           100  1.200000e+00  1.200000e+00  7.742870e-09
