#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
             1  5.601525e+00  5.601525e+00  0.000000e+00
             2  5.794505e+00  5.698015e+00  6.822875e-02
             3  5.713360e+00  5.703130e+00  4.567717e-02
             4  5.505038e+00  5.653607e+00  5.489074e-02
             5  5.855222e+00  5.693930e+00  5.682491e-02
             6  5.764782e+00  5.705739e+00  4.856555e-02
             7  5.801654e+00  5.719441e+00  4.351766e-02
             8  5.756629e+00  5.724089e+00  3.832542e-02
             9  5.773460e+00  5.729575e+00  3.445740e-02
            10  5.784074e+00  5.735025e+00  3.143969e-02
            11  5.717850e+00  5.733463e+00  2.862028e-02
            12  5.436729e+00  5.708736e+00  3.533839e-02
            13  5.486628e+00  5.691650e+00  3.651736e-02
            14  6.139572e+00  5.723645e+00  4.582951e-02
            15  5.513793e+00  5.709655e+00  4.485877e-02
            16  5.535449e+00  5.698767e+00  4.335629e-02
            17  5.984473e+00  5.715573e+00  4.394268e-02
            18  5.871588e+00  5.724241e+00  4.234760e-02
            19  5.813023e+00  5.728913e+00  4.037576e-02
            20  5.701043e+00  5.727520e+00  3.838101e-02
            21  5.849473e+00  5.733327e+00  3.699008e-02
            22  5.634498e+00  5.728835e+00  3.558044e-02
            23  5.585427e+00  5.722600e+00  3.457548e-02
            24  5.922734e+00  5.730939e+00  3.412561e-02
            25  5.588286e+00  5.725233e+00  3.323422e-02
            26  5.668701e+00  5.723058e+00  3.202702e-02
            27  5.590637e+00  5.718154e+00  3.121411e-02
            28  5.945615e+00  5.726277e+00  3.113849e-02
            29  5.479697e+00  5.717775e+00  3.120406e-02
            30  5.571026e+00  5.712883e+00  3.054493e-02
            31  5.900594e+00  5.718938e+00  3.015382e-02
            32  5.399456e+00  5.708954e+00  3.082003e-02
            33  5.690336e+00  5.708390e+00  2.989126e-02
            34  5.718282e+00  5.708681e+00  2.901352e-02
            35  5.505175e+00  5.702867e+00  2.876128e-02
            36  5.662325e+00  5.701740e+00  2.798440e-02
            37  5.719805e+00  5.702229e+00  2.723232e-02
            38  5.558319e+00  5.698442e+00  2.677772e-02
            39  5.513808e+00  5.693707e+00  2.650630e-02
            40  5.521968e+00  5.689414e+00  2.618906e-02
            41  5.643885e+00  5.688303e+00  2.557383e-02
            42  5.583331e+00  5.685804e+00  2.508677e-02
            43  5.758866e+00  5.687503e+00  2.456082e-02
            44  5.931542e+00  5.693050e+00  2.462090e-02
            45  5.718119e+00  5.693607e+00  2.408007e-02
            46  5.766456e+00  5.695190e+00  2.360861e-02
            47  5.652769e+00  5.694288e+00  2.312355e-02
            48  5.642505e+00  5.693209e+00  2.266696e-02
            49  5.714009e+00  5.693633e+00  2.220834e-02
            50  5.818845e+00  5.696138e+00  2.190491e-02
            51  5.493041e+00  5.692155e+00  2.183439e-02
            52  5.945786e+00  5.697033e+00  2.195252e-02
            53  5.853287e+00  5.699981e+00  2.173539e-02
            54  5.871754e+00  5.703162e+00  2.156440e-02
            55  5.915240e+00  5.707018e+00  2.151430e-02
            56  5.543965e+00  5.704106e+00  2.132623e-02
            57  5.672784e+00  5.703557e+00  2.095916e-02
            58  5.788846e+00  5.705027e+00  2.064932e-02
            59  5.634418e+00  5.703831e+00  2.033398e-02
            60  5.849863e+00  5.706264e+00  2.014022e-02
            61  6.010157e+00  5.711246e+00  2.041690e-02
            62  5.535230e+00  5.708407e+00  2.028402e-02
            63  5.629353e+00  5.707153e+00  2.000083e-02
            64  5.645058e+00  5.706182e+00  1.971183e-02
            65  5.858627e+00  5.708528e+00  1.954760e-02
            66  5.743876e+00  5.709063e+00  1.925876e-02
            67  5.509783e+00  5.706089e+00  1.919962e-02
            68  5.803568e+00  5.707522e+00  1.897071e-02
            69  5.463811e+00  5.703990e+00  1.902174e-02
            70  5.922102e+00  5.707106e+00  1.900348e-02
            71  5.756969e+00  5.707808e+00  1.874880e-02
            72  5.357553e+00  5.702944e+00  1.910908e-02
            73  5.777121e+00  5.703960e+00  1.887431e-02
            74  5.840753e+00  5.705809e+00  1.870956e-02
            75  5.678757e+00  5.705448e+00  1.846358e-02
            76  5.713761e+00  5.705557e+00  1.822096e-02
            77  5.678011e+00  5.705199e+00  1.798783e-02
            78  5.787294e+00  5.706252e+00  1.778799e-02
            79  5.643131e+00  5.705453e+00  1.758076e-02
            80  5.630803e+00  5.704520e+00  1.738574e-02
            81  5.619178e+00  5.703466e+00  1.720300e-02
            82  5.785008e+00  5.704461e+00  1.702192e-02
            83  5.812204e+00  5.705759e+00  1.686627e-02
            84  5.628194e+00  5.704835e+00  1.669073e-02
            85  5.592630e+00  5.703515e+00  1.654649e-02
            86  5.735079e+00  5.703882e+00  1.635816e-02
            87  5.629734e+00  5.703030e+00  1.619232e-02
            88  5.444055e+00  5.700087e+00  1.627355e-02
            89  5.545050e+00  5.698345e+00  1.618367e-02
            90  5.623735e+00  5.697516e+00  1.602507e-02
            91  5.658927e+00  5.697092e+00  1.585458e-02
            92  5.647079e+00  5.696548e+00  1.569157e-02
            93  5.913009e+00  5.698876e+00  1.569451e-02
            94  5.746590e+00  5.699384e+00  1.553575e-02
            95  5.837284e+00  5.700835e+00  1.543989e-02
            96  5.775628e+00  5.701614e+00  1.529870e-02
            97  5.690096e+00  5.701496e+00  1.514144e-02
            98  5.832573e+00  5.702833e+00  1.504589e-02
            99  5.658329e+00  5.702384e+00  1.490063e-02
           100  5.445150e+00  5.699811e+00  1.497201e-02
