#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
             1  8.000000e-01  8.000000e-01  0.000000e+00
             2  8.000000e-01  8.000000e-01  0.000000e+00
             3  8.000000e-01  8.000000e-01  0.000000e+00
             4  8.000000e-01  8.000000e-01  0.000000e+00
             5  8.000000e-01  8.000000e-01  0.000000e+00
             6  8.000000e-01  8.000000e-01  0.000000e+00
             7  8.000000e-01  8.000000e-01  0.000000e+00
             8  8.000000e-01  8.000000e-01  0.000000e+00
             9  8.000000e-01  8.000000e-01  0.000000e+00
            10  8.000000e-01  8.000000e-01  3.332001e-09
            11  8.000000e-01  8.000000e-01  3.176938e-09
            12  8.000000e-01  8.000000e-01  3.041687e-09
            13  8.000000e-01  8.000000e-01  2.922358e-09
            14  8.000000e-01  8.000000e-01  2.816055e-09
            15  8.000000e-01  8.000000e-01  0.000000e+00
            16  8.000000e-01  8.000000e-01  0.000000e+00
            17  8.000000e-01  8.000000e-01  0.000000e+00
            18  8.000000e-01  8.000000e-01  2.483527e-09
            19  8.000000e-01  8.000000e-01  2.417288e-09
            20  8.000000e-01  8.000000e-01  2.356080e-09
            21  8.000000e-01  8.000000e-01  2.299299e-09
            22  8.000000e-01  8.000000e-01  2.246435e-09
            23  8.000000e-01  8.000000e-01  3.107107e-09
            24  8.000000e-01  8.000000e-01  3.041687e-09
            25  8.000000e-01  8.000000e-01  2.107342e-09
            26  8.000000e-01  8.000000e-01  2.066419e-09
            27  8.000000e-01  8.000000e-01  2.027791e-09
            28  8.000000e-01  8.000000e-01  2.816055e-09
            29  8.000000e-01  8.000000e-01  2.767076e-09
            30  8.000000e-01  8.000000e-01  2.720567e-09
            31  8.000000e-01  8.000000e-01  2.676328e-09
            32  8.000000e-01  8.000000e-01  2.634178e-09
            33  8.000000e-01  8.000000e-01  2.593959e-09
            34  8.000000e-01  8.000000e-01  2.555528e-09
            35  8.000000e-01  8.000000e-01  2.518756e-09
            36  8.000000e-01  8.000000e-01  2.483527e-09
            37  8.000000e-01  8.000000e-01  2.449736e-09
            38  8.000000e-01  8.000000e-01  2.417288e-09
            39  8.000000e-01  8.000000e-01  2.922358e-09
            40  8.000000e-01  8.000000e-01  2.885597e-09
            41  8.000000e-01  8.000000e-01  2.327170e-09
            42  8.000000e-01  8.000000e-01  0.000000e+00
            43  8.000000e-01  8.000000e-01  0.000000e+00
            44  8.000000e-01  8.000000e-01  2.246435e-09
            45  8.000000e-01  8.000000e-01  2.720567e-09
            46  8.000000e-01  8.000000e-01  2.690834e-09
            47  8.000000e-01  8.000000e-01  3.436697e-09
            48  8.000000e-01  8.000000e-01  3.400709e-09
            49  8.000000e-01  8.000000e-01  3.687081e-09
            50  8.000000e-01  8.000000e-01  3.942477e-09
            51  8.000000e-01  8.000000e-01  4.426304e-09
            52  8.000000e-01  8.000000e-01  4.132839e-09
            53  8.000000e-01  8.000000e-01  4.576855e-09
            54  8.000000e-01  8.000000e-01  4.534279e-09
            55  8.000000e-01  8.000000e-01  4.712161e-09
            56  8.000000e-01  8.000000e-01  4.669899e-09
            57  8.000000e-01  8.000000e-01  5.031985e-09
            58  8.000000e-01  8.000000e-01  4.988418e-09
            59  8.000000e-01  8.000000e-01  4.945962e-09
            60  8.000000e-01  8.000000e-01  5.089716e-09
            61  8.000000e-01  8.000000e-01  5.047824e-09
            62  8.000000e-01  8.000000e-01  5.006950e-09
            63  8.000000e-01  8.000000e-01  5.310004e-09
            64  8.000000e-01  8.000000e-01  5.268356e-09
            65  8.000000e-01  8.000000e-01  5.227673e-09
            66  8.000000e-01  8.000000e-01  5.502618e-09
            67  8.000000e-01  8.000000e-01  5.461400e-09
            68  8.000000e-01  8.000000e-01  5.421094e-09
            69  8.000000e-01  8.000000e-01  5.381667e-09
            70  8.000000e-01  8.000000e-01  5.489501e-09
            71  8.000000e-01  8.000000e-01  5.450706e-09
            72  8.000000e-01  8.000000e-01  5.412721e-09
            73  8.000000e-01  8.000000e-01  5.375520e-09
            74  8.000000e-01  8.000000e-01  5.613050e-09
            75  8.000000e-01  8.000000e-01  5.575504e-09
            76  8.000000e-01  8.000000e-01  5.538702e-09
            77  8.000000e-01  8.000000e-01  5.502618e-09
            78  8.000000e-01  8.000000e-01  5.595890e-09
            79  8.000000e-01  8.000000e-01  5.560360e-09
            80  8.000000e-01  8.000000e-01  5.525498e-09
            81  8.000000e-01  8.000000e-01  5.491285e-09
            82  8.000000e-01  8.000000e-01  5.457698e-09
            83  8.000000e-01  8.000000e-01  5.665936e-09
            84  8.000000e-01  8.000000e-01  5.632110e-09
            85  8.000000e-01  8.000000e-01  5.598881e-09
            86  8.000000e-01  8.000000e-01  5.449038e-09
            87  8.000000e-01  8.000000e-01  5.417631e-09
            88  8.000000e-01  8.000000e-01  5.386761e-09
            89  8.000000e-01  8.000000e-01  5.584446e-09
            90  8.000000e-01  8.000000e-01  5.553335e-09
            91  8.000000e-01  8.000000e-01  5.522738e-09
            92  8.000000e-01  8.000000e-01  5.492641e-09
            93  8.000000e-01  8.000000e-01  5.463031e-09
            94  8.000000e-01  8.000000e-01  5.433894e-09
            95  8.000000e-01  8.000000e-01  5.512264e-09
            96  8.000000e-01  8.000000e-01  5.483479e-09
            97  8.000000e-01  8.000000e-01  5.455140e-09
            98  8.000000e-01  8.000000e-01  5.427237e-09
            99  8.000000e-01  8.000000e-01  5.399757e-09
           100  8.000000e-01  8.000000e-01  5.372690e-09
