Energy Error
-0.395164 nan
-0.383254 0.0119091
-0.374523 0.0111138
-0.429264 0.055302
-0.450562 0.0478394
-0.466153 0.0420575
-0.469554 0.0357074
-0.468751 0.0309339
-0.477949 0.02879
-0.477431 0.0257558
-0.475872 0.0233491
-0.470788 0.0219125
-0.466 0.0207176
-0.46417 0.0192678
-0.462646 0.018002
-0.460013 0.0170439
-0.464511 0.0166299
-0.464034 0.015686
-0.463064 0.0148692
-0.461463 0.0141967
-0.461534 0.013504
-0.461059 0.0128843
-0.460767 0.0123149
-0.459967 0.0118176
-0.458722 0.0114032
-0.459921 0.0110213
-0.457081 0.0109789
-0.455487 0.010699
-0.454834 0.0103441
-0.45609 0.0100719
-0.455795 0.00974599
-0.454357 0.0095455
-0.455507 0.00932294
-0.455217 0.00904924
-0.455676 0.00879886
-0.437095 0.0204541
-0.439082 0.0199927
-0.439497 0.0194639
-0.440017 0.0189653
-0.438781 0.0185264
-0.438477 0.0180714
-0.435016 0.0179722
-0.435213 0.0175504
-0.432998 0.0172894
-0.434037 0.0169327
-0.43468 0.016573
-0.433468 0.0162619
-0.434105 0.0159322
-0.434202 0.015604
-0.434908 0.015305
-0.434142 0.0150215
-0.437351 0.0150753
-0.437731 0.014793
-0.437836 0.0145169
-0.437133 0.0142679
-0.436268 0.0140374
-0.436539 0.0137916
-0.437651 0.0135973
-0.440208 0.0136072
-0.439314 0.0134084
-0.439092 0.0131886
-0.438502 0.0129875
-0.439737 0.0128392
-0.440348 0.0126518
-0.440571 0.0124576
-0.441698 0.0123191
-0.440473 0.0121955
-0.440448 0.0120149
-0.441341 0.0118731
-0.441694 0.0117075
-0.442265 0.0115556
-0.440848 0.0114818
-0.439535 0.0113992
-0.439857 0.0112487
-0.439722 0.0110985
-0.441137 0.0110426
-0.442338 0.0109642
-0.442523 0.0108243
-0.442626 0.0106869
-0.442419 0.0105545
-0.442452 0.0104234
-0.440385 0.0105009
-0.440438 0.0103738
-0.440699 0.0102529
-0.440598 0.010132
-0.440453 0.0100146
-0.44097 0.00991226
-0.441258 0.0098032
-0.441715 0.00970319
-0.441346 0.00960186
-0.440921 0.00950528
-0.441757 0.00943846
-0.443468 0.00949196
-0.444077 0.00941019
-0.444382 0.00931561
-0.445649 0.00930466
-0.446524 0.00924973
-0.446822 0.0091597
-0.446747 0.00906701
-0.445298 0.0090921
-0.445464 0.00900317
-0.445151 0.00891998
-0.444197 0.00888427
-0.442303 0.009
-0.442245 0.00891406
-0.441953 0.00883438
-0.441714 0.00875469
-0.441823 0.00867393
-0.442149 0.00860018
-0.441663 0.0085355
-0.440581 0.00852712
-0.4407 0.00845148
-0.441277 0.0083962
-0.441829 0.00834046
-0.443159 0.008374
-0.4428 0.00830928
-0.442437 0.00824594
-0.443238 0.0082149
-0.444099 0.00819095
-0.445184 0.00819455
-0.446207 0.00819073
-0.446566 0.00813124
-0.445273 0.00816795
-0.445559 0.00810688
-0.445212 0.00804922
-0.444706 0.00800116
-0.444225 0.00795244
-0.444316 0.0078906
-0.443039 0.00793274
-0.443559 0.00788863
-0.443531 0.00782822
-0.442927 0.00779218
-0.443222 0.007739
-0.442917 0.0076871
-0.443336 0.00764147
-0.442585 0.00762221
-0.442836 0.00757055
-0.442648 0.00751783
-0.442692 0.00746368
-0.44274 0.00741033
-0.44302 0.00736291
-0.443351 0.00731837
-0.443894 0.00728726
-0.443995 0.00723718
-0.443822 0.00718917
-0.444208 0.00715016
-0.444354 0.00710285
-0.444123 0.00705846
-0.443855 0.00701606
-0.444352 0.00698685
