Step Beta
1 5
2 5.87961
3 6.64141
4 7.36429
5 8.06299
6 8.74424
7 9.41192
8 10.0685
9 10.7157
10 11.3549
11 11.987
12 12.6128
13 13.2329
14 13.8479
15 14.4582
16 15.0641
17 15.6659
18 16.2641
19 16.8587
20 17.45
21 18.0382
22 18.6235
23 19.206
24 19.7858
25 20.3632
26 20.9381
27 21.5108
28 22.0812
29 22.6495
30 23.2158
31 23.7802
32 24.3427
33 24.9033
34 25.4623
35 26.0195
36 26.5751
37 27.1291
38 27.6815
39 28.2325
40 28.782
41 29.3302
42 29.8769
43 30.4223
44 30.9665
45 31.5093
46 32.0509
47 32.5914
48 33.1306
49 33.6687
50 34.2057
51 34.7416
52 35.2764
53 35.8102
54 36.3429
55 36.8746
56 37.4054
57 37.9352
58 38.464
59 38.992
60 39.519
61 40.0451
62 40.5703
63 41.0947
64 41.6182
65 42.1409
66 42.6628
67 43.1839
68 43.7042
69 44.2237
70 44.7425
71 45.2605
72 45.7778
73 46.2943
74 46.8101
75 47.3253
76 47.8397
77 48.3534
78 48.8665
79 49.3789
80 49.8906
81 50.4017
82 50.9121
83 51.422
84 51.9312
85 52.4397
86 52.9477
87 53.4551
88 53.9619
89 54.4681
90 54.9738
91 55.4788
92 55.9833
93 56.4873
94 56.9907
95 57.4936
96 57.9959
97 58.4977
98 58.999
99 59.4997
100 60
