Energy Error Acceptance
-0.442418 0.0173777 0.608667
-0.450906 0.0142753 0.592667
-0.450906 0.0142753 0.592667
-0.450906 0.0142753 0.592667
-0.444707 0.00974804 0.619333
-0.444707 0.00974804 0.619333
-0.442176 0.0153108 0.659
-0.413974 0.0157633 0.702
-0.413974 0.0157633 0.702
-0.424973 0.013282 0.680333
-0.424973 0.013282 0.680333
-0.424973 0.013282 0.680333
-0.424973 0.013282 0.680333
-0.424973 0.013282 0.680333
-0.38649 0.0173937 0.549667
-0.38649 0.0173937 0.549667
-0.455901 0.0137753 0.621667
-0.443812 0.0101924 0.678
-0.441877 0.0122162 0.683
-0.452083 0.0109147 0.618
-0.414446 0.017279 0.654333
-0.454493 0.0142885 0.582667
-0.472936 0.0083574 0.589
-0.436796 0.0158368 0.561667
-0.436796 0.0158368 0.561667
-0.387504 0.0195144 0.673333
-0.361028 0.0325504 0.611667
-0.33951 0.0192699 0.590333
-0.42245 0.0136168 0.514667
-0.447553 0.0112437 0.565
-0.447553 0.0112437 0.565
-0.447553 0.0112437 0.565
-0.40895 0.0166377 0.557
-0.442111 0.0163294 0.611333
-0.446421 0.0108815 0.655
-0.418738 0.0247844 0.541667
-0.437243 0.019694 0.694667
-0.431035 0.0158799 0.652333
-0.431035 0.0158799 0.652333
-0.42552 0.0168279 0.613667
-0.397058 0.0178702 0.598
-0.373041 0.0158997 0.635333
-0.315014 0.0178132 0.565667
-0.315014 0.0178132 0.565667
-0.315014 0.0178132 0.565667
-0.315014 0.0178132 0.565667
-0.315014 0.0178132 0.565667
-0.315014 0.0178132 0.565667
-0.324422 0.0160268 0.586667
-0.324422 0.0160268 0.586667
-0.200546 0.0377189 0.571333
-0.200546 0.0377189 0.571333
-0.110983 0.0729615 0.579
-0.171052 0.080236 0.595667
-0.171052 0.080236 0.595667
-0.101015 0.0851925 0.654667
-0.103511 0.0629512 0.642667
-0.103511 0.0629512 0.642667
-0.103511 0.0629512 0.642667
-0.103511 0.0629512 0.642667
-0.263603 0.0553633 0.639333
-0.325251 0.0451034 0.650667
-0.374328 0.0245593 0.611
-0.363676 0.0330539 0.709667
-0.31975 0.0394664 0.559333
-0.390546 0.0347196 0.528
-0.357922 0.0412304 0.573
-0.386527 0.0300063 0.644333
-0.37991 0.0215576 0.593667
-0.404645 0.017129 0.671667
-0.433037 0.0120802 0.597333
-0.406519 0.0100314 0.682667
-0.366555 0.0136728 0.602
-0.409711 0.0125937 0.593
-0.409711 0.0125937 0.593
-0.367254 0.0283482 0.467667
-0.312641 0.0377385 0.463667
-0.305634 0.0408238 0.513
-0.319431 0.0308837 0.470667
-0.364744 0.0235862 0.470667
-0.364744 0.0235862 0.470667
-0.364744 0.0235862 0.470667
-0.364744 0.0235862 0.470667
-0.364744 0.0235862 0.470667
-0.364744 0.0235862 0.470667
-0.381217 0.0145189 0.702667
-0.381217 0.0145189 0.702667
-0.383446 0.0197565 0.614667
-0.402222 0.0171897 0.647
-0.442845 0.00995319 0.581333
-0.425291 0.030363 0.715667
-0.421843 0.0197924 0.542667
-0.421843 0.0197924 0.542667
-0.412548 0.0215294 0.509333
-0.40758 0.0150294 0.626667
-0.35952 0.0143766 0.677333
-0.321294 0.0243795 0.706333
-0.303961 0.0186936 0.647
-0.303961 0.0186936 0.647
-0.303961 0.0186936 0.647
