mu sigma
0.86178 0.660369
0.82664 0.630745
0.82664 0.630745
0.80883 0.639982
0.816635 0.6376
0.810576 0.635823
0.800127 0.601473
0.773501 0.578902
0.750926 0.610789
0.779848 0.613574
0.779808 0.600343
0.770456 0.600296
0.770456 0.600296
0.796527 0.62561
0.816906 0.601915
0.794835 0.600669
0.789412 0.586514
0.789412 0.586514
0.789412 0.586514
0.789412 0.586514
0.751236 0.582989
0.751236 0.582989
0.751236 0.582989
0.751236 0.582989
0.751236 0.582989
0.776633 0.615151
0.803008 0.591336
0.803008 0.591336
0.802953 0.585597
0.767827 0.6166
0.767827 0.6166
0.779383 0.613964
0.799257 0.617534
0.799257 0.617534
0.799257 0.617534
0.789608 0.622801
0.789608 0.622801
0.802355 0.63207
0.802355 0.63207
0.808348 0.606163
0.776739 0.609362
0.800095 0.628321
0.800095 0.628321
0.81452 0.648057
0.81452 0.648057
0.81452 0.648057
0.836664 0.67372
0.817256 0.712308
0.817256 0.712308
0.793117 0.68144
0.769278 0.667458
0.765535 0.635112
0.774964 0.610171
0.792844 0.593323
0.792844 0.593323
0.792844 0.593323
0.792844 0.593323
0.792844 0.593323
0.792844 0.593323
0.792844 0.593323
0.808998 0.592595
0.808998 0.592595
0.831662 0.603827
0.831662 0.603827
0.815773 0.604342
0.815773 0.604342
0.823659 0.566622
0.832471 0.591349
0.854826 0.632513
0.854826 0.632513
0.854826 0.632513
0.851207 0.596332
0.851207 0.596332
0.833274 0.619504
0.808033 0.588399
0.808033 0.588399
0.799406 0.599866
0.804574 0.593803
0.792027 0.599548
0.759 0.617663
0.759 0.617663
0.776232 0.612429
0.776232 0.612429
0.775299 0.639894
0.777711 0.627174
0.782942 0.601854
0.766121 0.589505
0.786494 0.566228
0.76061 0.600572
0.731185 0.587786
0.704559 0.582505
0.723253 0.609116
0.736791 0.63041
0.750568 0.666304
0.72677 0.67933
0.72677 0.67933
0.755785 0.695518
0.755785 0.695518
0.738016 0.686842
0.738016 0.686842
