Iteration Mean StdDeviation
1 34.1337 1.52582
2 30.4422 1.65572
3 26.8988 1.24462
4 25.3366 1.05223
5 23.5194 0.834085
6 22.2783 0.381162
7 22.0866 0.561528
8 22.0973 1.06765
9 21.3276 1.23556
10 19.6616 1.03505
11 17.7069 1.30236
12 16.1104 0.693915
13 15.4378 0.595039
14 15.0626 0.755869
15 15.1925 0.937567
16 15.4995 1.22685
17 14.8495 0.924083
18 14.3169 0.00655604
19 14.8035 0.996467
20 14.0524 1.2187
21 12.6507 0.870698
22 12.0028 0.48952
23 12.0664 0.803864
24 11.9037 0.963992
25 11.2344 0.139708
26 11.2286 0.287014
27 10.7492 0.541723
28 10.1667 0.425845
29 9.96659 0.219514
30 9.88952 0.0505832
31 9.87367 0.00603097
32 10.3761 0.678197
33 10.5013 1.11579
34 10.9946 1.39171
35 10.5723 1.38669
36 9.88957 0.957293
37 9.94784 0.982092
38 9.0741 0.160136
39 9.16535 0.392556
40 8.94878 0.102656
41 8.96314 0.520549
42 8.73485 0.250339
43 9.44523 1.08507
44 9.31399 1.2432
45 9.21927 1.26064
46 8.72622 0.741141
47 8.34083 0.0105987
48 8.65329 0.893854
49 8.32907 0.0477935
50 8.25576 0.222316
51 9.24388 1.34095
52 9.31515 1.29754
53 8.78002 1.28644
54 8.13601 1.008
55 7.95041 0.89211
56 7.75073 0.553448
57 7.58809 0.139192
58 7.58157 0.168221
59 7.73298 0.45365
60 7.54703 1.68587e-07
61 7.59361 0.18202
62 7.66757 0.394887
63 7.71673 0.502824
64 7.83429 0.724832
65 7.71911 0.465552
66 7.54703 1.68587e-07
67 7.88692 0.856859
68 7.85968 0.711168
69 8.50898 1.43021
70 7.88202 0.839577
71 7.56201 0.077077
72 9.26472 1.54736
73 8.4201 1.31494
74 7.65162 0.354446
75 7.92046 0.90557
76 7.90655 0.903698
77 7.61307 0.23775
78 7.56594 0.131733
79 7.54706 0.000209628
80 7.54703 1.68587e-07
81 7.60511 0.232083
82 7.54703 1.68587e-07
83 7.76569 0.636746
84 8.44313 1.63578
85 7.54703 1.68587e-07
86 7.54228 0.0332798
87 7.44313 0.125886
88 7.25707 0.125311
89 7.14155 0.115208
90 7.3648 0.887822
91 7.53623 1.24724
92 6.80781 0.619686
93 6.73618 0.470848
94 6.58088 0.0235022
95 6.57715 1.46001e-07
96 6.57715 1.46001e-07
97 6.57715 1.46001e-07
98 6.92287 0.826446
99 6.57715 1.46001e-07
100 6.8473 0.70123
101 6.6116 0.188847
102 6.57715 1.46001e-07
103 6.59951 0.0904855
104 6.95178 0.87294
105 6.61708 0.199969
106 6.57715 1.46001e-07
107 6.68673 0.377714
108 6.57715 1.46001e-07
109 6.77436 0.734363
110 6.77878 0.435996
111 6.57824 0.00555277
112 7.03882 0.93488
113 7.05011 0.950475
114 6.59358 0.110093
115 6.58379 0.0464715
116 6.68019 0.322652
117 6.65077 0.251685
118 6.93968 0.751762
119 6.57715 1.46001e-07
120 6.57715 1.46001e-07
121 6.57715 1.46001e-07
122 6.57747 0.00221995
123 6.82087 0.665956
124 6.89398 0.78259
125 6.57715 1.46001e-07
126 6.61375 0.140966
127 6.67656 0.322915
128 6.57715 1.46001e-07
129 6.62686 0.198114
130 6.76375 0.736699
131 6.38206 0.247424
132 6.46817 0.572539
133 6.28316 8.42937e-08
134 6.33627 0.23938
135 6.34174 0.241733
136 6.30648 0.10665
137 6.68091 0.858887
138 6.28415 0.00495506
139 6.28316 8.42937e-08
140 6.47134 0.563007
141 6.8132 1.19204
142 6.68238 0.863173
143 6.54072 0.752094
144 6.28316 8.42937e-08
145 6.41377 0.329763
146 6.29505 0.0588307
147 6.46072 0.455348
148 6.697 0.790062
149 6.35215 0.34395
150 6.63543 0.843146
151 6.30431 0.10523
152 6.76191 0.891426
153 6.35808 0.248296
154 6.28316 8.42937e-08
155 6.28316 8.42937e-08
156 6.28316 8.42937e-08
157 6.34671 0.194188
158 6.28316 8.42937e-08
159 6.28316 8.42937e-08
160 6.28316 8.42937e-08
161 6.40817 0.336388
162 6.34439 0.188418
163 6.28316 8.42937e-08
164 6.75847 0.948769
165 6.52862 0.629947
166 6.29086 0.0428106
167 6.64547 0.883058
168 6.28316 8.42937e-08
169 6.28316 8.42937e-08
170 6.42218 0.329504
171 7.24565 1.5685
172 6.28316 8.42937e-08
173 6.31752 0.189619
174 6.28316 8.42937e-08
175 6.32463 0.159018
176 6.33833 0.169361
177 6.28316 8.42937e-08
178 6.33144 0.167017
179 6.28316 8.42937e-08
180 6.38754 0.324009
181 6.4391 0.449896
182 6.37939 0.279945
183 6.28316 8.42937e-08
184 6.28316 8.42937e-08
185 6.28607 0.0203682
186 6.28316 8.42937e-08
187 6.78296 1.0601
188 6.40017 0.390972
189 6.4151 0.352146
190 6.30949 0.179359
191 7.52949 1.30692
192 6.54898 0.513593
193 6.71404 0.779219
194 7.2888 1.28326
