Iteration Mean StdDeviation
1 15.5291 0.735891
2 14.3818 0.591096
3 13.5368 0.432907
4 12.9155 0.287081
5 12.3977 0.247818
6 12.2116 0.367018
7 11.7891 0.567106
8 11.3044 0.469618
9 10.5873 0.450442
10 10.1805 0.382236
11 9.87905 0.404319
12 9.55515 0.181093
13 9.50377 0.185552
14 9.39143 0.111928
15 9.37591 0.300622
16 9.04025 0.213951
17 8.93928 0.145469
18 9.09113 0.330963
19 8.87586 0.13492
20 8.70451 0.197654
21 8.56529 0.291916
22 8.38346 0.180716
23 8.23887 0.107041
24 8.24536 0.155424
25 8.17654 0.0754557
26 8.13121 0.173737
27 7.98837 0.132062
28 7.9624 0.155078
29 8.23213 0.402139
30 7.91128 0.154921
31 7.88297 0.187302
32 7.93745 0.361499
33 7.75022 0.0229441
34 7.74801 0.0292881
35 7.79755 0.147544
36 7.79175 0.14474
37 7.75113 0.0427983
38 7.9517 0.319692
39 7.75757 0.0742582
40 7.84735 0.251391
41 7.69838 0.338493
42 7.55478 0.410123
43 7.3405 0.231034
44 7.43441 0.298568
45 7.25243 0.195692
46 7.13222 0.152881
47 7.0188 0.24586
48 6.85643 0.0221568
49 7.10083 0.346677
50 6.93582 0.34219
51 6.71123 0.279836
52 6.57832 0.285886
53 6.43555 0.118898
54 6.39869 1.46001e-07
55 6.39869 1.46001e-07
56 6.40298 0.0299896
57 6.39869 1.46001e-07
58 6.40479 0.0245072
59 6.43811 0.124116
60 6.43943 0.112745
61 6.40908 0.0509735
62 6.39869 1.46001e-07
63 6.39869 1.46001e-07
64 6.42394 0.0764319
65 6.39869 1.46001e-07
66 6.4514 0.144525
67 6.52492 0.283696
68 6.58549 0.349778
69 6.50041 0.229562
70 6.39875 0.000420428
71 6.43188 0.112095
72 6.40392 0.0271692
73 6.39422 0.039903
74 6.30836 0.0700262
75 6.32277 0.148879
76 6.30274 0.172383
77 6.24211 2.92002e-07
78 6.24211 2.92002e-07
79 6.25867 0.0814794
80 6.24211 2.92002e-07
81 6.25415 0.0616551
82 6.24211 2.92002e-07
83 6.47765 0.388673
84 6.25487 0.229754
85 6.0738 0.229043
86 6.00804 0.275635
87 5.92348 0.23628
88 5.88033 0.155057
89 5.85626 0.109344
90 5.81455 1.88486e-07
91 5.92514 0.293325
92 5.84372 0.0982719
93 5.93716 0.27455
94 5.87426 0.152915
95 6.00894 0.411586
96 5.81455 1.88486e-07
97 5.81455 1.88486e-07
98 5.89864 0.200534
99 5.82035 0.0284009
100 5.81455 1.88486e-07
101 5.81455 1.88486e-07
102 5.81455 1.88486e-07
103 5.89471 0.191137
104 5.97131 0.315811
105 5.85397 0.138985
106 5.82678 0.0609865
107 5.87727 0.173256
108 5.81455 1.88486e-07
109 5.81455 1.88486e-07
110 5.81455 1.88486e-07
111 5.81989 0.0374056
112 5.81616 0.0112373
113 5.81455 1.88486e-07
114 5.84259 0.0986461
115 5.92419 0.254436
116 5.81455 1.88486e-07
117 5.81455 1.88486e-07
118 5.81455 1.88486e-07
119 5.83028 0.0656191
120 6.06463 0.478515
121 5.89364 0.205369
122 5.87065 0.144245
123 5.83582 0.0843427
124 5.82153 0.0344804
125 5.82006 0.02714
126 5.88228 0.195801
127 5.81843 0.0271389
128 5.94034 0.258882
129 5.81455 1.88486e-07
130 5.86046 0.138842
131 5.82405 0.0467639
132 5.8281 0.0666694
133 5.86791 0.145457
134 5.81616 0.0112373
135 5.81548 0.00651114
136 5.87809 0.191714
137 6.02963 0.331098
138 5.8761 0.188425
139 5.81272 0.0128095
140 5.76697 0.0457117
141 5.72854 0.0217292
142 5.72305 2.06477e-07
143 5.72305 2.06477e-07
144 5.75539 0.106891
145 5.72836 0.0286403
146 5.75159 0.0920879
147 5.72305 2.06477e-07
148 5.798 0.186514
149 5.72876 0.0399235
150 5.72305 2.06477e-07
151 5.72089 0.0151431
152 5.68628 0.0512386
153 5.77514 0.297751
154 5.66244 0.146145
155 5.61489 2.38419e-07
156 5.68688 0.190366
157 5.61489 2.38419e-07
158 5.654 0.126902
159 5.61489 2.38419e-07
160 5.61489 2.38419e-07
161 5.61489 2.38419e-07
162 5.61489 2.38419e-07
163 5.61489 2.38419e-07
164 5.61954 0.0396578
165 5.59832 0.0220871
166 5.5744 0.014953
167 5.56888 1.19209e-07
168 5.56888 1.19209e-07
169 5.56888 1.19209e-07
170 5.56888 1.19209e-07
171 5.5923 0.0960799
172 5.56888 1.19209e-07
173 5.72265 0.332831
174 5.60127 0.119719
175 5.6059 0.0847169
176 5.5672 0.0117374
177 5.53869 0.0402426
178 5.56897 0.202511
179 5.48504 2.06477e-07
180 5.48504 2.06477e-07
181 5.49546 0.0510859
182 5.48504 2.06477e-07
183 5.48504 2.06477e-07
184 5.48955 0.0228595
185 5.48504 2.06477e-07
186 5.48504 2.06477e-07
187 5.48504 2.06477e-07
188 5.48504 2.06477e-07
189 5.57712 0.225026
190 5.48504 2.06477e-07
191 5.48504 2.06477e-07
192 5.48504 2.06477e-07
193 5.49876 0.0555489
194 5.52772 0.125233
195 5.48987 0.0338638
196 5.48504 2.06477e-07
197 5.48504 2.06477e-07
198 5.48504 2.06477e-07
199 5.48504 2.06477e-07
200 5.50956 0.104175
201 5.49488 0.0393855
202 5.48504 2.06477e-07
203 5.48504 2.06477e-07
204 5.48504 2.06477e-07
205 5.555 0.17448
206 5.52091 0.105864
207 5.54842 0.154056
208 5.51252 0.103078
209 5.47559 0.0131605
210 5.46226 0.0173143
211 5.49015 0.126619
212 5.54868 0.210317
213 5.55809 0.232752
214 5.45665 0.000880147
215 5.53703 0.185028
216 5.52206 0.192661
217 5.45537 3.26468e-07
218 5.45537 3.26468e-07
219 5.45537 3.26468e-07
220 5.45537 3.26468e-07
221 5.45537 3.26468e-07
222 5.45537 3.26468e-07
